Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-01-02,33.0634,33.2287,32.9762,33.2287,17545
2006-01-03,33.2287,34.8478,33.2287,34.5084,55856
2006-01-04,34.9349,36.3887,33.9949,35.8752,115257
2006-01-05,35.7881,36.5542,35.1089,36.5542,121054
2006-01-06,36.6413,37.9209,36.5542,37.9209,175450
2006-01-09,38.687,40.7327,38.3476,38.5129,86193
2006-01-10,38.5129,40.2191,37.9209,40.2191,128841
2006-01-11,40.8981,42.6044,40.8981,41.7514,132093
2006-01-12,42.1778,42.1778,40.8981,40.9852,31815
2006-01-13,40.6457,40.6457,38.4259,39.7926,194857
2006-01-16,39.6185,40.4715,39.2007,39.9668,49858
2006-01-17,40.0451,40.3932,38.7741,39.453,71047
2006-01-18,38.2604,38.3476,37.5814,38.2604,47209
2006-01-19,37.4943,39.3661,37.4943,38.008,63180
2006-01-20,38.0863,38.3476,37.2333,37.3203,65043
2006-01-23,37.1548,37.4074,35.8752,37.3203,73030
2006-01-24,37.5814,37.7468,37.0678,37.4943,189602
2006-01-25,37.4943,37.4943,37.0678,37.4074,53622
2006-01-26,37.4943,37.8339,37.0678,37.4074,125455
2006-01-27,38.687,38.8523,37.2333,37.9209,107317
2006-01-30,38.4259,38.4259,37.3203,37.4943,52136
2006-01-31,37.4074,37.4074,35.1874,35.7881,52669
2006-02-01,35.7881,36.0406,34.7696,36.0406,29522
2006-02-02,36.3887,36.8937,36.0406,36.6413,51615
2006-02-03,35.9622,36.8065,35.1874,36.6413,41733
2006-02-06,36.6413,37.9209,35.6141,37.9209,20730
2006-02-07,37.9209,38.0863,36.7284,37.6596,33558
2006-02-08,37.3203,37.4943,37.1548,37.4943,10983
2006-02-09,37.4943,37.8339,37.1548,37.2333,30132
2006-02-10,37.0678,37.0678,36.5542,36.5542,26651
2006-02-13,36.2146,36.2146,35.3615,35.7881,175342
2006-02-14,35.6141,36.2146,35.3615,36.2146,207775
2006-02-15,36.2146,36.4672,35.9622,36.3887,63774
2006-02-16,36.3887,36.4672,35.6141,36.3016,68123
2006-02-17,35.9622,37.9209,35.9622,37.9209,44881
2006-02-20,38.008,39.7926,38.008,39.7055,55147
2006-02-21,39.8796,39.9668,38.5129,38.9395,110642
2006-02-22,38.9395,38.9395,38.1733,38.2604,60575
2006-02-23,38.687,39.1135,38.5129,38.9395,39080
2006-02-24,38.5999,38.5999,36.9807,37.2333,142460
2006-02-27,37.4943,37.4943,35.3615,36.6413,56108
2006-02-28,35.9622,36.7284,34.5953,34.5953,58242
2006-03-01,34.6825,35.3615,34.5953,35.3615,132702
2006-03-02,35.6141,35.9622,35.1089,35.6141,100637
2006-03-03,36.1276,36.1276,33.9164,34.9349,51950
2006-03-06,34.9349,34.9349,34.1688,34.5953,43041
2006-03-07,34.2559,34.2559,33.4029,33.9164,94470
2006-03-08,33.5769,33.8294,32.5498,32.8021,46359
2006-03-09,33.0634,33.0634,32.6367,32.8021,67469
2006-03-10,32.8021,32.8021,31.6095,31.9577,63215
2006-03-13,32.8021,32.8021,31.6095,31.9577,21988
2006-03-14,31.9577,32.3755,31.6095,32.3755,15936
2006-03-15,32.7238,33.2287,32.7238,33.0634,45688
2006-03-16,33.1503,33.3158,32.3755,33.1503,44319
2006-03-17,33.4029,33.4029,32.6367,32.6367,54760
2006-03-20,32.6367,32.6367,31.6965,31.6965,16403
2006-03-21,31.5311,31.6965,31.27,31.5311,59312
2006-03-22,31.357,32.8021,31.357,32.3755,45132
2006-03-23,32.7238,33.7423,32.7238,33.6551,26754
2006-03-24,34.0817,34.5953,33.7423,33.9949,167614
2006-03-27,34.4213,34.5084,32.8021,33.1503,110800
2006-03-28,33.1503,33.1503,32.2972,32.3755,63555
2006-03-29,32.3755,32.6367,31.6965,32.4626,137533
2006-03-30,32.4626,33.0634,32.2101,32.2972,26804
2006-03-31,32.3755,32.5498,32.2972,32.2972,96504
2006-04-03,32.3755,32.8021,32.1231,32.4626,119918
2006-04-04,32.4626,32.7238,32.2972,32.6367,19966
2006-04-05,32.8021,32.8021,32.3755,32.6367,20100
2006-04-06,32.8021,32.8021,32.3755,32.5498,79750
2006-04-07,32.5498,33.7423,32.3755,33.6551,285913
2006-04-10,34.2559,35.3615,33.7423,34.2559,234269
2006-04-11,34.5084,34.7696,33.0634,33.0634,25319
2006-04-12,33.1503,33.6551,32.8021,33.5769,13444
2006-04-13,33.5769,33.5769,32.8021,33.1503,13647
2006-04-18,33.2287,34.0817,33.2287,33.9164,56541
2006-04-19,34.2559,34.4213,33.8294,33.9949,39066
2006-04-20,34.0817,34.343,33.6551,34.343,15948
2006-04-21,34.4213,34.4213,33.2287,33.8294,14939
2006-04-24,33.8294,34.1688,33.2287,33.2287,42384
2006-04-25,33.2287,33.2287,32.4626,32.8021,71837
2006-04-26,32.8021,33.4029,32.4626,32.8021,394438
2006-04-27,32.8021,32.8021,31.6965,31.9577,67500
2006-04-28,31.9577,32.2972,31.6095,31.6965,62359
2006-05-02,31.6965,31.6965,31.357,31.4442,24457
2006-05-04,30.9304,31.0174,29.9903,30.678,71411
2006-05-05,30.678,30.9304,30.5039,30.678,71895
2006-05-08,30.7651,32.8021,30.7651,32.036,84916
2006-05-09,32.2972,32.4626,31.9577,32.036,36658
2006-05-10,31.9577,32.1231,31.7835,32.036,22390
2006-05-11,32.036,32.036,31.1046,31.5311,54583
2006-05-12,31.6095,32.7238,31.6095,32.5498,56765
2006-05-15,32.5498,32.7238,31.9577,32.5498,136788
2006-05-16,32.3755,34.1688,32.2101,33.9949,181109
2006-05-17,34.2559,34.5084,33.4029,33.9164,266543
2006-05-18,33.5769,34.6825,32.9762,34.5084,123055
