Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-01-02,0.7668,0.7668,0.7405,0.7603,1838882
2006-01-03,0.7734,0.8162,0.7701,0.803,6766105
2006-01-04,0.8063,0.9478,0.8063,0.8557,15640055
2006-01-05,0.8853,0.9051,0.882,0.8886,9958908
2006-01-06,0.9182,0.9182,0.8886,0.9117,8529301
2006-01-09,0.9216,1.0071,0.9182,0.9808,11473682
2006-01-10,0.9907,1.0499,0.9907,1.0236,11782112
2006-01-11,1.0433,1.0565,0.9972,1.0203,9928858
2006-01-12,1.0466,1.0466,1.0137,1.0203,5257530
2006-01-13,1.0268,1.0367,0.9907,1.0367,5044020
2006-01-16,1.0367,1.0532,1.0268,1.0367,3534990
2006-01-17,1.0466,1.1355,1.04,1.1256,13859754
2006-01-18,1.119,1.2145,1.0894,1.1519,16875384
2006-01-19,1.198,1.2079,1.1519,1.1684,11598076
2006-01-20,1.1914,1.1914,1.0532,1.1355,8205315
2006-01-23,1.0861,1.1322,1.0664,1.0762,8230200
2006-01-24,1.0993,1.1058,1.0565,1.0729,4346339
2006-01-25,1.0664,1.0696,1.0203,1.0565,7046431
2006-01-26,1.0598,1.0696,1.0268,1.0301,3233547
2006-01-27,1.0268,1.0959,0.984,1.0861,11311491
2006-01-30,1.1058,1.1157,1.0762,1.1026,7044334
2006-01-31,1.1157,1.119,1.04,1.0433,7236089
2006-02-01,1.0268,1.0664,0.9907,1.0268,6264128
2006-02-02,1.04,1.0466,0.9709,0.984,13345592
2006-02-03,0.9545,0.9545,0.859,0.9084,8392025
2006-02-06,0.8755,0.938,0.8755,0.9248,3770953
2006-02-07,0.9347,0.9478,0.8886,0.9149,2336211
2006-02-08,0.8985,0.9248,0.8788,0.9084,2437025
2006-02-09,0.9117,0.9446,0.9051,0.9149,6193760
2006-02-10,0.9314,1.0104,0.9281,0.9545,16713286
2006-02-13,0.9808,1.0005,0.9446,0.9478,8639627
2006-02-14,0.9874,1.0104,0.984,1.0038,8430978
2006-02-15,1.0104,1.0795,1.0005,1.0598,14506998
2006-02-16,1.0993,1.1058,1.0268,1.0466,7373729
2006-02-17,1.0466,1.0466,1.0005,1.0169,8659892
2006-02-20,1.0367,1.0433,0.9808,0.9972,6954396
2006-02-21,1.0038,1.0301,0.9709,1.0169,6257413
2006-02-22,1.0104,1.0236,1.0071,1.0071,1877015
