Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-01-02,150.943,150.943,142.116,150.501,6846
2006-01-03,150.06,151.826,149.177,150.501,9794
2006-01-04,147.853,153.591,147.853,153.591,8164
2006-01-05,152.708,153.591,150.501,152.708,54273
2006-01-06,152.708,156.239,150.501,152.708,34046
2006-01-09,156.239,158.005,145.205,149.177,19002
2006-01-10,152.708,152.708,147.412,149.177,44567
2006-01-11,151.826,154.474,149.177,153.591,53902
2006-01-12,150.06,153.591,150.06,153.15,26706
2006-01-13,153.15,163.301,153.15,158.887,59367
2006-01-16,159.77,171.245,159.77,171.245,33303
2006-01-17,171.245,175.659,170.362,173.01,91915
2006-01-18,169.48,175.659,167.714,175.659,104630
2006-01-19,175.659,176.541,169.921,174.776,41280
2006-01-20,173.893,174.776,173.01,173.893,51034
2006-01-23,168.156,174.776,168.156,173.01,6470
2006-01-24,173.01,174.776,173.01,174.776,46202
2006-01-25,173.893,173.893,167.714,172.128,24002
2006-01-26,173.452,173.893,169.48,171.245,11370
2006-01-27,172.569,173.01,169.921,173.01,60446
2006-01-30,170.362,174.776,170.362,173.893,16385
2006-01-31,170.804,171.245,164.625,166.39,73061
2006-02-01,165.949,165.949,163.301,165.066,26654
2006-02-02,165.066,165.066,161.535,163.301,32353
2006-02-03,163.301,163.301,161.535,162.418,7460
2006-02-06,162.418,164.625,159.77,164.184,6476
2006-02-07,163.301,166.832,161.094,165.066,24946
2006-02-08,167.714,167.714,164.184,165.066,6317
2006-02-09,166.832,166.832,162.859,163.301,34850
2006-02-10,163.742,163.742,160.653,162.418,13527
2006-02-13,161.094,162.418,160.653,161.535,9261
2006-02-14,161.535,164.184,159.77,160.653,83312
2006-02-15,160.653,162.418,159.329,162.418,76117
2006-02-16,163.301,165.949,162.418,165.066,27791
2006-02-17,165.066,166.832,162.418,166.39,19096
2006-02-20,167.714,170.362,167.714,169.48,20522
2006-02-21,172.128,174.335,170.362,173.01,19160
2006-02-22,172.128,173.893,170.804,172.128,24300
2006-02-23,172.128,173.01,171.245,172.128,17014
2006-02-24,171.686,171.686,168.597,170.362,33341
2006-02-27,170.362,171.245,167.714,171.245,42806
2006-02-28,163.742,170.804,163.742,165.949,24258
2006-03-01,164.625,167.714,162.418,167.714,10828
2006-03-02,167.714,169.921,167.714,169.48,9759
2006-03-03,169.48,169.48,162.418,167.714,13013
2006-03-06,167.273,168.156,164.184,165.066,16119
2006-03-07,165.066,165.066,156.68,162.418,22548
2006-03-08,161.535,161.535,153.591,156.68,17475
2006-03-09,158.005,158.887,156.239,158.005,4767
2006-03-10,158.887,159.329,151.826,158.446,16326
2006-03-13,158.005,158.005,155.356,157.563,11270
2006-03-14,158.005,158.005,152.708,153.591,20576
2006-03-15,153.591,157.122,153.591,156.239,42258
2006-03-16,157.122,158.005,154.032,158.005,64554
2006-03-17,159.77,160.211,153.591,153.591,65027
2006-03-20,157.122,157.122,153.591,155.798,19261
2006-03-21,154.474,156.68,154.474,155.356,12752
2006-03-22,150.943,153.15,146.529,151.826,18480
2006-03-23,150.501,153.591,150.501,153.15,7221
