Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-01-02,4.448,4.7084,4.448,4.6697,106101
2006-01-03,4.6216,4.8434,4.6216,4.7953,100026
2006-01-04,4.7953,5.0653,4.7953,4.9785,152028
2006-01-05,4.9785,5.1039,4.9302,5.1039,91077
2006-01-06,5.1039,5.2776,5.1039,5.2776,204897
2006-01-09,5.3259,5.5863,5.2776,5.5863,355581
2006-01-10,5.5863,5.6732,5.4995,5.4995,62327
2006-01-11,5.4512,5.76,5.4126,5.7119,458160
2006-01-12,5.76,5.7987,5.5382,5.76,211442
2006-01-13,5.6732,5.6732,5.5382,5.6732,45544
2006-01-16,5.6732,5.6732,5.5382,5.5382,296992
2006-01-17,5.4995,5.5382,5.4126,5.5382,27046
2006-01-18,5.4126,5.5863,5.3645,5.5863,75700
2006-01-19,5.5863,5.7119,5.4512,5.5863,127192
2006-01-20,5.625,5.7987,5.625,5.7987,28484
2006-01-23,6.1074,6.1074,5.8951,6.0688,74113
2006-01-24,6.0688,6.0688,5.9819,5.9819,21990
2006-01-25,6.0205,6.0205,5.9337,6.0205,5908
2006-01-26,6.0205,6.1074,6.0205,6.0205,18116
2006-01-27,5.8468,6.0205,5.6732,5.7987,404618
2006-01-30,5.9337,5.9337,5.625,5.76,31876
2006-01-31,5.6732,5.6732,5.3645,5.3645,16558
2006-02-01,5.239,5.6732,5.239,5.4126,19366
2006-02-02,5.4126,5.4126,5.239,5.3645,32810
2006-02-03,5.3645,5.3645,5.0653,5.239,219543
2006-02-06,5.239,5.2776,5.1908,5.2776,24354
2006-02-07,5.2776,5.2776,5.239,5.2776,214755
2006-02-08,5.239,5.5382,5.239,5.5382,13622
2006-02-09,5.5863,5.7119,5.4995,5.7119,11301
2006-02-10,5.7119,5.7119,5.4995,5.625,19743
2006-02-13,5.625,5.625,5.5382,5.625,17202
2006-02-14,5.625,5.625,5.5382,5.5863,3734
2006-02-15,5.7119,5.7987,5.6732,5.76,138055
2006-02-16,5.8951,5.9819,5.7987,5.8468,42651
2006-02-17,5.9819,5.9819,5.8468,5.9337,20065
2006-02-20,6.0205,6.2425,5.8468,6.1942,41110
2006-02-21,6.3292,6.4161,6.2425,6.2811,61125
2006-02-22,6.2811,6.3678,6.0205,6.1942,83427
2006-02-23,5.9337,6.2425,5.7987,6.1074,461779
2006-02-24,6.0205,6.4161,6.0205,6.3292,26188
2006-02-27,6.3678,6.4161,6.1074,6.2425,298185
2006-02-28,6.1942,6.3292,6.0205,6.1942,282299
2006-03-01,6.1074,6.2425,6.0205,6.0205,328898
2006-03-02,6.0688,6.0688,5.7987,5.7987,33791
2006-03-03,5.8468,5.9819,5.76,5.9337,2234750
2006-03-06,5.9819,6.2425,5.9337,5.9337,35833
2006-03-07,5.7987,5.8951,5.625,5.8951,69637
2006-03-08,5.8468,5.8468,5.7987,5.7987,16535
2006-03-09,5.7987,5.9337,5.7987,5.9337,53511
2006-03-10,5.8468,5.8468,5.76,5.7987,13047
2006-03-13,5.8951,5.8951,5.7119,5.8468,2081158
2006-03-14,5.76,5.7987,5.76,5.7987,38911
2006-03-15,5.76,5.7987,5.76,5.76,2311516
2006-03-16,5.76,6.0205,5.76,6.0205,13960
2006-03-17,6.0205,6.2425,5.8468,6.1074,443710
2006-03-20,6.2425,6.2425,6.0205,6.1556,205907
2006-03-21,6.0688,6.1942,5.9337,5.9819,871025
2006-03-22,5.9337,5.9337,5.8951,5.9337,652651
2006-03-23,5.9337,5.9337,5.9337,5.9337,9018
2006-03-24,5.9337,5.9337,5.7987,5.8951,34729
2006-03-27,5.8468,5.8951,5.76,5.7987,332046
2006-03-28,5.7987,5.7987,5.76,5.76,16482
2006-03-29,5.76,5.76,5.7119,5.76,11881
2006-03-30,5.76,5.8951,5.6732,5.7119,46165
2006-03-31,5.7119,5.8468,5.7119,5.7119,55136
2006-04-03,5.8951,5.9819,5.7119,5.76,55363
2006-04-04,5.76,5.76,5.5863,5.5863,38669
2006-04-05,5.5863,5.7987,5.4126,5.4512,1162437
2006-04-06,5.5863,5.5863,5.4995,5.5382,146666
2006-04-07,5.5863,5.76,5.5382,5.6732,247041
2006-04-10,5.8468,5.8951,5.6732,5.6732,10947
2006-04-11,5.6732,5.7119,5.5382,5.625,15942
2006-04-12,5.625,5.625,5.5382,5.5863,235801
2006-04-13,5.625,5.8951,5.5382,5.76,34453
2006-04-18,5.8468,5.8468,5.76,5.8468,49689
2006-04-19,5.8951,5.9819,5.8468,5.8951,44943
2006-04-20,5.9337,5.9819,5.8468,5.8468,6338
2006-04-21,5.8468,5.8951,5.7987,5.7987,13622
2006-04-24,5.76,5.76,5.625,5.7119,44306
2006-04-25,5.76,5.76,5.6732,5.76,4564
2006-04-26,5.76,5.8468,5.6732,5.6732,63268
2006-04-27,5.625,5.7119,5.625,5.6732,82214
2006-04-28,5.76,5.8468,5.76,5.76,9926
2006-05-02,5.9337,6.1074,5.8951,5.9819,44794
2006-05-04,6.0688,6.1556,5.76,5.9337,666781
2006-05-05,6.0688,6.0688,5.7987,5.8468,35290
2006-05-08,5.7119,5.8951,5.6732,5.7119,36675
2006-05-09,5.76,5.8951,5.76,5.76,20949
2006-05-10,5.7987,5.8468,5.76,5.7987,15263
2006-05-11,5.7119,5.7987,5.7119,5.76,15756
2006-05-12,5.76,5.76,5.7119,5.7119,7403
2006-05-15,5.7119,5.7119,5.625,5.6732,19540
2006-05-16,5.4126,5.4126,4.8434,5.239,324467
2006-05-17,5.1039,5.4126,5.1039,5.4126,209571
2006-05-18,5.3259,5.5092,5.3259,5.5092,119232
2006-05-19,5.5478,5.5478,5.3741,5.4126,68126
2006-05-22,5.3741,5.3741,5.0171,5.0171,56236
2006-05-23,5.1426,5.5092,5.0557,5.3741,131979
2006-05-24,5.4609,5.5478,5.239,5.239,863554
2006-05-25,5.3259,5.4126,5.239,5.4126,910822
2006-05-26,5.5092,5.6829,5.4126,5.4609,28563
2006-05-29,5.5478,5.5478,5.3259,5.5478,112820
2006-05-30,5.6346,5.6346,5.3259,5.3741,14526
2006-05-31,5.239,5.4609,5.239,5.4126,514889
2006-06-01,5.5478,5.5478,5.4126,5.4609,7172
2006-06-02,5.4609,5.5478,5.4609,5.5478,113585
2006-06-05,5.5478,5.5478,5.3741,5.4126,6044
2006-06-06,5.4126,5.4126,5.3259,5.3741,564541
2006-06-07,5.4609,5.4609,5.2776,5.3259,258
2006-06-08,5.3741,5.3741,5.2776,5.2776,60495
2006-06-09,5.2776,5.2776,5.2776,5.2776,4077
2006-06-12,5.3259,5.3259,5.2776,5.2776,178670
2006-06-13,5.1039,5.239,4.9207,5.1426,86779
2006-06-14,5.0171,5.0171,4.9207,4.9207,283219
2006-06-16,4.9689,5.1426,4.9689,5.1039,136602
2006-06-19,5.0171,5.0557,5.0171,5.0557,57760
2006-06-20,5.1039,5.239,5.1039,5.1908,16990
2006-06-21,5.2776,5.3259,5.239,5.239,3806
2006-06-22,5.1908,5.239,5.1908,5.1908,364847
2006-06-23,5.1908,5.1908,5.1908,5.1908,2318
2006-06-26,5.1908,5.2776,5.1908,5.2776,229371
2006-06-27,5.239,5.3741,5.239,5.2776,191345
2006-06-28,5.1908,5.1908,5.1039,5.1908,29759
2006-06-29,5.1908,5.1908,5.1908,5.1908,162738
