Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-01-02,157.596,164.926,156.68,164.926,3336
2006-01-03,164.926,175.921,162.177,174.089,58399
2006-01-04,169.966,175.921,168.133,174.089,47278
2006-01-05,173.172,182.335,173.172,181.419,3673
2006-01-06,180.961,183.251,178.67,181.419,16154
2006-01-09,181.419,184.626,169.507,171.34,37312
2006-01-10,173.172,174.089,166.759,166.759,50280
2006-01-11,169.507,173.172,166.759,168.591,78214
2006-01-12,169.966,172.714,168.133,170.424,31635
2006-01-13,170.424,175.005,170.424,174.089,11609
2006-01-16,174.547,181.419,174.547,179.586,32913
2006-01-17,178.212,183.709,178.212,180.044,52875
2006-01-18,175.921,183.251,175.921,181.419,3831
2006-01-19,184.626,192.414,178.67,187.833,28320
2006-01-20,192.414,197.911,192.414,196.537,16562
2006-01-23,195.163,198.369,192.414,194.704,19237
2006-01-24,194.704,195.163,188.749,188.749,19437
2006-01-25,191.498,191.498,183.251,185.084,39036
2006-01-26,184.626,187.833,184.626,185.084,74296
2006-01-27,186,187.833,185.084,187.833,56999
2006-01-30,185.084,191.956,184.167,188.291,17882
2006-01-31,191.956,193.33,186,186,16123
2006-02-01,186,189.665,184.626,189.665,50857
2006-02-02,189.665,189.665,186,189.665,5564
2006-02-03,189.665,192.414,187.833,192.414,12740
2006-02-06,192.414,199.744,192.414,198.828,19986
2006-02-07,199.744,209.823,198.369,209.823,77173
2006-02-08,203.409,219.901,203.409,213.03,26199
2006-02-09,214.404,219.901,214.404,218.069,158432
2006-02-10,218.069,218.069,211.655,211.655,95676
2006-02-13,206.616,210.739,206.158,206.616,2427
2006-02-14,207.532,210.739,207.532,210.739,4469
2006-02-15,210.739,211.197,207.99,210.739,35413
2006-02-16,210.739,210.739,208.906,210.739,13803
2006-02-17,210.739,221.734,208.906,214.404,111150
2006-02-20,227.232,243.724,220.818,231.355,34101
2006-02-21,238.227,241.892,229.064,231.355,22391
2006-02-22,231.355,233.645,225.399,228.606,20301
2006-02-23,235.936,236.394,213.488,219.901,56620
2006-02-24,222.65,261.133,218.985,258.842,76802
2006-02-27,273.961,273.961,247.847,254.719,30739
2006-02-28,250.138,256.552,238.227,241.892,24313
2006-03-01,238.685,250.138,238.685,247.389,18982
2006-03-02,247.389,254.719,243.724,254.719,52560
2006-03-03,254.719,254.719,250.138,251.512,30283
2006-03-06,250.138,257.926,245.557,255.177,18389
2006-03-07,255.177,255.177,239.601,242.808,73415
2006-03-08,243.724,246.473,238.227,243.724,11402
2006-03-09,244.64,251.054,244.64,250.596,29215
2006-03-10,251.512,251.512,245.099,250.596,51593
2006-03-13,250.596,252.887,245.557,252.429,6128
2006-03-14,251.97,253.803,242.808,253.803,6208
2006-03-15,249.222,264.798,249.222,263.424,13350
2006-03-16,268.005,293.202,268.005,288.621,37457
2006-03-17,297.783,297.783,281.291,286.788,97049
2006-03-20,288.163,288.621,279.458,284.039,9198
2006-03-21,279.458,283.581,274.419,277.626,23999
2006-03-22,272.128,274.419,262.966,269.379,23931
2006-03-23,265.714,270.296,262.966,263.882,85443
2006-03-24,270.296,270.296,263.882,265.714,51203
2006-03-27,269.837,269.837,263.882,265.714,12834
2006-03-28,268.463,268.463,262.966,262.966,22078
2006-03-29,262.966,264.798,260.217,264.798,13747
2006-03-30,264.798,265.714,261.133,263.882,26632
2006-03-31,263.882,265.714,261.133,265.256,15770
2006-04-03,262.049,263.882,262.049,263.424,30110
2006-04-04,262.966,265.714,262.049,263.424,19588
2006-04-05,263.424,263.424,257.468,261.133,30917
2006-04-06,262.049,262.507,258.842,259.3,21218
2006-04-07,261.133,265.714,260.217,262.049,32601
2006-04-10,262.507,265.714,262.507,264.798,14536
2006-04-11,260.217,263.882,258.384,262.049,6148
2006-04-12,257.468,263.882,257.468,262.049,7471
2006-04-13,262.966,264.798,260.675,261.133,4777
2006-04-18,259.759,262.966,259.759,260.675,15010
2006-04-19,261.591,262.507,258.384,258.842,31606
2006-04-20,260.217,260.217,251.054,253.345,23820
2006-04-21,248.305,252.887,237.31,238.227,59853
2006-04-24,238.227,238.227,232.729,233.645,31809
2006-04-25,234.103,246.473,231.813,238.227,183024
2006-04-26,242.35,246.931,242.35,243.724,31811
2006-04-27,249.68,253.803,243.724,245.557,69326
2006-04-28,244.64,249.222,243.724,243.724,11249
2006-05-02,244.64,249.222,243.724,246.015,19460
2006-05-04,246.015,246.015,239.601,245.557,13602
2006-05-05,245.557,259.3,239.601,259.3,22293
2006-05-08,257.468,257.926,250.138,251.97,17156
2006-05-09,251.97,252.887,249.68,251.97,25654
2006-05-10,254.261,259.3,252.887,254.719,20607
2006-05-11,255.635,258.384,254.719,254.719,107050
2006-05-12,258.384,261.133,250.138,254.719,103081
2006-05-15,261.133,262.049,247.847,251.512,19787
2006-05-16,254.261,258.384,250.596,255.635,12471
2006-05-17,256.552,256.552,240.975,240.975,33869
2006-05-18,240.975,245.099,233.645,245.099,14415
2006-05-19,245.557,245.557,237.31,239.601,45117
2006-05-22,238.685,242.808,215.778,238.227,15194
2006-05-23,221.734,233.645,210.739,229.064,29342
2006-05-24,226.773,226.773,215.32,217.611,32519
2006-05-25,218.527,227.69,207.99,221.734,65223
2006-05-26,229.064,233.187,227.232,230.897,23174
2006-05-29,238.227,238.227,229.522,230.897,25741
2006-05-30,229.064,230.897,214.404,230.897,24629
2006-05-31,219.901,230.897,219.901,228.148,87568
2006-06-01,228.148,229.064,221.734,225.399,26793
2006-06-02,229.064,229.98,224.941,228.148,9974
2006-06-05,226.315,237.31,226.315,230.897,14774
2006-06-06,229.064,229.064,224.483,225.399,7250
2006-06-07,228.148,228.148,221.276,222.65,45034
2006-06-08,219.901,219.901,213.488,215.32,57828
2006-06-09,219.901,220.818,210.739,215.32,26482
2006-06-12,215.32,215.32,202.493,205.241,35703
2006-06-13,196.995,201.576,187.833,195.163,126887
2006-06-14,192.414,201.576,187.833,196.995,44549
2006-06-16,205.241,205.7,199.744,202.493,25125
2006-06-19,205.241,214.404,202.951,211.655,22977
2006-06-20,210.739,213.488,210.281,211.655,30386
2006-06-21,213.03,223.567,213.03,222.65,39600
2006-06-22,229.064,232.729,219.901,222.192,17464
2006-06-23,216.236,229.064,216.236,224.025,30985
2006-06-26,224.941,229.064,222.65,226.315,15277
2006-06-27,227.232,236.394,224.483,233.645,43963
2006-06-28,230.897,237.31,227.232,237.31,16861
2006-06-29,237.31,239.143,233.645,238.227,49749
2006-06-30,240.975,243.724,238.227,242.808,101157
2006-07-03,244.64,244.64,236.394,241.892,13602
2006-07-04,240.975,242.808,240.975,242.35,19261
2006-07-05,241.892,242.808,235.936,238.227,17880
2006-07-06,240.059,245.099,236.394,242.808,22322
2006-07-07,242.808,243.266,238.227,242.808,37253
2006-07-10,238.227,253.803,238.227,246.473,32076
2006-07-11,246.473,249.68,242.808,245.557,10874
2006-07-12,248.305,250.138,245.557,246.473,38582
2006-07-13,242.808,246.473,235.02,238.685,17123
2006-07-14,233.645,238.685,229.98,238.227,15028
2006-07-17,241.892,241.892,233.187,233.645,17521
2006-07-18,234.103,238.227,232.729,237.768,26376
2006-07-19,240.517,240.517,234.103,238.685,19777
2006-07-20,241.433,250.138,241.433,248.764,12310
2006-07-21,247.389,262.966,247.389,256.552,49625
2006-07-24,261.133,262.507,256.552,258.384,18280
