Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-01-02,49.1267,49.9451,48.3813,49.864,39002
2006-01-03,50.018,50.9823,49.9451,50.6824,24760
2006-01-04,51.3549,52.4731,51.3549,52.1732,96978
2006-01-05,52.1732,52.4731,51.7276,52.1003,19124
2006-01-06,51.8006,52.546,51.7276,52.546,17593
2006-01-09,52.4731,52.546,50.3178,52.0275,41760
2006-01-10,51.7276,52.1003,51.3549,52.0275,24413
2006-01-11,52.1003,52.546,52.1003,52.4731,17969
2006-01-12,52.1732,52.6919,52.1732,52.546,42941
2006-01-13,52.4731,52.6189,51.9546,52.4001,11657
2006-01-16,52.1003,52.8459,51.9546,52.8459,23775
2006-01-17,52.9916,52.9916,52.3272,52.546,39353
2006-01-18,52.6919,52.6919,51.5818,52.1003,10905
2006-01-19,51.7276,52.8459,51.7276,52.8459,24839
2006-01-20,52.8459,52.8459,51.7276,52.8459,32946
2006-01-23,52.1003,52.4731,51.8006,51.9546,2254
2006-01-24,51.9546,52.1003,51.8736,52.1003,7461
2006-01-25,52.1003,52.6919,52.1003,52.4731,61798
2006-01-26,52.2463,52.8459,52.2463,52.6919,36766
2006-01-27,52.9188,53.0646,52.7729,52.9188,90874
2006-01-30,53.0646,53.1457,52.1732,52.4001,6721
2006-01-31,52.4731,52.6919,52.2463,52.4001,25682
2006-02-01,52.1732,52.546,51.7276,52.4001,11886
2006-02-02,52.2463,52.6919,52.0275,52.6919,7192
2006-02-03,52.8459,53.883,52.6919,52.6919,25827
2006-02-06,52.9916,54.4826,52.6919,54.4097,23093
2006-02-07,54.7013,55.3739,54.5555,55.3009,37269
2006-02-08,55.2281,55.8195,54.7825,55.8195,41808
2006-02-09,55.8195,55.8195,54.6284,55.7466,10690
2006-02-10,55.8195,55.8195,55.2281,55.2281,26216
2006-02-13,54.5555,55.2281,54.2556,54.4097,32679
2006-02-14,54.3368,55.1551,54.3368,54.7013,28942
2006-02-15,55.0012,55.0012,53.964,53.964,5145
2006-02-16,53.964,54.8553,53.964,54.3368,4536
2006-02-17,54.3368,55.0741,54.3368,54.9283,35276
2006-02-20,54.4826,55.0741,54.4826,54.7013,877
2006-02-21,54.7013,55.0741,54.4097,54.4097,7577
2006-02-22,54.7013,54.9283,54.4097,54.9283,6207
2006-02-23,55.0741,55.0741,54.6284,54.6284,2435
2006-02-24,54.4097,55.0012,54.4097,54.5555,4610
2006-02-27,54.2556,54.7825,54.2556,54.5555,13622
2006-02-28,54.5555,55.1551,54.5555,54.9283,18186
2006-03-01,53.964,54.4097,53.5913,54.4097,25215
2006-03-02,54.5555,55.1551,54.5555,55.0741,27452
2006-03-03,55.0741,55.0741,54.8553,55.0741,108190
2006-03-06,54.7825,54.7825,54.3368,54.7825,3002
2006-03-07,54.7825,54.9283,54.1828,54.7013,25299
2006-03-08,54.3368,54.7825,53.3644,53.5185,17924
2006-03-09,52.7729,53.2186,52.4001,52.8459,8746
2006-03-10,52.546,53.0646,52.546,52.6189,13836
2006-03-13,51.8006,52.1003,51.4279,52.1003,17590
2006-03-14,51.7276,51.7276,51.0552,51.5089,24102
2006-03-15,51.7276,52.4731,51.7276,52.1003,5961
2006-03-16,52.3272,54.3368,52.3272,53.883,38366
2006-03-17,54.3368,55.2281,53.883,53.964,155203
2006-03-20,54.3368,54.3368,53.4373,53.5913,9853
2006-03-21,53.4373,53.81,53.2186,53.2186,31991
2006-03-22,53.7371,53.964,52.9916,53.4373,52377
2006-03-23,53.964,54.4826,53.81,54.4826,15712
2006-03-24,54.7013,54.9283,53.6642,54.7013,94986
2006-03-27,54.3368,54.5555,53.883,54.5555,14796
2006-03-28,54.5555,54.5555,53.964,53.964,9033
2006-03-29,54.1099,54.1099,53.5913,53.5913,18293
2006-03-30,54.3368,54.3368,53.2186,53.883,18736
2006-03-31,53.5913,53.964,53.2915,53.964,30925
2006-04-03,53.4373,53.883,53.3644,53.5913,20914
2006-04-04,53.5913,53.964,53.5913,53.5913,39916
2006-04-05,53.5913,54.0369,53.5913,53.7371,4934
2006-04-06,53.7371,54.0369,53.5913,53.964,144057
2006-04-07,54.0369,54.5555,53.964,54.4826,54298
2006-04-10,54.6284,54.7013,54.4826,54.7013,80347
2006-04-11,54.7013,54.7013,54.3368,54.7013,31466
2006-04-12,54.6284,54.6284,53.964,54.4826,3509
2006-04-13,54.3368,54.6284,54.0369,54.4826,39417
2006-04-18,54.7013,54.7013,54.3368,54.7013,12968
2006-04-19,54.6284,54.6284,54.1828,54.3368,78529
2006-04-20,54.3368,54.4826,54.0369,54.3368,72088
2006-04-21,54.4826,54.5555,54.0369,54.3368,110284
2006-04-24,54.4826,54.5555,53.964,54.4097,26481
2006-04-25,54.3368,54.5555,53.964,53.964,18049
2006-04-26,54.3368,54.4826,53.7371,53.964,41668
2006-04-27,54.3368,54.3368,52.7729,53.5913,181381
2006-04-28,54.1099,54.1099,52.9188,53.5913,19751
2006-05-02,53.5913,53.7371,53.5185,53.5913,49336
2006-05-04,53.5913,53.5913,52.9916,53.2186,9788
2006-05-05,53.0646,53.5913,52.8459,53.3644,100553
2006-05-08,53.5913,53.964,52.9188,53.4373,68068
2006-05-09,53.2186,53.5913,53.2186,53.2186,20529
2006-05-10,52.9916,52.9916,51.8006,52.4731,37550
2006-05-11,53.5913,53.5913,52.8459,52.9916,17415
2006-05-12,53.3644,53.5185,52.8459,52.9916,8186
2006-05-15,52.7729,52.7729,51.8006,51.8736,18257
2006-05-16,51.8736,51.9546,51.0552,51.3549,31973
2006-05-17,51.3549,51.4279,50.6095,50.6824,139212
2006-05-18,50.6824,50.6824,50.1639,50.6095,120925
2006-05-19,50.9823,50.9823,50.5365,50.6095,89358
2006-05-22,51.2091,51.2091,50.4636,50.6095,37665
2006-05-23,50.4636,50.6095,48.3813,50.3908,90366
2006-05-24,50.2368,50.6095,49.4913,49.7912,144774
2006-05-25,49.4913,49.864,49.4913,49.864,50250
2006-05-26,50.6095,50.6095,49.4913,50.2368,10974
2006-05-29,50.5365,50.6095,49.9451,50.2368,4520
2006-05-30,49.864,50.2368,49.1267,49.1267,182998
2006-05-31,48.4542,49.7183,48.3813,49.1267,32896
2006-06-01,49.3455,50.018,49.3455,50.018,10455
2006-06-02,50.091,50.9823,49.864,50.9092,27465
2006-06-05,51.3549,51.5818,50.7634,51.3549,23196
2006-06-06,51.3549,51.3549,50.6095,50.9823,52028
2006-06-07,51.282,51.282,50.7634,50.9823,36265
2006-06-08,50.3178,50.6095,49.9451,50.4636,11071
2006-06-09,50.5365,50.9823,49.864,49.9451,6811
2006-06-12,50.7634,50.7634,49.0456,49.1267,16515
