Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-01-02,43.48,44.77,43.48,44.37,168492
2006-01-03,44.37,46.16,44.27,45.76,353840
2006-01-04,46.26,46.46,45.86,46.36,340785
2006-01-05,46.46,46.56,45.66,46.16,346565
2006-01-06,46.06,47.55,45.96,47.55,543457
2006-01-09,47.95,49.63,47.95,48.04,577303
2006-01-10,47.75,47.85,47.05,47.35,152986
2006-01-11,49.14,49.14,47.25,48.54,309412
2006-01-12,48.54,49.14,47.65,48.64,262703
2006-01-13,48.54,48.54,47.65,47.85,81658
2006-01-16,47.45,49.43,47.45,49.43,103986
2006-01-17,49.43,51.32,49.14,51.22,627367
2006-01-18,48.64,53.5,48.64,52.61,558913
2006-01-19,52.61,54.79,52.61,53.6,394750
2006-01-20,54.3,54.6,53.31,53.8,350481
2006-01-23,53.21,54.79,52.71,54.4,219486
2006-01-24,55.09,56.08,54.89,55.49,467931
2006-01-25,56.18,57.38,55.99,56.38,414205
2006-01-26,56.48,56.98,54,54.6,1092597
2006-01-27,54.6,54.6,52.31,52.81,598285
2006-01-30,52.81,53.7,52.81,52.91,157098
2006-01-31,53.11,53.21,49.83,50.13,215558
2006-02-01,50.03,53.11,49.33,51.52,475629
2006-02-02,52.51,53.01,51.12,51.12,283815
2006-02-03,51.12,51.12,49.43,49.63,313723
2006-02-06,49.93,50.72,49.43,49.53,222632
2006-02-07,50.03,50.03,48.74,49.53,180426
2006-02-08,49.14,49.53,48.44,49.53,197024
2006-02-09,50.03,50.72,50.03,50.53,248914
2006-02-10,50.53,50.53,49.83,49.83,188178
2006-02-13,49.43,50.13,49.14,49.43,127834
2006-02-14,49.83,50.53,49.43,49.53,114114
2006-02-15,49.63,50.82,48.84,50.82,390004
2006-02-16,50.72,50.82,50.03,50.13,61026
2006-02-17,50.23,53.4,49.93,52.61,362244
2006-02-20,53.01,54.5,53.01,54.3,384265
2006-02-21,54.6,54.6,53.6,54.6,231864
2006-02-22,54.4,54.4,53.9,54,139540
2006-02-23,53.6,54.2,53.6,54,130738
2006-02-24,54.4,55.59,53.9,55.59,217561
2006-02-27,55.09,55.39,54.89,55.09,218802
2006-02-28,53.6,53.6,50.43,50.92,529290
2006-03-01,52.81,52.91,50.82,51.02,516191
2006-03-02,51.12,52.02,51.02,51.12,293719
2006-03-03,51.52,51.72,50.13,51.02,87924
2006-03-06,51.22,51.62,50.13,50.23,115003
2006-03-07,50.23,50.23,47.75,49.04,343428
2006-03-08,48.84,49.04,46.95,48.64,444701
2006-03-09,48.54,48.74,46.65,48.64,362094
2006-03-10,48.74,48.84,47.25,48.64,97422
2006-03-13,48.64,49.43,47.75,48.64,100133
2006-03-14,48.64,53.11,48.14,53.11,284802
2006-03-15,51.12,51.72,49.43,51.62,319482
2006-03-16,51.62,51.62,50.82,51.52,191473
2006-03-17,51.62,53.11,51.62,52.91,629606
2006-03-20,52.11,52.91,51.52,52.21,168114
2006-03-21,52.41,52.61,51.62,51.72,140731
2006-03-22,51.12,51.22,50.82,50.82,153799
2006-03-23,50.82,51.42,50.82,51.12,52413
2006-03-24,51.62,52.21,51.42,52.11,108341
2006-03-27,52.11,52.11,51.22,51.22,62856
