Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-01-02,140.2307,144.2443,139.4266,144.2443,46875
2006-01-03,144.651,149.4696,143.4402,149.4696,200489
2006-01-04,152.6783,152.6783,147.4623,151.8826,342367
2006-01-05,151.476,151.476,147.0557,149.4696,191564
2006-01-06,149.867,151.0786,147.8606,149.4696,353010
2006-01-09,150.672,151.8826,148.2672,148.6646,280149
2006-01-10,147.8606,148.6646,143.8469,143.8469,261593
2006-01-11,146.2516,148.2672,144.2443,147.8606,249035
2006-01-12,147.8606,149.063,145.4467,147.8606,189303
2006-01-13,143.042,143.8469,141.433,141.433,321186
2006-01-16,141.433,143.4402,141.433,142.238,278100
2006-01-17,143.042,144.651,140.2307,142.6353,256448
2006-01-18,140.2307,141.8313,138.215,139.824,151591
2006-01-19,142.238,145.4467,141.8313,143.4402,187705
2006-01-20,143.8469,146.6583,142.238,145.0493,92023
2006-01-23,143.042,148.2672,141.0263,148.2672,99497
2006-01-24,147.8606,147.8606,143.042,144.2443,151185
2006-01-25,146.2516,146.2516,142.238,144.2443,177010
2006-01-26,143.8469,143.8469,141.0263,142.238,228520
2006-01-27,142.238,142.238,138.6217,141.433,100104
2006-01-30,141.8313,142.6353,139.824,142.238,85104
2006-01-31,141.433,143.042,139.4266,141.0263,215260
2006-02-01,139.4266,141.433,137.0126,139.824,158932
2006-02-02,141.433,141.433,135.8103,136.6152,197148
2006-02-03,135.0063,135.4037,131.39,132.1949,191212
2006-02-06,133.3973,140.2307,133.3973,140.2307,115038
2006-02-07,140.2307,140.2307,136.6152,139.0199,102837
2006-02-08,137.411,142.238,137.0126,139.4266,200666
2006-02-09,141.0263,141.433,136.2086,138.215,85916
2006-02-10,137.0126,139.0199,136.6152,137.411,142932
2006-02-13,137.0126,137.8176,135.8103,135.8103,103571
2006-02-14,137.411,137.411,135.8103,135.8103,240976
2006-02-15,136.6152,138.215,133.3973,134.2013,457906
2006-02-16,136.6152,137.411,135.4037,136.6152,271501
2006-02-17,138.215,140.6289,137.411,140.6289,623925
2006-02-20,141.433,146.2516,139.824,145.4467,302207
2006-02-21,146.2516,146.2516,143.8469,143.8469,122444
2006-02-22,144.651,147.0557,141.433,143.8469,291238
2006-02-23,142.6353,147.8606,142.6353,146.6583,285362
2006-02-24,147.4623,149.4696,144.2443,149.4696,307839
2006-02-27,149.4696,156.303,148.2672,153.4833,334796
2006-02-28,152.6783,157.5053,150.2736,151.0786,392770
2006-03-01,151.476,153.0849,151.0786,152.6783,138628
2006-03-02,153.4833,156.303,153.4833,155.8963,181843
2006-03-03,155.8963,155.8963,148.6646,150.672,493730
2006-03-06,150.672,155.0923,149.867,154.694,133113
2006-03-07,154.2873,154.2873,150.2736,152.6783,392048
2006-03-08,152.6783,152.6783,148.6646,151.0786,326134
2006-03-09,152.6783,153.4833,147.8606,147.8606,217568
2006-03-10,147.4623,148.6646,144.651,147.0557,185213
2006-03-13,147.8606,149.4696,146.2516,147.0557,111028
2006-03-14,146.2516,146.2516,142.6353,142.6353,254424
2006-03-15,146.6583,147.4623,144.651,145.4467,140718
2006-03-16,145.4467,146.2516,144.651,146.2516,181857
2006-03-17,147.4623,149.4696,145.4467,145.4467,601472
2006-03-20,145.4467,149.063,145.4467,147.0557,38185
2006-03-21,145.0493,149.063,145.0493,145.8533,96649
2006-03-22,144.2443,144.651,143.042,143.8469,173018
2006-03-23,144.2443,147.0557,144.2443,147.0557,63036
2006-03-24,147.8606,148.6646,145.8533,146.6583,41364
2006-03-27,146.6583,151.0786,146.2516,151.0786,52002
2006-03-28,151.0786,151.0786,149.063,149.4696,110564
2006-03-29,146.6583,152.6783,145.0493,152.6783,140288
2006-03-30,153.4833,155.0923,151.8826,155.0923,173873
2006-03-31,153.4833,155.0923,151.8826,153.4833,210718
2006-04-03,153.0849,158.3103,153.0849,156.7012,122695
2006-04-04,156.7012,158.3103,151.0786,154.2873,400722
2006-04-05,156.303,159.9193,151.476,151.476,358112
2006-04-06,155.8963,157.5053,153.0849,154.2873,247199
2006-04-07,155.8963,156.7012,154.2873,155.0923,153816
2006-04-10,153.8899,155.0923,151.0786,151.0786,79406
2006-04-11,150.2736,152.6783,150.2736,151.0786,115744
2006-04-12,150.672,155.4989,150.672,155.4989,187328
2006-04-13,154.694,156.303,153.0849,154.694,187130
2006-04-18,154.2873,156.303,152.6783,154.694,82141
2006-04-19,156.7012,157.5053,153.0849,156.7012,161033
2006-04-20,156.7012,160.7149,154.694,160.7149,257566
2006-04-21,160.7149,167.9549,158.3103,166.3459,264273
2006-04-24,166.3459,171.1646,165.9393,168.7507,224776
2006-04-25,168.7507,171.9686,166.3459,169.5556,225629
2006-04-26,171.9686,173.171,165.5419,173.171,168771
2006-04-27,174.3826,176.389,165.9393,168.7507,253739
2006-04-28,167.9549,171.5712,164.3396,165.5419,135037
2006-05-02,162.324,165.5419,162.324,163.5346,238118
2006-05-04,164.737,169.5556,164.737,168.3533,386607
2006-05-05,170.7663,173.9759,167.9549,169.5556,149874
2006-05-08,169.9622,170.3596,167.9549,167.9549,109741
2006-05-09,167.9549,169.9622,166.7443,166.7443,65660
2006-05-10,168.7507,168.7507,163.128,163.128,136923
2006-05-11,165.5419,169.5556,164.737,168.7507,296056
2006-05-12,166.7443,168.7507,163.933,165.5419,131081
2006-05-15,163.128,165.5419,160.3167,160.3167,230593
2006-05-16,161.9256,163.5346,160.3167,161.519,343168
2006-05-17,163.6123,166.1131,157.765,160.2732,297231
