Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-01-02,2.8015,2.8455,2.775,2.8279,9018084
2006-01-03,2.8543,2.8983,2.8455,2.8807,11453722
2006-01-04,2.9072,2.9248,2.8895,2.9072,5773506
2006-01-05,2.9248,2.9248,2.8895,2.8895,9439166
2006-01-06,2.8543,2.8719,2.8367,2.8455,9985873
2006-01-09,2.8719,2.8895,2.8367,2.8367,8104163
2006-01-10,2.8191,2.8191,2.7926,2.8015,5878325
2006-01-11,2.7926,2.8191,2.7926,2.8103,6729319
2006-01-12,2.8191,2.8191,2.8015,2.8103,4590151
2006-01-13,2.8015,2.8191,2.8015,2.8103,4412705
2006-01-16,2.8103,2.8191,2.7926,2.8103,7603973
2006-01-17,2.8015,2.8103,2.7926,2.8103,6293617
2006-01-18,2.7839,2.7926,2.7839,2.7839,3210870
2006-01-19,2.7839,2.8191,2.775,2.8103,5679923
2006-01-20,2.8191,2.8983,2.8103,2.8631,6953960
2006-01-23,2.8455,2.8455,2.8191,2.8367,4797043
2006-01-24,2.8455,2.8807,2.8191,2.8455,5296964
2006-01-25,2.8631,2.9337,2.8543,2.9337,21349538
2006-01-26,2.9513,3.004,2.9072,2.9248,9575554
2006-01-27,2.9337,2.9337,2.8807,2.9072,3243439
2006-01-30,2.8807,2.8807,2.8279,2.8543,3010291
2006-01-31,2.8367,2.8543,2.7398,2.775,4999118
2006-02-01,2.7663,2.8279,2.7398,2.8279,3931701
2006-02-02,2.8279,2.8719,2.8191,2.8543,6171668
2006-02-03,2.8543,2.8631,2.8015,2.8279,3604247
2006-02-06,2.7926,2.8191,2.7839,2.8103,2618574
2006-02-07,2.8191,2.8279,2.7839,2.8279,3251095
2006-02-08,2.8279,2.8279,2.8015,2.8191,1900460
2006-02-09,2.8191,2.8279,2.8015,2.8191,1957615
2006-02-10,2.8103,2.8279,2.8103,2.8191,4719865
2006-02-13,2.8191,2.8455,2.8103,2.8191,1397112
2006-02-14,2.8191,2.8279,2.8015,2.8103,2659937
2006-02-15,2.8103,2.8191,2.7926,2.8015,1697486
2006-02-16,2.8103,2.8191,2.6517,2.7222,5756240
2006-02-17,2.7486,2.7926,2.7486,2.7926,6543697
2006-02-20,2.8103,2.8103,2.7663,2.7839,5312567
2006-02-21,2.7926,2.8015,2.7574,2.7663,3903360
2006-02-22,2.775,2.775,2.7486,2.775,3020551
2006-02-23,2.7574,2.775,2.7574,2.7663,2474066
2006-02-24,2.7663,2.775,2.7486,2.7663,1872604
2006-02-27,2.775,2.7926,2.7574,2.775,3065567
2006-02-28,2.7663,2.7663,2.6605,2.6781,7146443
2006-03-01,2.6781,2.7134,2.6252,2.6605,6348140
2006-03-02,2.6693,2.7486,2.6693,2.7309,12500433
2006-03-03,2.7574,2.775,2.7309,2.7663,10580743
2006-03-06,2.775,2.8191,2.7663,2.8103,9008339
2006-03-07,2.8103,2.8191,2.7398,2.775,10501890
2006-03-08,2.7839,2.7926,2.7222,2.7663,7704253
2006-03-09,2.7663,2.8015,2.7663,2.8015,9436645
2006-03-10,2.8103,2.8191,2.7309,2.8015,4222596
