Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-01-02,59.4602,60.7964,59.2693,60.6055,533789
2006-01-03,60.701,63.6597,60.701,63.087,1407191
2006-01-04,64.4232,65.0913,63.1824,65.0913,1473939
2006-01-05,64.9004,64.9004,63.3733,64.0414,1404484
2006-01-06,64.0414,65.0913,63.2779,65.0913,1155245
2006-01-09,65.9503,67.0001,65.3776,66.1411,2007632
2006-01-10,65.9503,66.7138,64.3277,64.4232,1533290
2006-01-11,64.9958,65.1867,64.4232,64.7095,1837184
2006-01-12,64.7095,64.7095,62.8961,63.3733,2505678
2006-01-13,62.8007,62.8007,61.4645,61.5599,1099255
2006-01-16,61.0827,62.0371,61.0827,61.7508,1245576
2006-01-17,61.7508,61.9417,60.5101,60.9873,1667966
2006-01-18,60.0329,60.6055,59.6511,60.1283,1280250
2006-01-19,61.0827,62.5144,60.8918,62.4189,1251551
2006-01-20,62.9916,63.2779,61.9417,62.4189,889614
2006-01-23,61.4645,62.6098,60.7964,62.0371,1336246
2006-01-24,62.0371,63.4688,61.6554,63.2779,1741396
2006-01-25,63.946,64.0414,63.087,63.3733,1230086
2006-01-26,63.6597,63.6597,60.8918,61.0827,815465
2006-01-27,62.0371,62.0371,60.9873,61.369,959219
2006-01-30,61.8463,63.087,59.842,61.9417,829499
2006-01-31,62.6098,63.1824,60.701,60.8918,900815
2006-02-01,60.5101,61.5599,60.4146,61.369,726689
2006-02-02,61.7508,61.7508,60.6055,60.701,602513
2006-02-03,60.1283,60.1283,57.8377,58.7921,1518652
2006-02-06,59.0784,59.7465,58.983,59.6511,750705
2006-02-07,60.1283,60.5101,58.983,60.4146,800967
2006-02-08,59.1739,59.842,58.6967,59.3648,906108
2006-02-09,59.7465,60.6055,59.6511,59.842,820355
2006-02-10,59.5557,59.5557,58.0286,58.2195,686213
2006-02-13,57.5514,57.8377,56.9787,57.1696,1266923
2006-02-14,57.7423,57.9331,56.8833,57.2651,672033
2006-02-15,57.2651,58.3149,56.597,58.3149,852659
2006-02-16,58.6967,58.6967,56.8833,56.8833,468891
2006-02-17,56.9787,59.9374,56.9787,59.842,883223
2006-02-20,60.2237,62.3235,60.0329,61.8463,1025233
2006-02-21,61.8463,61.8463,60.2237,60.2237,1113092
2006-02-22,60.701,61.1782,59.6511,60.1283,1188863
2006-02-23,60.0329,60.6055,59.0784,59.9374,816543
2006-02-24,60.6055,61.0827,59.842,61.0827,652987
2006-02-27,61.4645,61.6554,60.6055,61.2736,775447
2006-02-28,56.7878,58.6012,55.8334,55.8334,2839232
2006-03-01,56.7878,57.7423,56.7878,57.5514,2613497
2006-03-02,57.5514,58.6012,56.0243,56.9787,1234981
2006-03-03,57.3605,57.7423,56.3106,57.2651,886730
2006-03-06,57.3605,57.3605,56.3106,56.6924,503339
2006-03-07,56.3106,56.4061,53.1611,54.5927,1597208
2006-03-08,54.5927,54.7836,51.5385,51.8249,2054159
2006-03-09,52.3021,52.5884,51.5385,52.3975,1568081
2006-03-10,52.493,53.0656,51.5385,52.9702,3006349
2006-03-13,53.0656,54.02,52.8747,53.9246,2058244
2006-03-14,53.4474,54.02,53.0656,53.3519,1427017
2006-03-15,54.1155,56.3106,54.02,54.7836,1448139
2006-03-16,55.3562,57.3605,54.9745,57.1696,1057300
2006-03-17,57.2651,58.3149,56.4061,56.8833,2365980
2006-03-20,56.8833,57.5514,55.2608,55.3562,792674
2006-03-21,54.879,55.3562,53.9246,54.7836,905044
2006-03-22,54.1155,55.4517,53.8292,55.2608,438098
2006-03-23,55.0699,56.0243,55.0699,55.3562,337094
2006-03-24,55.9289,56.6924,55.5471,55.738,833208
2006-03-27,55.3562,56.0243,55.3562,56.0243,400082
2006-03-28,56.0243,56.0243,54.4018,54.5927,531403
2006-03-29,54.4972,54.879,53.4474,54.5927,892399
2006-03-30,55.5471,56.3106,55.1653,55.3562,963752
2006-03-31,56.0243,56.3106,55.0699,56.2152,515797
2006-04-03,55.3562,57.5514,55.3562,57.3605,1171729
2006-04-04,57.2651,57.5514,56.597,57.0742,590865
2006-04-05,57.4559,58.2195,57.0742,57.2651,1637101
2006-04-06,57.6468,59.4602,57.6468,59.1739,1206172
2006-04-07,59.6511,62.3235,59.4602,61.5599,2283288
2006-04-10,61.4645,62.9916,60.701,62.5144,2125091
2006-04-11,62.5144,62.9916,60.8918,61.5599,1314506
2006-04-12,61.0827,62.1326,60.9873,61.369,940048
2006-04-13,61.8463,62.4189,60.9873,61.6554,1289357
2006-04-18,62.3235,63.4688,62.3235,63.087,1541631
2006-04-19,64.4232,64.4232,61.7508,61.7508,1589203
2006-04-20,61.7508,62.6098,61.369,62.4189,3185218
2006-04-21,61.9417,63.087,60.8918,62.5144,1114324
2006-04-24,62.4189,64.2323,62.4189,63.946,1096951
2006-04-25,63.3733,64.0414,63.1824,63.6597,1072874
2006-04-26,63.946,63.946,62.8961,63.2779,844494
2006-04-27,62.6098,62.8961,58.7921,60.8918,1266688
2006-04-28,60.3192,62.0371,60.3192,61.0827,706852
2006-05-02,61.0827,61.4645,59.7465,60.1283,909797
2006-05-04,60.1283,60.5101,59.2693,60.5101,1477056
2006-05-05,60.701,62.0371,60.3192,61.5599,1341140
2006-05-08,61.5599,61.9417,60.6055,61.7508,669964
2006-05-09,61.1782,61.5599,59.842,59.9374,876811
2006-05-10,60.1283,60.1283,58.2195,58.6967,1290521
2006-05-11,59.6511,60.1283,58.8876,60.1283,848480
2006-05-12,58.124,58.8876,57.0742,57.7423,1488737
2006-05-15,57.2651,57.8377,54.879,56.3106,1080462
2006-05-16,54.879,57.0742,54.7836,56.7878,1176499
