Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-01-02,21.0461,21.3424,20.8979,21.3424,1039920
2006-01-03,21.3424,21.7089,21.1942,21.5607,1912767
2006-01-04,21.7791,22.2937,21.7089,22.2236,4946680
2006-01-05,22.0753,22.1456,21.9272,22.1456,1704632
2006-01-06,22.1456,22.59,21.9272,22.4419,2363222
2006-01-09,22.512,23.0267,22.3638,22.3638,3527637
2006-01-10,22.2236,22.512,22.1456,22.2937,1700169
2006-01-11,22.2937,22.9566,22.2937,22.9566,2295700
2006-01-12,22.8084,23.0969,22.7303,23.0969,1585953
2006-01-13,22.9566,23.0969,22.8084,22.9566,1917585
2006-01-16,22.8084,23.4633,22.7303,23.4633,1473151
2006-01-17,23.1748,23.4633,23.0969,23.3931,1262720
2006-01-18,22.9566,23.0969,22.8084,22.9566,1428654
2006-01-19,22.9566,23.8377,22.9566,23.6115,2137776
2006-01-20,23.1748,23.6115,23.1748,23.3931,1050887
2006-01-23,23.0969,23.5414,22.8785,23.4633,1154458
2006-01-24,23.4633,23.4633,23.0267,23.0267,1084245
2006-01-25,23.4633,24.0559,23.245,24.0559,3720401
2006-01-26,24.1262,24.1262,23.6115,23.7596,1475301
2006-01-27,23.7596,24.3445,23.6895,24.2742,3207127
2006-01-30,24.0559,24.2042,23.9078,24.2042,846804
2006-01-31,24.2042,24.2042,23.1748,23.1748,1292655
2006-02-01,23.0969,23.8377,22.8785,23.8377,884812
2006-02-02,23.9078,24.1262,23.6115,23.7596,1078331
2006-02-03,23.5414,24.1262,22.9566,22.9566,1510279
2006-02-06,23.1748,24.1262,23.1748,24.1262,893116
2006-02-07,23.8377,24.0559,23.6115,23.978,729761
2006-02-08,23.8377,24.1262,23.6895,24.0559,902748
2006-02-09,24.0559,24.3445,23.978,24.1262,1136312
2006-02-10,23.9078,24.1262,23.8377,23.978,790378
2006-02-13,23.9078,24.1262,23.8377,23.9078,860350
2006-02-14,23.9078,24.0559,23.7596,23.9078,1331494
2006-02-15,23.8377,24.1262,23.8377,24.1262,960012
2006-02-16,23.978,23.978,23.3231,23.6895,1305172
2006-02-17,23.7596,24.5707,23.6115,24.4926,2100129
2006-02-20,24.4226,24.9372,24.2742,24.9372,1411527
2006-02-21,24.7889,25.2256,24.5707,25.2256,1388786
2006-02-22,25.1553,25.1553,24.711,24.8592,1028734
2006-02-23,24.7889,25.0775,24.711,25.0775,948239
2006-02-24,24.9372,25.5921,24.9372,25.5921,940572
2006-02-27,25.5921,26.0365,25.444,25.522,1315656
2006-02-28,25.444,26.0365,24.7889,25.3737,1650220
2006-03-01,25.444,25.9587,25.1553,25.8104,1330885
2006-03-02,25.7403,26.2548,25.7403,26.2548,1207405
2006-03-03,26.3251,26.3251,25.7403,26.177,1156450
2006-03-06,25.8884,26.3251,25.8104,26.3251,1270335
2006-03-07,26.0365,26.1068,25.0775,25.67,1892403
2006-03-08,25.5921,25.67,25.0073,25.1553,1338001
2006-03-09,25.1553,25.522,25.0073,25.1553,989538
2006-03-10,25.0775,25.2256,24.4926,24.8592,1964950
2006-03-13,24.8592,25.0073,24.3445,24.711,851347
2006-03-14,24.4226,24.5707,23.8377,23.8377,1366520
2006-03-15,24.3445,24.711,24.2742,24.4926,934283
2006-03-16,24.5707,25.3036,24.5707,25.3036,1075127
2006-03-17,25.522,26.0365,25.3036,25.8104,2774622
2006-03-20,25.67,25.7403,25.0775,25.1553,617429
2006-03-21,25.3737,25.444,24.9372,24.9372,956093
2006-03-22,24.8592,24.9372,24.4226,24.5707,1573529
2006-03-23,24.7889,25.2256,24.711,25.1553,932263
2006-03-24,25.3036,25.67,25.2256,25.522,689332
2006-03-27,25.522,25.5921,25.1553,25.5921,525339
2006-03-28,25.522,25.5921,25.0073,25.0073,401619
2006-03-29,24.5707,24.9372,24.1262,24.8592,767915
2006-03-30,25.0775,25.3737,24.8592,25.0073,1058604
2006-03-31,24.9372,25.444,24.9372,25.444,793658
2006-04-03,25.3036,26.0365,25.3036,25.9587,983063
2006-04-04,25.8104,25.8884,25.3737,25.7403,1184486
2006-04-05,25.67,25.8884,25.0073,25.0775,969588
2006-04-06,25.3036,25.444,25.0073,25.3737,1452504
2006-04-07,25.3737,26.0365,25.3737,25.7403,1497455
2006-04-10,25.7403,25.9587,25.444,25.9587,978650
2006-04-11,25.67,25.8104,25.444,25.7403,684192
2006-04-12,25.67,25.9587,25.522,25.9587,307209
2006-04-13,25.9587,26.3251,25.67,25.7403,1080841
2006-04-18,25.8884,26.6214,25.8104,26.4031,1232806
2006-04-19,26.6214,26.9879,26.4031,26.9879,926361
2006-04-20,26.9178,28.524,26.7695,28.454,1463606
2006-04-21,28.1575,29.6236,28.0875,29.3351,1941900
2006-04-24,28.524,30.2161,28.524,29.7717,2684226
2006-04-25,29.4051,29.6236,28.9686,29.1167,1338525
2006-04-26,29.0387,29.1869,28.6723,28.9686,2313949
2006-04-27,28.9686,29.1167,27.6507,28.0173,2052145
2006-04-28,27.6507,28.3837,27.3544,28.3056,1636866
2006-05-02,28.0875,28.3056,27.7209,27.791,2566392
2006-05-04,28.1575,28.3837,27.869,28.2356,2253781
2006-05-05,28.524,28.6021,27.9393,28.454,1352886
2006-05-08,28.3056,28.524,28.0875,28.3056,1420451
2006-05-09,28.2356,28.3837,27.9393,28.1575,1336546
2006-05-10,27.9393,28.3056,27.9393,28.2356,990333
2006-05-11,28.3056,29.1167,28.2356,28.9686,2231514
2006-05-12,28.524,28.8905,28.454,28.8905,1116075
2006-05-15,28.524,28.6021,27.791,28.2356,811517
2006-05-16,27.869,28.454,27.791,28.0875,1548064
2006-05-17,28.0875,28.2356,26.8398,26.8398,1425059
2006-05-18,26.6917,27.3544,26.6214,26.9178,1624179
2006-05-19,27.1361,27.5026,26.8398,27.2842,2711828
2006-05-22,26.9178,27.3544,26.2548,26.3251,2452060
2006-05-23,26.1068,26.8398,25.522,26.3251,3766150
2006-05-24,26.2548,26.5435,25.3036,25.444,2783129
2006-05-25,25.3036,26.1068,24.5707,25.67,2499172
2006-05-26,26.0365,26.3251,25.444,25.444,1506281
2006-05-29,25.67,26.177,25.2256,25.3036,627054
2006-05-30,25.0775,25.444,24.9372,25.0775,513285
2006-05-31,24.7889,25.7403,24.5707,25.522,1796927
2006-06-01,25.8104,26.4734,25.67,26.4031,1561287
2006-06-02,26.6214,27.6507,26.4734,27.4245,1392062
2006-06-05,27.2062,27.7209,26.9879,27.5026,873600
2006-06-06,26.9178,27.2842,26.4031,26.4031,662705
2006-06-07,26.5435,26.9178,26.1068,26.4031,1646539
2006-06-08,25.8104,26.4031,25.522,26.0365,2541568
2006-06-09,26.1068,26.4031,25.5921,25.8884,2326712
2006-06-12,25.5921,25.5921,24.7889,25.444,2585114
2006-06-13,24.1262,24.9372,23.3931,24.5707,2910884
2006-06-14,24.0559,24.7889,23.6895,24.2042,2282672
2006-06-16,24.5707,25.3036,23.1748,23.1748,2599914
2006-06-19,24.2042,24.4226,23.9078,24.4226,2006202
2006-06-20,23.9078,24.7889,23.9078,24.2742,2130942
2006-06-21,24.4926,25.1553,24.3445,25.0775,1995473
2006-06-22,25.522,25.7403,24.7889,24.7889,1681135
2006-06-23,24.8592,25.0073,24.3445,25.0073,595216
2006-06-26,24.6407,25.2256,24.6407,25.0775,520374
2006-06-27,25.0775,27.4245,24.9372,27.1361,4290816
2006-06-28,25.3036,27.1361,25.3036,26.9879,2336388
2006-06-29,27.0582,27.3544,26.6214,26.6917,1055250
2006-06-30,27.3544,27.7209,26.6917,27.1361,2432502
2006-07-03,26.8398,27.2842,26.5435,27.1361,1168717
2006-07-04,26.8398,27.2062,26.8398,27.2062,1589966
2006-07-05,27.1361,27.5026,26.8398,27.2842,1283365
2006-07-06,27.5805,28.3291,27.2842,28.2511,1406743
2006-07-07,28.0329,28.6333,27.8769,28.4773,1199915
2006-07-10,27.9549,29.0076,27.9549,28.8517,2159853
2006-07-11,28.6333,28.8517,28.4071,28.4071,1432792
2006-07-12,28.6333,29.0777,28.0329,28.3291,960130
2006-07-13,28.0329,28.4773,27.3544,27.5805,596213
2006-07-14,27.1283,27.8067,27.0582,27.3544,638258
2006-07-17,27.3544,27.5805,26.9022,26.9022,811190
2006-07-18,27.0582,27.7288,26.9801,27.2842,645616
2006-07-19,27.3544,27.7288,27.2842,27.5026,591080
2006-07-20,28.1029,29.4519,28.1029,29.2258,1836791
2006-07-21,29.0076,29.4519,28.8517,28.9296,882087
2006-07-24,28.5552,29.3039,28.5552,29.2258,581924
2006-07-25,29.0777,29.7561,28.9296,29.2258,1015087
2006-07-26,29.2258,29.4519,28.9296,29.3818,919756
2006-07-27,29.6002,30.0524,29.53,29.9823,1815818
2006-07-28,29.7561,30.4267,29.6781,30.4267,1100702
2006-07-31,30.4267,30.8791,30.1303,30.5749,991736
2006-08-01,30.5749,30.7308,29.8264,29.9823,1029197
2006-08-02,29.6781,29.7561,29.1557,29.6781,753655
2006-08-03,29.3039,29.4519,28.1029,28.4773,1546419
2006-08-04,28.4071,29.0777,28.1029,29.0076,1605041
2006-08-07,28.9296,28.9296,28.0329,28.7814,792116
2006-08-08,28.4773,28.7814,28.2511,28.7814,766132
2006-08-09,28.9296,29.4519,28.5552,29.3818,1505050
2006-08-10,29.3818,29.3818,28.4773,28.6333,873562
2006-08-11,28.8517,28.8517,27.6586,27.7288,3090321
2006-08-14,27.8769,28.3291,27.8769,28.181,822656
2006-08-16,28.6333,29.0076,28.6333,28.8517,1326318
2006-08-17,29.0076,29.0076,27.9549,28.181,863105
2006-08-18,28.1029,28.4773,27.8769,28.1029,860193
2006-08-21,27.8769,28.2511,27.8067,27.8769,782583
2006-08-22,28.2511,28.2511,27.9549,28.181,603107
2006-08-23,28.0329,28.2511,27.7288,28.2511,530064
2006-08-24,27.9549,28.1029,27.3544,27.5026,688205
2006-08-25,27.7288,27.8067,27.0582,27.3544,900982
2006-08-28,27.0582,27.3544,26.9801,27.0582,647281
2006-08-29,27.1283,28.181,27.1283,28.0329,715672
2006-08-30,28.1029,28.4773,27.8067,27.9549,1888951
2006-08-31,28.2511,28.4071,27.6586,27.8067,1091914
2006-09-01,27.8222,28.1029,27.5805,27.5805,366031
2006-09-04,28.1029,28.7814,27.7365,28.5318,1603628
2006-09-05,28.3291,28.7736,28.181,28.6333,964439
2006-09-06,28.7814,28.7814,28.0329,28.4773,722578
2006-09-07,27.8067,28.4696,27.7677,28.4071,785541
2006-09-08,28.2511,28.4773,27.7288,28.3994,528260
2006-09-11,27.8067,28.454,27.6663,28.2511,563031
2006-09-12,28.2511,28.6333,27.8769,28.6333,1057864
2006-09-13,28.7112,29.8264,28.7112,29.4519,3067289
2006-09-14,29.3818,29.3818,28.641,28.8517,1120612
2006-09-15,28.4773,29.2181,28.22,29.2181,769794
2006-09-18,29.2258,29.3818,28.7814,29.2181,676857
2006-09-19,28.8517,29.1557,28.4071,28.6333,540941
2006-09-20,28.3056,28.6333,28.2043,28.2511,3302186
2006-09-21,28.1888,28.6957,27.8769,27.8769,903902
2006-09-22,27.5805,27.869,26.9957,27.5572,1253535
2006-09-25,27.8067,28.3213,27.8067,28.3213,315376
2006-09-26,28.3213,28.4773,27.8067,28.2511,402345
2006-09-27,28.4696,28.4696,27.5572,28.1029,528080
2006-09-28,27.5805,28.1029,27.5805,28.1029,997038
2006-09-29,28.1029,28.181,27.2842,27.3622,1231060
2006-10-02,27.6586,27.6586,26.5357,27.0972,911971
2006-10-03,27.1127,27.2296,26.7539,26.8008,571873
2006-10-04,26.8008,27.6663,26.7539,27.6117,721716
2006-10-05,28.142,28.3916,28.1029,28.3837,794856
2006-10-06,28.1108,28.5552,28.1029,28.4773,476907
2006-10-09,28.142,28.4773,28.142,28.4773,518700
2006-10-10,28.5552,29.6079,28.4773,29.2181,3169659
2006-10-11,29.3818,29.4519,29.0777,29.4051,1746010
2006-10-12,29.2258,29.6781,29.2258,29.6781,1595493
2006-10-13,29.7561,29.834,29.3818,29.7405,1936710
2006-10-16,29.3818,29.9823,29.3818,29.8419,1339214
2006-10-17,29.53,29.6002,28.563,28.6333,680309
2006-10-18,28.4773,29.8652,28.4071,29.7561,1264069
2006-10-19,28.9296,29.9589,28.9296,29.9198,1092494
2006-10-20,29.8652,29.9823,29.2258,29.6002,1146732
