Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-01-02,13.6358,13.8113,13.4605,13.7529,1466475
2006-01-03,13.8699,14.2794,13.6944,14.1623,6787528
2006-01-04,14.5134,14.8643,14.3963,14.6888,8430934
2006-01-05,14.7473,14.8058,14.5134,14.5718,4850604
2006-01-06,14.5718,14.9747,14.5134,14.5718,4736846
2006-01-09,14.8643,15.0333,14.4548,14.5134,5780944
2006-01-10,14.5134,14.5718,14.2208,14.2794,4637827
2006-01-11,14.4548,14.6303,14.3378,14.5134,4644857
2006-01-12,14.3378,14.3378,13.9868,14.0453,4490661
2006-01-13,13.9284,13.9868,13.6944,13.7529,6832600
2006-01-16,13.6944,14.0453,13.6944,13.9868,3319546
2006-01-17,13.9284,13.9868,13.7529,13.8699,2283378
2006-01-18,13.4605,13.8113,13.4018,13.6944,3450197
2006-01-19,13.8113,13.9868,13.5774,13.8113,5900268
2006-01-20,13.8113,14.0453,13.6944,13.9284,3448881
2006-01-23,13.6944,13.9284,13.5774,13.9284,3119234
2006-01-24,13.9284,14.1039,13.6944,13.8113,2749796
2006-01-25,13.9868,14.0453,13.7529,13.8113,2378641
2006-01-26,13.9868,14.0453,13.6358,13.8113,3566227
2006-01-27,13.8699,13.8699,13.5774,13.6358,3207163
2006-01-30,13.6944,13.8113,13.6358,13.7529,2269423
2006-01-31,13.7529,13.9284,13.3434,13.4605,3511111
2006-02-01,13.4605,13.6358,13.3434,13.5189,2833802
2006-02-02,13.5774,13.6358,13.0574,13.2263,3367824
2006-02-03,13.1159,13.2263,12.8819,12.8819,2682108
2006-02-06,12.9405,13.4018,12.9405,13.285,4602173
2006-02-07,13.4018,13.4605,13.1679,13.4605,2896843
2006-02-08,13.3434,13.4605,13.1679,13.3434,2636766
2006-02-09,13.4605,13.8113,13.285,13.285,3950883
2006-02-10,13.1679,13.4018,12.999,13.1159,2826024
2006-02-13,13.1159,13.8699,13.1159,13.5774,4483979
2006-02-14,13.7529,13.9284,13.5189,13.6944,3012545
2006-02-15,13.7529,13.8113,13.3434,13.5189,3007649
2006-02-16,13.6358,13.6358,12.999,12.999,3538496
2006-02-17,13.1159,13.8113,13.1159,13.6358,7491024
2006-02-20,13.7529,13.7529,13.4018,13.4018,3212372
2006-02-21,13.4018,13.6944,13.285,13.5774,2364414
2006-02-22,13.5189,13.7529,13.285,13.285,2906474
2006-02-23,13.285,13.4018,13.1159,13.2263,10750294
2006-02-24,13.2263,13.3434,13.1159,13.3434,1780223
2006-02-27,13.4018,13.4018,13.1159,13.4018,2902124
2006-02-28,13.1679,13.285,12.8819,12.9405,4480880
2006-03-01,13.1679,13.1679,12.9405,13.1159,2953830
2006-03-02,13.1679,13.3434,13.0574,13.3434,3002948
2006-03-03,13.3434,13.4018,13.0574,13.1679,4202022
2006-03-06,13.2263,13.4605,13.1159,13.4018,4685233
2006-03-07,13.285,13.3434,12.8819,12.9405,6309751
2006-03-08,12.999,13.0574,12.414,12.6479,5268687
2006-03-09,12.6479,12.8819,12.6479,12.7065,3444961
2006-03-10,12.7065,12.8234,12.414,12.4724,4455408
2006-03-13,12.6479,12.6479,12.2971,12.2971,3043801
2006-03-14,12.3555,12.3555,12.0045,12.0045,6708597
2006-03-15,12.2385,12.5894,12.18,12.3555,5108957
2006-03-16,12.414,12.8234,12.414,12.765,5018745
2006-03-17,12.765,13.2263,12.765,13.1159,8622148
2006-03-20,13.1159,13.1679,12.8819,13.1159,3872442
2006-03-21,12.999,13.2263,12.9405,13.1159,2260820
2006-03-22,12.9405,13.2263,12.8819,13.0574,3476698
2006-03-23,13.1159,13.2263,13.0574,13.2263,2235851
2006-03-24,13.285,13.4018,12.999,12.999,3343552
2006-03-27,13.0574,13.1679,12.999,13.1679,3444836
2006-03-28,13.1159,13.1679,12.9405,12.999,3095172
2006-03-29,12.999,13.0574,12.765,12.8234,4690025
2006-03-30,12.999,13.0574,12.8234,12.8819,1535925
2006-03-31,12.9405,12.9405,12.765,12.8819,2033438
2006-04-03,12.9405,13.1159,12.8234,12.999,4131108
2006-04-04,12.999,12.999,12.8234,12.999,3093450
2006-04-05,13.1159,13.1159,12.765,12.8234,3772809
2006-04-06,12.9405,12.999,12.5894,12.7065,3795812
2006-04-07,12.8234,13.1679,12.7065,12.7065,6989702
2006-04-10,12.765,12.8819,12.5311,12.5894,4203227
2006-04-11,12.5894,12.6479,12.4724,12.5894,1786684
2006-04-12,12.5311,12.6479,12.4724,12.5894,2956386
2006-04-13,12.5894,12.765,12.5311,12.7065,2457860
2006-04-18,12.8234,12.8819,12.7065,12.8234,5798144
2006-04-19,13.0574,13.1159,12.7065,12.765,3216726
2006-04-20,12.8819,13.285,12.765,13.1679,12263637
2006-04-21,13.1679,13.6358,12.999,13.5774,6452240
2006-04-24,13.5774,13.8113,13.285,13.7529,5260781
2006-04-25,13.7529,13.8699,13.5189,13.6944,3490353
2006-04-26,13.5774,13.6358,13.0574,13.3434,10187151
2006-04-27,13.3434,13.4018,12.9405,13.1159,4569591
2006-04-28,12.999,13.285,12.9405,13.1159,2705337
2006-05-02,13.1679,13.3434,13.1679,13.1679,2358231
2006-05-04,13.1679,13.2263,12.8819,12.9405,5013196
2006-05-05,13.1159,13.1159,12.8234,12.9405,3362459
2006-05-08,12.999,13.1679,12.9405,13.1679,2125612
2006-05-09,13.0574,13.1679,12.8234,12.8234,3481419
2006-05-10,12.8819,13.0574,12.6479,12.6479,5348163
2006-05-11,12.7065,13.2263,12.7065,13.2263,5300782
2006-05-12,12.999,13.285,12.9405,13.285,3744490
2006-05-15,13.1679,13.3434,13.1159,13.1679,7463798
2006-05-16,13.1679,13.2914,12.869,13.051,7631160
2006-05-17,13.1094,13.2329,12.7454,12.7454,4082784
2006-05-18,12.6804,13.051,12.5635,13.051,6400988
2006-05-19,13.051,13.051,12.7454,12.9274,5158188
2006-05-22,12.869,12.869,11.8289,11.8875,9256960
2006-05-23,12.0111,12.1345,11.309,11.8875,9277988
2006-05-24,11.7381,12.0111,11.2181,11.2831,8621601
2006-05-25,11.309,11.7706,11.036,11.7055,7275994
2006-05-26,11.8289,11.8875,11.6471,11.7706,4971844
2006-05-29,11.8875,11.8875,11.7381,11.8289,1662979
2006-05-30,11.5885,11.6796,11.4,11.6471,4487093
2006-05-31,11.2181,11.8289,11.2181,11.7381,6894977
2006-06-01,11.7381,11.8289,11.556,11.5885,6797586
2006-06-02,11.7706,12.1345,11.7381,11.8875,3424106
2006-06-05,11.8289,12.0111,11.7381,11.985,2095791
2006-06-06,11.7381,11.8615,11.5885,11.6471,3090074
2006-06-07,11.7055,11.7381,11.4651,11.6146,4055200
2006-06-08,11.4,11.556,11.0686,11.556,6146862
2006-06-09,11.4651,11.7381,11.4326,11.556,7660963
2006-06-12,11.4326,11.5885,11.3416,11.3741,5921243
2006-06-13,10.9451,11.2831,10.8542,11.1011,9856055
2006-06-14,11.1921,11.4,10.7305,11.4,10924959
2006-06-16,11.6471,11.8875,11.309,11.4,12726103
2006-06-19,11.4,11.6796,11.3416,11.5235,4133276
2006-06-20,11.4,11.7706,11.3416,11.5885,3506786
2006-06-21,11.7055,11.8289,11.3416,11.8289,3130879
2006-06-22,11.8875,12.076,11.5885,11.5885,7358894
2006-06-23,11.556,11.6796,11.309,11.6146,5641534
2006-06-26,11.5885,11.9525,11.5885,11.92,2078368
2006-06-27,12.0111,12.1345,11.8875,12.0111,7190357
2006-06-28,11.8875,12.6219,11.8615,12.44,6354277
2006-06-29,12.4985,12.6219,12.0436,12.102,1970849
2006-06-30,12.5635,12.6219,12.102,12.1931,3930222
2006-07-03,12.1931,12.3815,12.076,12.076,1679503
2006-07-04,12.1345,12.44,12.0111,12.1669,1475215
2006-07-05,12.1345,12.1931,11.7706,11.7706,3384699
2006-07-06,11.7706,12.3164,11.6796,12.1931,6613685
2006-07-07,12.1345,12.4985,12.0111,12.3164,3409646
2006-07-10,12.1669,12.7454,12.076,12.5635,3980238
2006-07-11,12.5635,12.869,12.3164,12.44,2945290
2006-07-12,12.5635,12.9859,12.4985,12.6219,3677622
2006-07-13,12.44,12.4985,12.1345,12.3164,3163823
2006-07-14,11.9525,12.3815,11.9525,12.1931,3370721
2006-07-17,12.1345,12.4985,12.102,12.3815,4298217
2006-07-18,12.3815,12.4985,12.1931,12.44,2510902
2006-07-19,12.44,12.4985,12.3164,12.44,1954712
2006-07-20,12.6804,12.9274,12.5635,12.869,5367164
2006-07-21,12.869,12.9274,12.6804,12.7454,3317121
2006-07-24,12.6804,12.869,12.6804,12.869,2422556
2006-07-25,12.869,13.1679,12.804,13.051,4992012
2006-07-26,12.804,12.9859,12.7454,12.804,6374291
2006-07-27,12.9859,12.9859,12.6804,12.9274,6829314
2006-07-28,12.869,13.1094,12.869,13.1094,4851543
2006-07-31,13.051,13.1094,12.6804,12.9274,2451200
2006-08-01,12.9859,13.051,12.7454,12.804,8263265
2006-08-02,12.7454,12.9274,12.6804,12.9274,3777958
2006-08-03,12.9274,12.9274,12.5635,12.869,9552217
2006-08-04,12.7454,13.051,12.6219,12.9274,4699283
2006-08-07,12.6804,12.869,12.6804,12.7454,5182191
2006-08-08,12.804,12.804,12.44,12.44,2266268
2006-08-09,12.6219,12.804,12.4985,12.804,5820645
2006-08-10,12.6219,12.6804,12.3164,12.3164,3681794
2006-08-11,12.4985,12.5635,11.6796,11.6796,3746489
2006-08-14,11.7706,12.0436,11.7055,11.8875,5531624
2006-08-16,12.1345,12.1669,11.9525,12.1669,3622363
2006-08-17,12.1669,12.1669,11.8289,11.92,2455226
2006-08-18,11.7965,11.985,11.7706,11.9525,2715427
2006-08-21,11.985,11.985,11.7055,11.7965,1469008
2006-08-22,11.8615,11.985,11.7706,11.8615,1331972
2006-08-23,11.8615,11.9525,11.7706,11.8615,1649254
2006-08-24,11.8289,12.1345,11.7965,11.8875,3783173
2006-08-25,11.92,12.1669,11.7965,11.8875,3892398
2006-08-28,11.7965,11.985,11.7381,11.8615,1227725
2006-08-29,11.92,12.1669,11.7965,12.102,3269995
2006-08-30,12.1345,12.44,12.102,12.3815,3858439
2006-08-31,12.44,12.4985,12.1669,12.3164,4540864
2006-09-01,12.1931,12.5375,12.1931,12.4985,3869918
2006-09-04,12.5375,12.8625,12.5115,12.7065,5074773
2006-09-05,12.7779,12.8949,12.7065,12.7974,5301631
2006-09-06,12.7584,12.8949,12.7194,12.8365,2533034
2006-09-07,12.8819,12.96,12.674,12.869,3146546
2006-09-08,12.8365,12.9534,12.739,12.7454,1736995
2006-09-11,12.6154,12.8949,12.6154,12.8234,1146853
2006-09-12,12.7065,12.9534,12.7065,12.9208,1999987
2006-09-13,12.9859,13.2654,12.9664,13.1614,4616109
2006-09-14,13.1614,13.324,12.804,12.9405,5878340
2006-09-15,12.9208,12.9208,12.674,12.804,6922797
2006-09-18,13.0184,13.0184,12.804,12.8949,3377282
2006-09-19,12.8949,12.8949,12.661,12.869,2424582
2006-09-20,12.6219,12.7454,12.6219,12.7065,8304988
2006-09-21,12.6219,12.6804,12.4985,12.4985,2381791
2006-09-22,12.3815,12.479,12.1345,12.1931,3044695
2006-09-25,12.3034,12.3815,12.2125,12.3099,1194736
2006-09-26,12.427,12.427,12.076,12.2255,1586957
2006-09-27,12.2971,12.4724,12.1931,12.3164,1284449
2006-09-28,12.3359,12.6219,12.284,12.2905,966330
2006-09-29,12.401,12.401,12.076,12.1345,5394008
2006-10-02,12.141,12.4724,11.985,12.4724,2746541
2006-10-03,12.3425,12.4529,12.1345,12.284,853940
2006-10-04,12.1931,12.3425,12.141,12.271,984143
2006-10-05,12.3815,12.6479,12.3815,12.6219,2231082
2006-10-06,12.6219,12.804,12.466,12.466,3069787
2006-10-09,12.466,12.7065,12.388,12.6544,1348970
2006-10-10,12.804,13.0444,12.7129,12.804,7099819
