Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,60.7455,61.5718,60.7455,61.1587,31852
2008-01-03,60.7455,60.7455,59.5469,59.919,39704
2008-01-04,59.919,61.1587,59.919,59.919,246217
2008-01-07,59.0925,59.919,57.9768,59.0925,147164
2008-01-08,59.919,61.076,59.0925,61.076,63987
2008-01-09,60.1255,60.3322,59.1339,59.6296,248049
2008-01-10,58.8446,59.5057,57.0264,57.0264,104860
2008-01-11,57.0264,57.7701,55.3735,56.5305,106747
2008-01-14,55.7867,56.1997,52.3154,53.5553,311262
2008-01-15,53.4725,53.7205,51.5717,52.7287,46479
2008-01-16,49.5881,52.4807,49.5881,52.0674,528615
2008-01-17,52.8526,53.3072,50.7037,50.8278,241784
2008-01-18,51.6129,51.8609,50.4145,51.117,90550
2008-01-21,51.489,51.489,50.4145,51.0758,129501
2008-01-22,49.7534,53.5965,49.7534,53.4725,200112
2008-01-23,53.7205,55.0427,53.4725,53.7205,639382
2008-01-24,54.7536,56.1997,53.4725,54.5469,33170
2008-01-25,56.1172,56.1172,52.6461,54.9601,89108
2008-01-28,53.7205,54.423,53.5965,54.175,42686
2008-01-29,54.9601,56.4478,53.7205,55.7867,52109
2008-01-30,55.7867,55.7867,54.5469,54.8775,47682
2008-01-31,55.3735,55.3735,54.2989,55.2907,77767
2008-02-01,56.1584,56.1997,55.0427,56.1997,22870
2008-02-04,57.0677,57.7701,56.1997,57.2329,8936
2008-02-05,56.9437,57.0264,54.5469,56.1172,23186
2008-02-06,54.5469,55.208,52.8939,54.5469,144156
2008-02-07,55.1253,55.1253,53.3072,53.7205,70650
2008-02-08,54.5469,56.1997,54.5469,56.1997,38956
2008-02-11,56.8197,57.894,56.7783,57.0264,51305
2008-02-12,57.894,58.7618,57.1089,58.7618,61763
2008-02-13,60.2497,60.2909,59.2578,59.5057,129771
2008-02-14,60.3322,60.3322,59.5057,59.5057,37962
2008-02-15,59.3817,59.8363,58.6792,58.6792,57007
2008-02-18,59.0925,59.919,59.0925,59.5057,2685
2008-02-19,60.3322,60.3322,59.5057,59.9603,23053
2008-02-20,60.1669,60.1669,59.0925,59.3405,30403
2008-02-21,59.919,60.3322,59.5057,59.5883,24166
2008-02-22,59.5057,59.9603,58.8446,59.1752,13262
2008-02-25,59.1752,60.0016,58.3486,58.6792,42880
2008-02-26,58.6792,60.0016,58.0181,59.9603,84562
2008-02-27,59.919,60.3322,58.9271,59.4644,25168
2008-02-28,59.8363,60.7455,58.266,58.3486,69491
2008-02-29,59.2578,59.5057,57.4395,57.8528,149434
2008-03-03,57.5222,57.5222,55.704,56.2411,52051
