Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,81.027,81.027,78.5962,81.027,202064
2008-01-03,78.9204,80.1358,78.5962,80.1358,140210
2008-01-04,78.9204,79.4065,77.7859,77.7859,164535
2008-01-07,76.9757,77.6239,73.0053,75.3147,17544
2008-01-08,73.3295,73.3295,69.6833,72.5193,393750
2008-01-09,71.4253,72.1141,67.2525,67.2525,87825
2008-01-10,68.0628,68.7515,65.794,66.8473,160389
2008-01-11,66.3612,66.8473,63.2012,65.632,162043
2008-01-14,64.8217,64.8217,61.9856,63.3631,447896
2008-01-15,63.5252,64.2544,63.039,63.7278,649596
2008-01-16,60.8918,64.0113,59.9601,63.7278,582997
2008-01-17,64.8217,66.8473,64.7001,66.037,38474
2008-01-18,66.8473,68.0628,65.632,68.0628,161088
2008-01-21,68.0222,68.3868,65.5509,65.5509,188638
2008-01-22,62.3908,66.037,62.3908,65.794,128977
2008-01-23,66.8068,70.4125,66.8068,70.4125,142386
2008-01-24,73.2484,73.7346,71.871,72.9243,357810
2008-01-25,75.3552,75.3552,70.6961,71.7899,27334
2008-01-28,69.6833,70.4935,68.8729,69.6833,317969
2008-01-29,70.4125,74.9095,69.8048,72.6814,216947
2008-01-30,73.0053,75.3552,73.0053,73.3295,65354
2008-01-31,72.7218,73.6535,71.2229,72.9243,54761
2008-02-01,73.1269,75.9223,73.1269,74.3018,56409
2008-02-04,73.1674,78.1101,73.1674,75.1931,25753
2008-02-05,74.5854,74.9501,72.6002,73.7346,8451
2008-02-06,71.952,73.7346,70.4935,73.7346,21428
2008-02-07,73.7752,73.7752,70.4935,71.2229,158732
2008-02-08,72.9243,72.9243,71.2229,71.6684,15839
2008-02-11,72.7218,72.7218,70.534,70.8581,21099
2008-02-12,70.4125,72.1141,70.4125,72.1141,125035
2008-02-13,72.0736,72.0736,71.3037,72.0331,676
2008-02-14,72.5193,72.9243,71.7089,71.7089,5538
2008-02-15,71.3037,71.952,70.4935,71.4658,6622
2008-02-18,70.4935,71.5063,70.1694,70.6556,137600
2008-02-19,71.2633,71.2633,70.3314,70.3314,19989
2008-02-20,70.4125,70.4125,69.1971,69.6428,9121
2008-02-21,69.2781,69.7642,68.2247,68.4678,58843
2008-02-22,68.1032,68.1032,65.2268,67.9817,111035
2008-02-25,66.9284,68.0628,66.9284,67.4145,73772
2008-02-26,68.0222,68.0628,66.037,66.037,2401
2008-02-27,66.2396,68.0628,66.2396,67.6577,5967
2008-02-28,67.9817,67.9817,65.4294,65.4294,4611
2008-02-29,66.2802,66.2802,64.8217,64.9026,62994
2008-03-03,64.8217,67.9817,61.9856,62.796,17124
2008-03-04,63.7278,65.1457,63.2822,65.1457,64738
2008-03-05,64.8217,65.9966,64.0925,65.632,8292
2008-03-06,65.9966,65.9966,64.5786,65.9966,12503
2008-03-07,64.9837,66.4422,64.0113,66.4422,5355
2008-03-10,65.4294,65.956,64.8217,65.956,3209
2008-03-11,64.9837,67.2119,64.9837,66.4422,15240
2008-03-12,67.4551,68.3868,67.4551,68.0628,6558
2008-03-13,67.4956,67.4956,66.037,66.037,2598
2008-03-14,66.2802,67.8197,66.2802,67.8197,22419
2008-03-17,67.6981,67.6981,65.7129,66.6852,1273
2008-03-18,66.037,69.1567,66.037,69.1567,4461
2008-03-19,69.4402,69.6833,68.5084,68.5084,342297
2008-03-20,68.0628,68.4678,67.7386,68.4678,72697
2008-03-25,68.9541,69.9264,68.9541,69.2781,23050
2008-03-26,70.0073,71.871,70.0073,71.871,263424
2008-03-27,71.3037,72.7218,71.3037,71.7089,10973
2008-03-28,72.1141,72.7623,71.1418,72.0331,18705
2008-03-31,72.0331,72.0331,70.9798,71.871,9524
2008-04-01,70.7772,73.1269,70.4935,73.1269,85096
2008-04-02,73.1269,73.3295,72.1141,73.0864,9441
2008-04-03,72.9243,73.7346,72.7623,73.7346,13473
2008-04-04,73.7346,76.5705,73.4915,76.5705,73333
2008-04-07,76.9757,76.9757,74.6258,75.1931,5700
2008-04-08,76.9352,76.9352,75.3552,75.5171,20856
2008-04-09,75.2741,75.5171,74.2208,75.5171,26076
