Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,0.89,0.91,0.89,0.9,9458321
2008-01-03,0.9,0.91,0.87,0.9,9296115
2008-01-04,0.91,0.93,0.89,0.9,17429956
2008-01-07,0.89,0.94,0.88,0.91,16803217
2008-01-08,0.92,0.94,0.91,0.94,16512620
2008-01-09,0.93,0.97,0.91,0.94,39009668
2008-01-10,0.95,0.95,0.92,0.94,28053180
2008-01-11,0.94,0.95,0.93,0.94,13450865
2008-01-14,0.93,0.95,0.92,0.94,18582790
2008-01-15,0.94,0.99,0.9,0.9,29373863
2008-01-16,0.86,0.9,0.83,0.87,29641735
2008-01-17,0.92,0.93,0.87,0.91,31201674
2008-01-18,0.91,0.94,0.89,0.94,19152871
2008-01-21,0.9,0.93,0.87,0.87,28127357
2008-01-22,0.85,0.91,0.84,0.9,22482260
2008-01-23,0.92,0.94,0.9,0.92,18697600
2008-01-24,0.95,1,0.94,1,28181951
2008-01-25,1.05,1.1,1.04,1.09,56584643
2008-01-28,1.06,1.14,1.05,1.09,41791206
2008-01-29,1.13,1.14,1.11,1.13,32265485
2008-01-30,1.12,1.13,1.1,1.12,15076075
2008-01-31,1.11,1.12,1.07,1.07,20377272
2008-02-01,1.1,1.12,1.08,1.1,16929516
2008-02-04,1.11,1.13,1.08,1.08,11400563
2008-02-05,1.07,1.08,0.99,1.02,24661176
2008-02-06,0.99,1.08,0.97,1.06,31882027
2008-02-07,1.06,1.08,1.01,1.04,16556177
2008-02-08,1.06,1.07,1.04,1.06,10388369
2008-02-11,1.05,1.07,1.03,1.03,11694067
2008-02-12,1.05,1.06,1.03,1.05,13595106
2008-02-13,1.05,1.08,1.03,1.06,18559530
2008-02-14,1.08,1.1,1.05,1.06,14092713
2008-02-15,1.05,1.06,1.03,1.05,8708504
2008-02-18,1.05,1.07,1.05,1.07,4559215
2008-02-19,1.06,1.07,1.04,1.04,4315530
2008-02-20,1.04,1.05,1.02,1.03,6056617
2008-02-21,1.04,1.06,1.04,1.04,4531385
2008-02-22,1.04,1.05,1.02,1.03,6228598
2008-02-25,1.05,1.06,1.04,1.05,7214660
2008-02-26,1.05,1.1,1.05,1.06,23936664
2008-02-27,1.07,1.08,1.05,1.07,6625149
2008-02-28,1.07,1.07,1.04,1.06,4044682
2008-02-29,1.04,1.07,1.03,1.04,10615514
2008-03-03,0.95,0.96,0.86,0.88,62572069
2008-03-04,0.89,0.9,0.81,0.81,32510991
2008-03-05,0.83,0.84,0.8,0.82,20632470
2008-03-06,0.83,0.87,0.8,0.8,24446220
2008-03-07,0.8,0.83,0.8,0.82,14618038
2008-03-10,0.82,0.85,0.81,0.85,13407489
2008-03-11,0.84,0.87,0.84,0.86,11300859
2008-03-12,0.87,0.88,0.85,0.85,13884135
2008-03-13,0.84,0.84,0.82,0.82,6128902
2008-03-14,0.82,0.84,0.81,0.81,6292656
2008-03-17,0.8,0.81,0.77,0.78,13658248
2008-03-18,0.79,0.82,0.79,0.82,8738106
2008-03-19,0.82,0.84,0.8,0.83,9818123
2008-03-20,0.83,0.84,0.81,0.84,23382544
2008-03-25,0.86,0.86,0.82,0.84,14169331
2008-03-26,0.83,0.84,0.81,0.82,9698773
2008-03-27,0.82,0.84,0.82,0.83,6564000
2008-03-28,0.82,0.83,0.81,0.83,3719725
2008-03-31,0.82,0.83,0.81,0.81,7263038
2008-04-01,0.82,0.84,0.81,0.84,12105923
2008-04-02,0.84,0.84,0.82,0.82,6739420
2008-04-03,0.82,0.83,0.81,0.81,3106992
2008-04-04,0.82,0.83,0.81,0.83,3703329
2008-04-07,0.83,0.83,0.81,0.81,4918371
2008-04-08,0.82,0.82,0.81,0.81,1982341
2008-04-09,0.82,0.82,0.81,0.82,4461526
2008-04-10,0.82,0.83,0.81,0.81,3374018
2008-04-11,0.82,0.83,0.79,0.79,7117673
2008-04-14,0.8,0.81,0.77,0.78,8883650
2008-04-15,0.78,0.79,0.75,0.76,7673973
2008-04-16,0.76,0.76,0.7,0.73,19142434
2008-04-17,0.73,0.74,0.71,0.72,5887300
2008-04-18,0.72,0.72,0.68,0.68,17611185
2008-04-21,0.67,0.68,0.62,0.62,28669675
2008-04-22,0.62,0.66,0.6,0.62,28911913
2008-04-23,0.63,0.65,0.61,0.61,12073109
2008-04-24,0.62,0.64,0.61,0.63,11242288
2008-04-25,0.64,0.67,0.64,0.65,15138376
2008-04-28,0.66,0.66,0.65,0.66,4548046
2008-04-29,0.66,0.66,0.64,0.64,4001238
2008-04-30,0.64,0.66,0.63,0.65,5308501
2008-05-05,0.66,0.67,0.65,0.66,4179547
2008-05-06,0.67,0.68,0.66,0.67,9719411
2008-05-07,0.67,0.71,0.67,0.69,21725644
2008-05-08,0.69,0.7,0.68,0.68,10439198
2008-05-09,0.68,0.69,0.66,0.67,5653365
2008-05-12,0.67,0.68,0.66,0.67,4667609
2008-05-13,0.68,0.68,0.66,0.66,6381270
2008-05-14,0.67,0.68,0.65,0.67,5970456
2008-05-15,0.66,0.66,0.62,0.63,13186885
2008-05-16,0.64,0.65,0.61,0.61,13694074
2008-05-19,0.62,0.64,0.6,0.64,9521862
2008-05-20,0.64,0.66,0.63,0.63,10044900
2008-05-21,0.66,0.7,0.66,0.68,23718548
2008-05-23,0.67,0.68,0.65,0.67,8144821
2008-05-26,0.66,0.67,0.64,0.64,5700874
2008-05-27,0.64,0.65,0.63,0.63,7709212
2008-05-28,0.64,0.67,0.63,0.65,16319125
2008-05-29,0.65,0.68,0.65,0.66,14349284
2008-05-30,0.68,0.7,0.67,0.69,24506290
2008-06-02,0.7,0.7,0.68,0.7,5778532
2008-06-03,0.7,0.75,0.69,0.75,27280286
2008-06-04,0.76,0.76,0.72,0.73,14872465
2008-06-05,0.72,0.74,0.7,0.73,12291364
2008-06-06,0.74,0.75,0.71,0.71,11346133
2008-06-09,0.69,0.71,0.67,0.67,14668975
2008-06-10,0.66,0.67,0.62,0.63,16810564
2008-06-11,0.64,0.65,0.62,0.62,8498504
2008-06-12,0.62,0.65,0.62,0.65,12828087
2008-06-13,0.64,0.66,0.63,0.64,9834999
2008-06-16,0.65,0.65,0.62,0.63,10455415
2008-06-17,0.63,0.64,0.62,0.62,3897523
2008-06-18,0.63,0.63,0.6,0.61,6522659
2008-06-19,0.6,0.63,0.58,0.62,15925489
2008-06-20,0.62,0.62,0.59,0.59,12545699
2008-06-23,0.6,0.61,0.58,0.58,8610470
2008-06-24,0.58,0.59,0.55,0.56,12255344
2008-06-25,0.56,0.58,0.55,0.57,7511941
2008-06-26,0.56,0.57,0.55,0.57,5903691
2008-06-27,0.55,0.56,0.54,0.54,14689841
2008-06-30,0.55,0.55,0.52,0.52,8683324
2008-07-01,0.52,0.53,0.47,0.49,22877149
2008-07-02,0.5,0.51,0.49,0.49,8913708
2008-07-03,0.48,0.5,0.47,0.5,19010874
2008-07-04,0.5,0.51,0.47,0.48,11563608
2008-07-07,0.49,0.49,0.46,0.48,9891107
2008-07-08,0.46,0.49,0.45,0.47,18217821
2008-07-09,0.48,0.49,0.47,0.47,15545926
2008-07-10,0.47,0.49,0.46,0.47,18145376
2008-07-11,0.47,0.48,0.43,0.43,16402519
2008-07-14,0.44,0.45,0.4,0.41,19360661
2008-07-15,0.4,0.4,0.36,0.36,31029336
2008-07-16,0.38,0.38,0.36,0.37,14983896
2008-07-17,0.39,0.42,0.39,0.41,29623034
2008-07-18,0.41,0.42,0.4,0.4,17106676
2008-07-21,0.41,0.42,0.4,0.41,14729883
2008-07-22,0.4,0.41,0.4,0.41,8215551
2008-07-23,0.42,0.46,0.41,0.44,30663995
2008-07-24,0.45,0.46,0.43,0.43,18666167
2008-07-25,0.42,0.46,0.41,0.46,17888786
2008-07-28,0.45,0.47,0.44,0.46,16651605
2008-07-29,0.44,0.45,0.43,0.45,13221866
2008-07-30,0.46,0.47,0.44,0.44,21285714
2008-07-31,0.44,0.45,0.42,0.43,16872707
2008-08-01,0.43,0.44,0.42,0.42,6061976
2008-08-04,0.42,0.43,0.41,0.41,8130518
2008-08-05,0.42,0.44,0.41,0.43,11909476
2008-08-06,0.44,0.44,0.42,0.42,8056498
2008-08-07,0.43,0.43,0.4,0.4,10872967
2008-08-08,0.41,0.42,0.4,0.41,11892434
2008-08-11,0.42,0.43,0.41,0.42,4241626
2008-08-12,0.42,0.42,0.4,0.41,5995002
2008-08-13,0.41,0.41,0.4,0.4,3511928
2008-08-14,0.41,0.42,0.4,0.42,8946536
2008-08-18,0.41,0.42,0.4,0.4,15929955
2008-08-19,0.39,0.4,0.37,0.37,12842159
2008-08-20,0.38,0.39,0.36,0.38,9804131
2008-08-21,0.38,0.39,0.37,0.39,4528470
2008-08-22,0.39,0.39,0.38,0.39,4053980
