Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,161.3213,166.4793,161.3213,165.5012,17336
2008-01-03,164.5229,170.3034,164.5229,170.1255,76640
2008-01-04,171.4595,171.6374,167.6354,168.5248,143233
2008-01-07,166.3015,168.9694,163.1889,164.5229,250371
2008-01-08,164.6118,170.7481,163.6336,166.3015,322900
2008-01-09,166.2125,167.1908,161.5881,163.6336,87877
2008-01-10,166.7461,167.1908,153.1397,155.6298,55737
2008-01-11,154.1179,159.4538,153.4954,157.4083,33919
2008-01-14,158.2976,158.2976,149.5824,151.1832,70800
2008-01-15,151.1832,155.6298,140.3335,140.3335,43014
2008-01-16,142.8236,149.4045,141.8454,148.3374,317109
2008-01-17,152.8729,152.8729,145.0469,150.2938,30199
2008-01-18,149.5824,153.4065,144.7801,152.9618,186602
2008-01-21,147.7149,153.8511,142.29,144.0687,115924
2008-01-22,137.7546,146.7366,134.0194,144.4244,73024
2008-01-23,145.8473,147.8928,134.1973,134.4641,197177
2008-01-24,139.5332,146.7366,139.5332,146.7366,399164
2008-01-25,149.4934,154.5626,149.4045,153.8511,66413
2008-01-28,147.3592,151.0942,147.3592,149.4045,32473
2008-01-29,154.7404,154.7404,147.626,150.9164,27649
2008-01-30,150.6496,154.7404,147.9817,154.7404,38588
2008-01-31,153.8511,153.8511,143.2683,144.958,73482
2008-02-01,147.9817,150.2938,147.9817,150.116,74446
2008-02-04,150.3828,154.2958,149.5824,154.2958,27524
2008-02-05,152.0725,154.5626,147.626,151.1832,72751
2008-02-06,147.1813,153.8511,147.1813,152.1614,196152
2008-02-07,151.1832,153.8511,148.1596,151.9835,36838
2008-02-08,151.8057,153.3175,149.9381,152.5171,19741
2008-02-11,149.7602,153.0507,149.4045,150.027,18005
2008-02-12,152.8729,157.2305,149.9381,156.5191,37221
2008-02-13,155.4519,160.0763,155.4519,160.0763,17622
2008-02-14,162.4775,162.4775,159.2759,160.6988,18000
2008-02-15,160.0763,160.521,152.9618,153.3175,187944
2008-02-18,156.7859,160.8767,153.4954,159.187,138415
2008-02-19,159.098,159.098,153.8511,158.1198,59913
2008-02-20,154.6515,161.8549,152.9618,156.0744,32985
