Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,10.8833,10.8833,10.4685,10.478,4307
2008-01-03,10.1018,10.1501,10.1018,10.1501,201
2008-01-04,10.0438,10.0535,9.6386,9.8606,7335
2008-01-07,9.6386,9.6869,9.3299,9.3299,5607
2008-01-08,9.1852,9.4553,9.1852,9.4457,1203
2008-01-09,9.4167,9.4167,9.2335,9.3684,5542
2008-01-10,9.1467,9.1467,8.973,9.1467,22315
2008-01-11,9.0501,9.1467,9.0501,9.1467,35465
2008-01-14,9.1369,9.2335,9.0501,9.0501,1487731
2008-01-15,8.973,9.1467,8.973,9.1467,81816
2008-01-16,9.0501,9.0501,8.6834,8.8669,853641
2008-01-17,8.9632,9.3299,8.9632,9.2816,462875
2008-01-18,9.1563,10.0535,9.1467,9.8702,251585
2008-01-21,9.9377,9.9377,9.3396,9.6097,197270
2008-01-22,9.5133,9.5133,9.243,9.5133,333777
2008-01-23,9.6677,9.6677,9.2913,9.3203,1876678
2008-01-24,9.3299,10.0535,9.3299,9.8606,19270
2008-01-25,10.1018,10.1887,9.8702,10.0246,134844
2008-01-28,9.6869,9.7352,9.3396,9.3396,101227
2008-01-29,9.5133,9.5133,9.3782,9.5133,223401
2008-01-30,9.5228,9.5228,9.3396,9.5133,2352
2008-01-31,9.4264,10.1501,9.3396,9.5133,254955
2008-02-01,9.3684,9.5904,9.3684,9.5904,2078
2008-02-04,9.5133,9.8702,9.5133,9.6,191069
2008-02-05,9.6,9.6,9.5133,9.5133,224523
2008-02-06,9.5133,9.8702,9.5133,9.5519,310898
2008-02-07,9.5133,9.8702,9.5133,9.8606,109113
2008-02-08,9.8702,10.5166,9.8702,10.5166,155149
2008-02-11,10.3333,10.7,10.3333,10.5166,607
2008-02-12,10.5166,10.5166,10.4202,10.5166,221441
2008-02-13,10.5166,10.6806,10.5166,10.6806,22308
2008-02-14,10.7,11.5201,10.5745,11.5105,65013
2008-02-15,11.2499,11.2499,10.9219,11.2499,3352
2008-02-18,11.0666,11.0666,10.5166,10.835,31117
2008-02-19,10.6035,10.835,10.3333,10.7772,12534
2008-02-20,10.5166,11.7903,10.5166,11.7903,6564
2008-02-21,11.4332,12.0701,10.7964,12.0701,16533
2008-02-22,11.8288,12.0701,11.1728,11.7903,220007
2008-02-25,11.7807,12.3402,11.5683,11.7034,59588
2008-02-26,11.578,11.5972,11.5683,11.5683,3938
2008-02-27,11.6069,11.8867,11.3368,11.7034,12880
2008-02-28,11.4429,11.7034,11.4429,11.7034,2953
2008-02-29,11.4332,11.4332,11.0184,11.1534,16386
2008-03-03,10.8833,10.9701,10.7868,10.835,10431
2008-03-04,10.7,10.9123,10.6614,10.6614,153597
2008-03-05,10.7,11.1534,10.6518,10.8833,105385
2008-03-06,10.7868,11.0666,10.7386,10.8833,101808
2008-03-07,10.9219,11.2499,10.7,10.8833,33503
2008-03-10,10.7868,11.6938,10.5552,11.4332,21594
2008-03-11,11.6938,11.6938,10.7868,10.8929,116539
2008-03-12,10.8833,11.4332,10.8833,11.4332,13733
2008-03-13,11.4332,11.4332,11.2016,11.3174,57029
2008-03-14,11.3174,11.3174,11.2789,11.2789,118290
2008-03-17,11.2499,11.2499,10.7,10.8833,3107
2008-03-18,11.0666,11.3271,10.9701,11.3174,30339
2008-03-19,10.9701,11.3465,10.9701,11.3271,562208
2008-03-20,11.0666,11.2499,11.0666,11.2499,2132
2008-03-25,11.2499,11.2499,11.1341,11.1341,6590
2008-03-26,11.2499,11.2499,11.2499,11.2499,1641
2008-03-27,11.2016,11.2499,11.2016,11.2499,572
2008-03-28,11.2499,11.4139,11.2499,11.4139,294158
2008-03-31,11.3851,11.6069,11.1534,11.6069,28547
2008-04-01,11.4332,11.6069,11.4332,11.6069,76182
2008-04-02,11.6069,11.6069,11.6069,11.6069,1641
2008-04-03,11.6069,11.6069,11.4332,11.6069,578828
2008-04-04,11.6069,11.7517,11.4719,11.7517,2526
2008-04-07,11.8867,11.8867,11.7517,11.8867,27919
2008-04-08,11.7034,11.8867,11.4332,11.8867,4615
2008-04-09,11.877,11.877,11.7227,11.8095,65382
2008-04-10,11.7807,11.8867,11.7807,11.8867,47673
2008-04-11,11.7034,11.877,11.7034,11.713,51202
2008-04-14,11.7709,11.8867,11.4332,11.7903,5547
2008-04-15,11.5201,11.7903,11.5201,11.7903,579
2008-04-16,11.7903,11.7903,11.2596,11.7517,294450
2008-04-17,11.8385,11.8867,11.7903,11.8867,200580
2008-04-18,11.8867,12.1568,11.8385,11.9736,63965
2008-04-21,11.9736,11.9736,11.8867,11.8867,69875
2008-04-22,11.7613,11.8867,11.7034,11.7517,171141
2008-04-23,12.2534,12.2534,11.7613,11.8867,8238
2008-04-24,11.9736,11.9736,11.7903,11.7903,88333
2008-04-25,11.8867,12.3402,11.8867,11.9736,101487
2008-04-28,12.0701,12.1182,11.7034,12.0701,639495
2008-04-29,11.8867,12.0701,11.6263,11.9736,30078
2008-04-30,11.9736,12.0219,11.9736,12.0219,38924
2008-05-05,12.0122,12.1473,11.935,11.9736,239363
2008-05-06,12.0701,12.1376,12.0701,12.128,13608
2008-05-07,12.1568,12.2823,11.8964,12.0701,4674
2008-05-08,11.9446,11.9446,11.6166,11.9253,4495
2008-05-09,11.7034,11.9736,11.7034,11.9253,2101
2008-05-12,11.9253,11.935,11.7034,11.8867,8354
2008-05-13,11.7517,11.877,11.7517,11.877,844
2008-05-14,11.877,11.8867,11.877,11.8867,27445
2008-05-15,11.8867,11.8867,11.7903,11.8867,12155
2008-05-16,11.8867,11.8867,11.7034,11.7613,5776
2008-05-19,11.8867,11.8867,11.7034,11.8867,46654
2008-05-20,11.8867,11.8867,11.7034,11.8867,1220
2008-05-21,11.5297,11.7903,11.4332,11.7903,32093
2008-05-23,11.6938,11.7034,11.6938,11.7034,7363
2008-05-26,11.7034,11.7034,11.7034,11.7034,2187
2008-05-27,11.7034,11.7034,11.356,11.6551,9319
2008-05-28,11.6551,11.8867,11.6551,11.8867,602743
2008-05-29,11.8867,11.8867,11.7903,11.7903,8933
2008-05-30,11.7903,11.7903,11.7903,11.7903,8750
2008-06-02,11.7807,11.7903,11.6551,11.7903,126332
2008-06-03,11.5201,11.7807,11.5201,11.7807,94265
2008-06-04,11.5201,11.7034,11.5201,11.6069,779
2008-06-05,11.6069,11.6069,11.5201,11.6069,5473
2008-06-06,11.6069,11.6069,11.1824,11.4332,1840
2008-06-09,11.1534,11.2499,11.1534,11.1534,1885
2008-06-10,11.1438,11.3174,10.4202,10.7,24970
2008-06-11,10.7,10.9219,10.5552,10.6131,9209
2008-06-12,10.3333,11.1534,10.3333,10.6228,38762
2008-06-13,10.5166,10.7868,10.5166,10.7868,196
2008-06-16,11.0087,11.8675,11.0087,11.5201,26718
2008-06-17,11.7034,11.8867,11.6069,11.877,3237
2008-06-19,11.877,11.877,11.5201,11.877,3078
2008-06-20,11.877,11.877,11.877,11.877,108
2008-06-23,11.7034,11.8385,10.7,11.7903,13673
2008-06-24,11.4332,11.5297,11.4332,11.5201,203479
2008-06-25,11.3368,11.5201,11.3368,11.5201,3392
2008-06-26,11.0762,11.4332,10.7868,11.4332,11494
2008-06-27,10.8641,11.5201,10.8641,11.2402,42033
2008-06-30,10.9701,11.713,10.9604,11.713,192145
2008-07-01,11.5201,11.9832,11.1053,11.4332,9030
2008-07-02,11.2402,11.6648,11.2402,11.5201,14419
2008-07-03,11.4332,11.5201,11.2402,11.5201,481400
2008-07-04,11.2499,11.5201,11.2402,11.2402,1624
2008-07-07,11.2402,11.5201,11.2402,11.5105,855
2008-07-08,11.2402,11.2402,11.057,11.1438,5851
2008-07-09,11.1438,11.1438,11.1438,11.1438,165694
2008-07-10,11.1053,11.1053,10.9604,11.028,38488
2008-07-11,10.7772,11.2402,10.7772,11.2402,6202
2008-07-14,10.8641,10.8641,10.5843,10.5843,11694
2008-07-15,10.3044,10.3044,9.8317,9.8317,9664
2008-07-16,9.5519,9.6483,9.2624,9.2721,3548
2008-07-17,9.2721,9.8317,9.1369,9.1369,76621
2008-07-18,9.0887,9.2721,8.8957,9.2721,12471
2008-07-21,9.2721,9.3684,9.2721,9.2721,110270
2008-07-22,9.3106,9.3203,9.2721,9.3203,2552
2008-07-23,9.3106,9.3106,9.1369,9.2624,91353
2008-07-24,9.301,9.465,9.2238,9.301,957773
2008-07-25,9.2913,9.2913,9.1755,9.1755,4867
2008-07-28,9.3684,9.3684,9.1852,9.2238,564789
2008-07-29,9.2527,9.2527,9.079,9.1755,250492
2008-07-30,9.3879,9.494,9.1755,9.1755,5512
2008-07-31,9.1755,9.301,9.0115,9.2238,874396
2008-08-01,9.2913,9.5036,9.1755,9.3684,244961
2008-08-04,9.465,9.5036,9.2238,9.3684,15083
2008-08-05,9.301,9.4553,9.301,9.4553,131681
2008-08-06,9.4842,9.4842,9.3684,9.3782,7148
2008-08-07,9.4264,9.494,9.4167,9.4747,127592
2008-08-08,9.4842,9.822,9.3684,9.7834,14127
2008-08-11,9.8123,10.3044,9.8123,10.1018,69253
2008-08-12,10.4008,10.5843,10.2562,10.3044,384797
2008-08-13,10.1596,10.3719,10.1596,10.1982,3820
2008-08-14,10.2079,10.2079,10.1211,10.1596,3057
2008-08-18,10.1596,10.4008,10.1596,10.1596,10643
2008-08-19,10.2948,10.507,10.1018,10.2562,233574
2008-08-20,10.2948,10.2948,10.2465,10.2465,1023
2008-08-21,9.986,10.2562,9.9764,10.0246,205118
2008-08-22,10.0246,10.2562,10.0246,10.1596,9671
2008-08-25,10.4685,10.4877,10.1693,10.285,1705
2008-08-26,10.4008,10.4008,10.2175,10.3912,7048
2008-08-27,10.3912,10.3912,10.3044,10.3044,2431
2008-08-28,10.2272,10.7289,10.2175,10.7289,84969
2008-08-29,10.7289,11.057,10.536,11.0184,181544
2008-09-01,10.9123,10.9123,10.5166,10.7772,310831
2008-09-02,10.6324,10.7772,10.5843,10.5843,143624
2008-09-03,10.7386,10.7386,10.4491,10.5843,820
2008-09-04,10.5843,10.5843,10.4877,10.5843,1483
2008-09-05,10.4008,10.4008,10.2175,10.3044,3107
2008-09-08,10.2272,10.2272,10.0729,10.0729,140071
2008-09-09,10.2562,10.2562,10.179,10.179,3
2008-09-10,10.179,10.179,9.465,9.6483,29735
2008-09-11,9.6483,9.8317,9.6483,9.6579,159483
2008-09-12,9.6579,9.822,9.6579,9.7159,533776
2008-09-15,9.6579,9.7159,9.0115,9.0115,22088
2008-09-16,8.9923,9.1369,8.8957,8.9923,273899
2008-09-17,9.1948,9.1948,8.8957,9.0405,121749
2008-09-18,8.8089,9.0887,8.8089,9.0887,54152
2008-09-19,9.2238,9.3684,8.9923,9.3684,134957
2008-09-22,9.3684,9.465,9.3684,9.465,27222
2008-09-23,9.1755,9.465,9.1755,9.465,355183
2008-09-24,9.465,9.6,9.465,9.6,10832
2008-09-25,9.7448,9.7448,9.3684,9.465,74433
2008-09-26,9.1755,9.6483,9.1755,9.6483,14795
2008-09-29,9.465,9.6965,9.465,9.465,7590
2008-09-30,9.3684,9.6965,9.3684,9.6,102339
2008-10-01,9.6965,10.4008,9.6965,10.4008,118921
2008-10-02,10.4008,10.5843,10.3044,10.3044,705502
2008-10-03,10.1596,10.3044,10.0246,10.3044,84004
2008-10-06,10.015,10.3044,9.6,9.6483,217662
2008-10-07,9.2721,9.7448,9.2721,9.3684,2376
2008-10-08,9.3588,9.3684,8.8957,9.2721,504881
2008-10-09,9.1755,9.494,9.0887,9.2721,325053
2008-10-10,8.8089,8.9923,8.4326,8.7606,296791
2008-10-13,8.8957,9.0309,8.7125,9.0309,253368
2008-10-14,9.8317,9.8317,9.2721,9.2721,353272
2008-10-15,9.3203,9.3203,8.8957,8.8957,109761
2008-10-16,8.1528,8.5291,8.1528,8.201,339069
2008-10-17,8.7125,8.7125,8.2301,8.4713,256376
2008-10-20,9.1659,9.1659,8.4326,8.5291,1660
2008-10-21,8.8957,8.8957,8.6159,8.6642,94193
2008-10-22,8.6159,8.6159,8.4422,8.4422,3031
2008-10-23,8.7125,8.7125,8.2397,8.2397,58175
2008-10-24,8.3844,8.3844,7.7959,7.873,110136
2008-10-27,7.9599,7.9599,7.4003,7.6125,14801
2008-10-28,7.8151,8.2397,7.7766,7.7766,181189
2008-10-29,7.9599,8.3361,7.6801,7.9599,8747
2008-10-30,8.2397,8.2397,7.9599,8.1528,11632
2008-10-31,7.9888,7.9888,7.8827,7.9599,54963
2008-11-03,7.9599,8.6159,7.9599,8.6159,13865
2008-11-04,8.6159,8.9923,8.6159,8.7317,182257
2008-11-05,8.722,9.108,8.722,8.8186,78814
2008-11-06,8.6159,8.7511,8.6159,8.7511,330096
2008-11-07,8.8089,8.8089,8.7125,8.7606,23538
2008-11-10,8.8089,9.1755,8.8089,9.1755,158851
2008-11-12,9.1755,9.5422,8.8957,9.3974,103193
2008-11-13,9.3879,9.3879,9.0887,9.0984,97623
2008-11-14,9.0984,9.0984,9.0018,9.0018,409
2008-11-17,9.1273,9.1273,8.8089,9.0501,18602
2008-11-18,9.0501,9.465,9.0501,9.465,129999
2008-11-19,9.5519,9.5519,9.3684,9.5133,138378
2008-11-20,8.9923,9.5422,8.8957,9.1369,20480
2008-11-21,9.2721,9.3684,8.8957,9.2624,401123
2008-11-24,9.3684,9.3684,8.9923,9.3684,347791
2008-11-25,9.3684,9.6,9.2721,9.6,18307
2008-11-26,9.3684,9.9281,9.3684,9.9281,109703
2008-11-27,9.6677,10.2562,9.6677,9.7448,189242
2008-11-28,10.0246,10.0246,9.7448,9.7448,271837
2008-12-01,9.7448,9.7448,9.5519,9.5519,13238
2008-12-02,9.5519,9.5615,9.3684,9.5615,15773
2008-12-03,9.5615,9.5615,9.3684,9.3782,56968
2008-12-04,9.5036,9.9281,9.3684,9.6386,131215
2008-12-05,9.6386,9.7255,9.5036,9.7255,892
2008-12-08,9.7352,9.9281,9.7352,9.8798,525403
2008-12-09,9.4167,9.7448,9.4167,9.7448,36053
2008-12-10,10.0246,10.1114,9.8317,10.1114,504315
2008-12-11,10.1211,10.1211,9.9281,9.9667,55143
2008-12-12,9.9667,9.9764,9.8027,9.9281,63154
2008-12-15,10.0729,10.1211,9.8317,9.8317,227972
2008-12-16,10.1211,10.1211,9.8317,9.8317,142529
2008-12-17,9.9281,10.0633,9.8317,9.9281,137617
2008-12-18,9.7062,9.7062,9.5036,9.6483,21875
2008-12-19,9.5519,9.5519,8.7125,8.944,65497
2008-12-22,8.9923,9.1467,8.944,9.1467,33126
2008-12-23,9.3684,9.4457,9.1467,9.3396,139694
2008-12-29,9.3299,9.3299,8.944,8.9923,45609
2008-12-30,9.3203,9.3203,9.1755,9.2238,25071
2008-12-31,9.2238,9.3684,8.9343,9.3684,101114
