Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,40.2969,40.636,39.4998,40.636,102215
2008-01-03,39.399,39.8388,38.8034,39.2616,377543
2008-01-04,39.399,39.7289,37.6581,38.666,334895
2008-01-07,38.272,38.2995,37.2275,38.0246,286332
2008-01-08,37.933,39.5823,37.3833,39.2707,451826
2008-01-09,37.933,38.4828,36.2929,37.5665,825709
2008-01-10,38.2262,39.3807,36.751,38.4828,2177887
2008-01-11,37.3833,38.9409,36.4762,36.4762,607885
2008-01-14,36.2929,36.8243,34.3596,35.734,640157
2008-01-15,35.734,36.1921,33.1776,33.9015,380807
2008-01-16,31.1527,33.9015,30.6946,32.2064,1171238
2008-01-17,33.2509,33.4433,31.2627,32.802,749156
2008-01-18,32.4813,33.9931,32.4813,33.0768,754222
2008-01-21,31.4276,32.069,30.6946,31.1435,478918
2008-01-22,29.6042,33.9015,29.3202,31.1527,824790
2008-01-23,31.9773,32.069,30.7037,31.6108,689206
2008-01-24,33.6266,33.7182,31.9132,32.4355,2823498
2008-01-25,32.9394,32.9852,31.6108,32.4263,314719
2008-01-28,31.9865,32.069,31.336,31.7758,210724
2008-01-29,32.1148,33.4342,31.7941,33.2509,436628
2008-01-30,33.2051,33.7915,32.5271,32.6645,351332
2008-01-31,32.9669,33.4433,32.3897,32.9944,676036
2008-02-01,33.535,35.5507,33.4433,35.5507,855872
2008-02-04,36.1005,36.1921,34.946,35.7065,142152
2008-02-05,35.4591,35.4591,33.0035,33.4892,440532
2008-02-06,33.1593,34.1764,32.2064,33.9748,436234
2008-02-07,33.6266,33.9015,32.5271,33.6633,338343
2008-02-08,33.8923,34.3596,33.3517,34.3504,217847
2008-02-11,34.4146,35.0926,33.5625,34.3596,172773
2008-02-12,35.2759,35.6424,33.6816,35.3675,355441
2008-02-13,34.7719,35.4408,34.6803,35.2484,409084
2008-02-14,35.7798,35.9172,33.9565,34.7169,291191
2008-02-15,34.4512,34.552,32.9852,33.3426,419492
2008-02-18,33.4525,34.5429,33.3517,34.4421,176765
2008-02-19,34.1489,34.3596,33.4159,33.4159,315156
2008-02-20,32.9852,33.4433,32.5271,33.2601,741539
2008-02-21,33.5808,34.2863,33.3975,33.4433,248365
2008-02-22,33.4342,34.3779,33.0768,33.9931,109088
2008-02-25,34.3413,34.4604,33.0035,33.425,113836
2008-02-26,33.764,34.3504,32.5363,33.3059,377947
2008-02-27,32.6187,33.4433,32.6187,33.0677,300891
2008-02-28,33.2967,33.2967,32.2889,32.2889,218632
2008-02-29,32.5729,32.7012,30.7221,30.7954,404014
2008-03-03,30.2273,30.2273,29.5493,30.2273,336315
2008-03-04,30.2365,30.6213,28.7246,29.2286,474120
2008-03-05,29.3202,30.2365,29.1369,30.2365,285167
2008-03-06,30.1265,30.1265,28.7704,29.3202,293971
2008-03-07,28.7338,30.1448,28.7338,29.5401,337715
2008-03-10,29.3568,29.9616,28.9079,28.917,932442
2008-03-11,28.8621,30.1173,28.8621,29.8791,322061
2008-03-12,30.2365,32.0232,30.2365,31.1802,491784
2008-03-13,29.8241,31.1527,29.8241,31.1527,234665
2008-03-14,31.4642,32.0598,30.9236,31.6567,344638
2008-03-17,30.5113,31.6108,29.8791,30.8137,343887
2008-03-18,30.9878,33.2784,30.4197,33.2784,279785
2008-03-19,33.4433,33.4433,32.7103,33.1501,529842
2008-03-20,33.1501,33.1501,31.7025,32.0873,760660
2008-03-25,33.535,34.268,33.2601,34.268,524198
2008-03-26,34.2588,34.7719,33.0768,33.8923,553389
2008-03-27,34.2771,34.8177,33.4433,33.9381,268473
2008-03-28,33.59,33.9198,33.0127,33.3151,388673
