Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,44.9,45.5,44.6,44.6,50610
2008-01-03,44.15,44.61,43.78,44.02,44470
2008-01-04,44.45,44.47,44,44,149864
2008-01-07,43.61,44,43.47,43.6,52151
2008-01-08,44.03,44.1,43.65,44.1,132647
2008-01-09,44,44.3,43.3,43.8,224599
2008-01-10,43.75,45.2,43.73,44.1,175207
2008-01-11,44.34,44.34,43,43.76,78615
2008-01-14,43.05,43.7,43,43.3,145672
2008-01-15,43.1,43.2,42.15,42.15,245895
2008-01-16,40,41.85,39,39.9,347951
2008-01-17,40.02,41.6,39,39.15,338993
2008-01-18,39.2,40.05,38.1,39.22,284960
2008-01-21,39.11,39.11,37,37,281564
2008-01-22,34.5,38.12,34.5,37.4,322341
2008-01-23,38.35,38.5,36.4,36.7,1616694
2008-01-24,37.98,39.19,37.6,38.7,235260
2008-01-25,39.2,39.2,38,38.8,94015
2008-01-28,37.46,38.7,37.46,37.5,77797
2008-01-29,38.5,39.96,37.91,39.08,213037
2008-01-30,39.5,39.5,38.12,38.12,128557
2008-01-31,38.49,39.05,37.8,38.49,126687
2008-02-01,39.02,39.28,38.05,38.8,245748
2008-02-04,39.19,40.12,38.44,38.59,130225
2008-02-05,38.51,39.92,37.5,38.16,835181
2008-02-06,37.3,38.47,37.01,38.02,158260
2008-02-07,38.4,38.4,36.45,37,327629
2008-02-08,37.28,37.4,35.51,36.08,255288
2008-02-11,36.54,36.88,36,36.11,190495
2008-02-12,36.9,37.37,36.15,36.99,324493
2008-02-13,37.09,37.8,36.87,36.87,168349
2008-02-14,37.6,37.6,36.51,37,276651
2008-02-15,36.99,37.1,36.1,36.15,77841
2008-02-18,36.49,37.38,36.49,37.13,411659
2008-02-19,37.46,37.47,36.46,36.48,255507
2008-02-20,36.42,36.99,36.12,36.9,266497
2008-02-21,37.26,37.87,37,37.8,302217
2008-02-22,37.4,38.68,37.03,37.86,196621
2008-02-25,38.3,39.09,38.3,38.8,184973
2008-02-26,39.1,39.6,37.7,38,114004
2008-02-27,38.38,38.38,37.03,37.32,180685
2008-02-28,37.5,37.67,35.59,35.59,468980
2008-02-29,35.84,35.84,33.85,33.97,416930
2008-03-03,33.5,33.96,33,33.96,157746
2008-03-04,34,34.1,32.69,32.75,152694
2008-03-05,33.09,33.47,32.56,33.47,174837
2008-03-06,33.46,33.46,32.6,32.6,125521
2008-03-07,32.4,32.47,32,32.04,103224
2008-03-10,32,32.87,32,32.69,145140
2008-03-11,32.75,33.7,32.7,33.58,218800
2008-03-12,33.9,34.08,33.58,33.91,196595
2008-03-13,33.36,33.36,32.8,33.1,100021
2008-03-14,33,33.58,32.48,32.57,181601
2008-03-17,32.4,32.4,31.03,31.51,111480
2008-03-18,31.55,33.09,31.55,32.91,182065
2008-03-19,33.34,34.12,32.7,33.5,252055
2008-03-20,33.11,34.12,32.82,32.82,297585
2008-03-25,34.2,34.9,34.11,34.9,241191
2008-03-26,34.8,35.24,34.6,34.9,122681
2008-03-27,35.25,35.4,34.7,35.12,143665
2008-03-28,35.11,35.12,34.42,34.6,82395
2008-03-31,34.62,35,34.1,35,130917
2008-04-01,34.66,35.5,34.66,35.4,177780
2008-04-02,35.8,35.96,35.15,35.2,155509
2008-04-03,35.2,35.7,34.71,35,128389
2008-04-04,34.87,35.69,34.83,35.5,111340
2008-04-07,35.7,35.99,35.5,35.59,85443
2008-04-08,35.5,35.5,34.79,34.81,197002
2008-04-09,34.98,35.4,34.8,35.4,74663
2008-04-10,35.38,35.4,34.81,35,54361
2008-04-11,35,35.3,33.6,33.6,253171
2008-04-14,33.51,33.6,33.07,33.22,124382
2008-04-15,33.22,33.5,32.65,33.4,88108
2008-04-16,33.42,33.42,32.8,33.4,98015
2008-04-17,33.7,33.79,33.11,33.4,107473
2008-04-18,33.65,34.5,33.4,34,144594
2008-04-21,34.1,34.3,33.21,33.51,46198
2008-04-22,33.6,33.6,32,32.76,109954
2008-04-23,32.9,32.9,31.65,31.7,188313
2008-04-24,31.8,32.12,31.16,31.38,169333
2008-04-25,31.75,32.29,31.75,32.02,174285
2008-04-28,32.5,32.85,32.4,32.5,160710
2008-04-29,32.17,32.67,32.01,32.67,76795
2008-04-30,32.66,33.27,32.03,33.27,110531
2008-05-05,33.65,33.8,33.32,33.6,128674
2008-05-06,34,34.1,33.81,33.95,173643
2008-05-07,34,34.85,34,34.5,411569
2008-05-08,34.45,34.45,33.71,33.71,145092
2008-05-09,33.8,33.8,32.9,32.9,190734
2008-05-12,33.3,33.65,33.3,33.5,105160
2008-05-13,33.51,33.7,33.4,33.6,287832
2008-05-14,33.9,34.75,33.87,34.61,327304
2008-05-15,34.79,34.79,33.5,33.5,293998
2008-05-16,33.85,34.2,33.6,33.8,71801
2008-05-19,34,34.09,33.5,33.72,63367
2008-05-20,33.83,34.5,33.25,33.25,130509
2008-05-21,33.55,33.57,33,33.4,176534
2008-05-23,33.3,33.5,33.07,33.38,72510
