Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,4.4929,4.6251,4.4665,4.4752,2828837
2008-01-03,4.5107,4.6339,4.4752,4.581,4662499
2008-01-04,4.581,4.7573,4.581,4.6691,5461030
2008-01-07,4.6251,4.8276,4.6251,4.722,3663514
2008-01-08,4.7836,4.8452,4.6955,4.8189,2566680
2008-01-09,4.7925,4.907,4.6955,4.7573,6726306
2008-01-10,4.6779,4.8365,4.5722,4.581,4236368
2008-01-11,4.581,4.6162,4.4576,4.5369,6531755
2008-01-14,4.4929,4.6251,4.4489,4.6251,3604718
2008-01-15,4.5722,4.581,4.4224,4.4224,3549154
2008-01-16,4.3608,4.3872,4.1405,4.167,7666510
2008-01-17,4.2637,4.3432,4.0525,4.1846,5685516
2008-01-18,4.1493,4.2991,4.0965,4.1934,15255084
2008-01-21,4.0877,4.1053,3.8058,3.9203,8551998
2008-01-22,3.656,3.9819,3.656,3.9379,5251336
2008-01-23,4.0525,4.0788,3.7705,3.8938,13010693
2008-01-24,4.0436,4.211,3.9908,4.0788,7199106
2008-01-25,4.1405,4.167,3.9203,4.0525,4099312
2008-01-28,4.0171,4.0348,3.8762,3.8762,2759498
2008-01-29,3.9644,3.9908,3.9026,3.9644,4657555
2008-01-30,3.9644,3.9644,3.8322,3.8762,5701249
2008-01-31,3.8938,3.8938,3.7529,3.8497,6436534
2008-02-01,3.8938,3.9026,3.8146,3.8586,5339717
2008-02-04,3.9115,3.9819,3.885,3.9644,6627118
2008-02-05,3.9379,3.9732,3.797,3.8322,2958311
2008-02-06,3.7705,3.9468,3.7618,3.9468,5615259
2008-02-07,3.9203,3.9819,3.8322,3.8674,3344468
2008-02-08,3.9026,3.9379,3.8322,3.9203,4472426
2008-02-11,3.9026,3.9379,3.8674,3.8938,5072320
2008-02-12,3.9379,4.0084,3.8938,4.0084,10196406
2008-02-13,3.9819,4.0877,3.9468,4.0525,6774990
