Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,49.4388,50.775,49.2479,49.6297,728779
2008-01-03,50.0115,50.3455,49.6297,49.9638,569402
2008-01-04,49.8206,50.5364,49.2002,49.7252,772890
2008-01-07,49.4388,49.916,49.2479,49.5343,1258051
2008-01-08,49.7252,50.441,49.3434,50.441,932721
2008-01-09,50.1546,50.7273,49.2479,50.3932,1900595
2008-01-10,50.0592,50.5841,48.1026,49.582,1258326
2008-01-11,49.3911,50.0115,48.1026,48.2458,997063
2008-01-14,48.6753,48.6753,45.9647,46.4133,1821884
2008-01-15,46.0029,46.4801,43.9032,43.9032,1206929
2008-01-16,41.1449,43.9032,40.7918,42.6625,2458668
2008-01-17,43.1779,43.3115,40.3337,41.6221,2650820
2008-01-18,41.5172,42.4239,40.7536,41.9848,2204618
2008-01-21,40.4482,40.9159,39.1311,39.1311,1914685
2008-01-22,37.8904,41.04,37.7949,40.076,3173757
2008-01-23,41.164,41.3263,38.988,40.9445,4650891
2008-01-24,41.4217,41.8894,40.6677,40.8777,3596557
2008-01-25,41.3167,41.3167,39.5511,39.5702,2235929
2008-01-28,39.427,39.7992,38.1194,38.1767,2159184
2008-01-29,39.1311,39.322,38.7016,38.9402,3096221
2008-01-30,39.1311,39.7038,38.8925,39.1788,1974018
2008-01-31,39.5988,39.7038,38.0813,38.4058,1951225
2008-02-01,39.1311,39.9901,39.0261,39.1407,1401977
2008-02-04,40.4673,40.6964,39.9901,40.4291,2282389
2008-02-05,40.4482,41.374,38.8448,39.7992,2141662
2008-02-06,39.1311,40.5723,38.6635,40.5723,2083609
2008-02-07,40.1142,41.1354,38.5394,38.7207,3111520
2008-02-08,38.8448,38.8925,37.0791,38.0813,5923350
2008-02-11,37.6995,38.6825,37.3177,37.6041,1258705
2008-02-12,38.2721,38.9402,37.7949,38.9402,1576401
2008-02-13,38.8448,38.8448,38.0717,38.3199,2082346
2008-02-14,38.9498,39.112,37.4227,37.9858,2559246
2008-02-15,37.9858,38.1194,37.3464,37.6804,1067853
2008-02-18,38.1767,38.5012,37.9858,38.2721,986014
2008-02-19,38.4344,38.5012,37.7949,37.9381,1187154
2008-02-20,37.6899,38.358,37.2605,38.358,2258629
2008-02-21,38.4726,39.9042,38.0813,39.7897,3030795
