Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,1.0644,1.0819,1.047,1.0732,663656
2008-01-03,1.0732,1.0732,1.047,1.0557,555655
2008-01-04,1.0557,1.0644,1.0295,1.0383,539468
2008-01-07,1.0121,1.0208,0.9946,0.9946,637290
2008-01-08,0.9859,0.9946,0.951,0.9597,3099797
2008-01-09,0.951,0.951,0.855,0.8812,6425122
2008-01-10,0.8987,0.9074,0.8201,0.8289,3302943
2008-01-11,0.8201,0.8638,0.8201,0.8201,1615491
2008-01-14,0.8201,0.8201,0.7329,0.7852,5145561
2008-01-15,0.7852,0.8201,0.7416,0.7416,1968267
2008-01-16,0.698,0.7503,0.698,0.7242,2749176
2008-01-17,0.7329,0.7591,0.7329,0.7503,2958166
2008-01-18,0.7329,0.8201,0.7329,0.8114,5856343
2008-01-21,0.7591,0.8027,0.7591,0.7678,2498878
2008-01-22,0.7242,0.8201,0.7154,0.794,3939351
2008-01-23,0.8289,0.8638,0.7678,0.8638,6995953
2008-01-24,0.8987,0.9161,0.8899,0.9074,5232902
2008-01-25,0.9336,0.9423,0.8899,0.9074,5062284
2008-01-28,0.8899,0.9161,0.8812,0.9074,1504718
2008-01-29,0.9423,0.9946,0.9248,0.9772,5923024
2008-01-30,0.9859,1.0295,0.9074,0.9336,3925780
2008-01-31,0.9336,0.9336,0.9074,0.9074,1098596
2008-02-01,0.9336,0.9772,0.9248,0.9772,3079852
2008-02-04,0.9772,0.9946,0.9336,0.9423,4913223
2008-02-05,0.9423,0.951,0.9161,0.9248,4069965
2008-02-06,0.9074,0.9597,0.8899,0.951,2795208
2008-02-07,0.9423,0.9597,0.9248,0.9423,2076489
2008-02-08,0.951,0.9685,0.9336,0.9685,819713
2008-02-11,0.9597,0.9772,0.951,0.9597,844796
2008-02-12,0.9772,0.9859,0.9161,0.9772,2965767
2008-02-13,0.9772,0.9859,0.9597,0.9859,2113838
2008-02-14,0.9946,1.0121,0.9772,1.0121,2128161
2008-02-15,1.0208,1.0732,0.9946,1.0383,4521650
2008-02-18,1.0557,1.0819,1.047,1.0819,2190120
2008-02-19,1.0819,1.1168,1.0732,1.0819,2937404
