Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,14.6303,15.1112,14.6303,14.6693,3156337
2008-01-03,14.6433,15.0722,14.6367,14.9488,4438658
2008-01-04,15.0073,15.1893,14.7928,14.9163,6074602
2008-01-07,14.8058,15.1893,14.6888,15.0657,1483033
2008-01-08,15.1112,15.1762,14.8188,14.8188,3877642
2008-01-09,14.7992,14.9422,14.3703,14.6239,6288853
2008-01-10,14.4353,14.9488,14.2663,14.9488,6357527
2008-01-11,14.7992,15.0397,14.6239,14.7278,3642233
2008-01-14,14.8448,14.8448,14.1558,14.4938,5004582
2008-01-15,14.3638,14.4288,13.3889,13.7788,5211102
2008-01-16,13.1939,13.7788,12.9924,13.1939,14467022
2008-01-17,13.3434,13.6488,13.0899,13.3889,9931264
2008-01-18,13.2589,14.2274,13.2589,13.6684,14814799
2008-01-21,13.2589,13.5709,13.2069,13.324,7843871
2008-01-22,13.1875,13.9673,13.051,13.6164,8566451
2008-01-23,13.9738,14.0064,13.0769,13.3564,13255132
2008-01-24,13.6554,13.9544,13.6554,13.8113,6117107
2008-01-25,13.8763,14.2663,13.6619,14.0064,7331512
2008-01-28,13.7204,14.2014,13.6423,13.9088,4960277
2008-01-29,14.0453,14.1688,13.6554,13.9024,4582637
2008-01-30,14.2274,15.0722,14.1688,15.0722,15523912
2008-01-31,15.0722,15.0787,14.6693,14.8838,10843991
2008-02-01,15.0983,15.5922,15.0463,15.3257,4191303
2008-02-04,15.4363,15.4363,14.9943,15.1503,6182082
2008-02-05,15.0203,15.1438,14.7733,14.7863,5985620
2008-02-06,14.5264,14.7863,14.3769,14.6888,4490417
2008-02-07,14.6888,14.7863,14.4288,14.5913,9034971
2008-02-08,14.7407,14.8838,14.5783,14.5913,10979290
2008-02-11,14.5264,14.9422,14.4288,14.6564,3114801
2008-02-12,14.7538,15.2738,14.7538,15.1308,5810764
2008-02-13,15.1438,15.3712,14.6888,15.1567,5131346
2008-02-14,15.3647,15.3971,14.8838,15.3452,4799821
2008-02-15,15.3842,15.4037,14.8838,15.1373,1721704
2008-02-18,15.1373,15.3907,15.0983,15.2868,2648914
2008-02-19,15.3647,15.5337,14.9554,15.4363,2723787
2008-02-20,15.2087,15.3712,14.8838,15.2087,2799154
2008-02-21,15.3127,15.3712,14.8318,14.9098,2098724
2008-02-22,14.9163,14.9943,14.5588,14.7538,3691993
2008-02-25,14.9292,15.2023,14.8253,15.1112,3962371
2008-02-26,15.0203,15.3388,14.5913,14.9488,2640203
2008-02-27,14.9422,15.0657,14.6564,14.8058,2667420
2008-02-28,14.8707,14.8707,14.4288,14.5523,2750371
2008-02-29,14.3769,14.5523,14.1039,14.1753,4548908
2008-03-03,13.9738,14.2208,13.7073,14.2208,4162536
2008-03-04,14.2988,14.2988,13.9218,14.0389,2882738
2008-03-05,14.1168,14.9098,13.9803,14.4288,3435557
2008-03-06,14.4288,14.4288,13.9934,14.1363,3672189
2008-03-07,14.0519,14.4288,13.7919,14.1688,2592931
2008-03-10,14.2988,14.6173,14.0974,14.3248,4127081
2008-03-11,14.2988,14.9488,14.2794,14.8513,2963306
2008-03-12,14.9878,15.1178,14.7863,14.7863,5732939
2008-03-13,14.6758,14.8513,14.5913,14.6239,2455862
2008-03-14,14.6564,14.9747,14.4288,14.6239,2172699
2008-03-17,14.3573,14.6108,14.2338,14.4418,4954619
2008-03-18,14.5588,14.7992,14.4418,14.7214,2871542
2008-03-19,14.7148,14.8123,14.2469,14.4874,9493707
2008-03-20,14.5652,14.5652,14.0519,14.0519,10547657
2008-03-25,14.4808,14.4808,14.1884,14.2988,9876402
2008-03-26,14.3834,14.3834,14.0909,14.1688,10026336
2008-03-27,14.2923,14.4158,14.0649,14.1623,6052055
2008-03-28,14.1039,14.1623,13.9934,14.0713,7523226
2008-03-31,14.0383,14.3652,13.8089,14.3652,4838928
2008-04-01,14.1688,14.5588,14.0389,14.2663,7092745
2008-04-02,14.2988,14.3183,13.9738,14.0713,4840711
2008-04-03,14.0649,14.1623,13.9154,14.0389,2694481
2008-04-04,13.9544,14.2598,13.9544,14.1623,3386405
2008-04-07,14.2598,14.2598,14.0713,14.1623,3819452
2008-04-08,14.1623,14.2144,14.0064,14.1039,3215432
2008-04-09,14.1688,14.2144,14.0584,14.1688,3492150
2008-04-10,14.1168,14.4288,14.1103,14.1688,5881880
2008-04-11,14.2923,14.5913,14.0713,14.0713,6644013
2008-04-14,14.0389,14.2338,13.9868,14.1039,1529331
2008-04-15,14.0974,14.3183,14.0453,14.2988,2104146
2008-04-16,14.2988,14.4743,14.1039,14.1949,2774547
2008-04-17,14.2663,14.2858,14.0128,14.1688,2447526
2008-04-18,14.1039,14.2663,14.1039,14.2014,4120784
2008-04-21,14.2663,14.2663,14.1168,14.1688,3085119
2008-04-22,14.2338,14.2338,13.9803,14.1039,3304963
2008-04-23,14.1039,14.1493,13.8763,13.9738,4134232
2008-04-24,14.0064,14.1363,13.7788,14.0519,5381019
2008-04-25,14.0779,14.2144,14.0584,14.0974,6037002
2008-04-28,14.1623,14.2598,14.1233,14.1818,5585582
2008-04-29,14.5588,14.5588,14.2988,14.2988,13678465
2008-04-30,14.2956,14.6433,14.2052,14.4972,7435430
2008-05-05,14.7214,14.9488,14.6239,14.9488,3539827
2008-05-06,15.0333,15.0333,14.5523,14.6239,4424992
