Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,46.5745,46.5745,45.3225,46.199,63074
2008-01-03,45.7399,46.3241,43.8201,45.5312,47033
2008-01-04,45.0721,45.4895,44.7383,44.8217,67357
2008-01-07,44.9052,45.3225,44.5296,45.0304,71232
2008-01-08,45.0304,45.406,44.2375,45.0721,192594
2008-01-09,44.6131,44.6549,42.8603,43.695,340006
2008-01-10,43.6115,44.2375,40.206,41.0824,788565
2008-01-11,41.0824,41.7169,40.5733,40.9906,89709
2008-01-14,40.6067,41.3412,40.5232,40.8905,298009
2008-01-15,40.5649,40.5649,38.3447,38.3447,89085
2008-01-16,36.3916,37.5601,34.6389,35.9325,310710
2008-01-17,36.3833,37.5601,35.6404,37.5601,227948
2008-01-18,37.1428,40.8572,35.8992,39.2294,396095
2008-01-21,38.6118,38.7703,36.0827,36.7255,276920
2008-01-22,34.6389,39.2294,34.6389,39.2294,278307
2008-01-23,39.7303,39.9807,37.5601,37.5601,179675
2008-01-24,39.6385,39.6468,38.3948,39.2294,97931
2008-01-25,38.8539,39.6468,38.8121,39.2294,288761
2008-01-28,38.8455,40.3144,38.7454,39.2294,74145
2008-01-29,39.6218,40.2979,39.2294,39.6468,91988
2008-01-30,39.2879,39.8137,39.2294,39.6803,170505
2008-01-31,39.797,39.797,38.737,39.2294,117897
2008-02-01,39.5633,40.8989,39.2294,40.0725,81826
2008-02-04,40.8989,41.3162,40.4898,41.3162,71000
2008-02-05,40.8989,40.8989,38.6619,40.0641,91330
2008-02-06,38.7286,39.8972,37.9942,39.2378,68161
2008-02-07,39.5967,40.0474,38.5617,38.8539,63296
2008-02-08,38.6452,41.0657,38.6452,39.5216,108737
2008-02-11,38.979,40.807,38.4032,40.1476,57830
2008-02-12,41.3162,41.7084,40.0809,40.665,121961
2008-02-13,40.8989,41.3078,39.9723,40.5817,240404
2008-02-14,41.5665,41.5749,40.8153,41.5165,56623
2008-02-15,41.483,41.483,39.2294,39.2294,65964
2008-02-18,39.2462,41.5749,39.2462,41.1158,73069
2008-02-19,41.1075,41.1492,39.6885,39.6885,87327
2008-02-20,39.2212,40.6401,38.4032,38.8873,233154
2008-02-21,39.2796,39.4298,36.7255,37.727,274936
2008-02-22,37.9775,38.1444,36.7255,36.7255,126755
2008-02-25,37.6019,37.6019,35.9742,36.0577,133798
2008-02-26,36.2998,37.1679,35.9742,36.0995,181474
2008-02-27,36.475,36.9758,35.7238,36.1663,137635
2008-02-28,36.475,36.7088,36.2329,36.2831,94353
2008-02-29,36.2747,36.5585,35.5569,36.5585,143988
2008-03-03,35.8908,37.4349,34.9726,37.4349,280946
2008-03-04,37.293,37.293,35.5151,35.6821,122483
2008-03-05,35.4818,36.2163,35.1897,35.8908,175686
2008-03-06,35.8825,35.8825,35.5569,35.6821,91395
2008-03-07,35.2647,36.7255,35.2647,35.4567,524570
2008-03-10,35.4734,36.4917,35.4651,35.8908,587766
2008-03-11,36.0577,36.9758,35.9325,36.2747,1268298
2008-03-12,36.617,36.617,36.0577,36.4,59277
2008-03-13,36.0577,36.0577,35.223,35.5569,90463
2008-03-14,35.8908,35.8908,34.2298,34.597,96966
2008-03-17,34.2465,34.2465,33.8042,34.0212,56207
2008-03-18,33.921,36.3916,33.9043,36.3081,80761
2008-03-19,35.9409,36.3081,34.6806,36.1412,252366
2008-03-20,35.7321,36.0577,35.1897,35.3065,389847
2008-03-25,35.9742,36.5585,35.6404,35.8908,155961
2008-03-26,36.1328,36.7672,35.3065,35.6404,98797
2008-03-27,35.8908,36.3916,35.2647,35.874,109521
2008-03-28,35.8908,35.8908,34.9726,35.8908,33915
2008-03-31,35.5319,35.8908,34.9894,35.39,50925
2008-04-01,35.7238,36.1412,34.8892,35.8073,1621150
2008-04-02,35.8908,35.8908,35.39,35.5486,90238
2008-04-03,35.1897,36.2831,35.148,35.4651,69943
2008-04-04,35.4317,35.8073,35.3315,35.3315,52279
2008-04-07,35.6654,35.8073,35.148,35.39,93494
2008-04-08,35.39,35.8908,35.223,35.7154,43176
2008-04-09,35.7238,35.8073,35.0561,35.6237,38226
2008-04-10,35.6153,35.6237,34.8892,35.098,71364
2008-04-11,35.4484,35.4484,33.0863,34.2215,286471
2008-04-14,34.2215,34.2215,33.4035,33.9793,101470
2008-04-15,34.0378,34.5553,34.0378,34.2965,266198
2008-04-16,33.971,34.9643,33.971,34.305,198757
2008-04-17,34.6389,34.6389,34.2215,34.5135,485870
2008-04-18,34.4718,35.2063,34.2215,35.1897,141514
2008-04-21,35.1897,35.2063,34.2965,35.0143,75661
2008-04-22,35.198,35.198,33.3868,34.6305,93955
2008-04-23,34.2882,34.6389,33.4786,33.4786,91055
2008-04-24,33.5287,34.2048,32.068,33.3785,76393
2008-04-25,33.4368,34.138,33.4368,33.7289,100294
2008-04-28,34.2215,34.6221,33.6538,33.8042,168413
2008-04-29,33.7957,33.971,32.5103,33.7207,101917
2008-04-30,33.3785,33.9293,32.7357,33.9293,79735
2008-05-05,34.2716,34.5386,34.2215,34.2215,43364
2008-05-06,34.5887,34.6221,33.9877,34.2215,103449
2008-05-07,34.3801,34.3801,33.5537,33.971,70169
2008-05-08,33.6288,33.6288,32.9778,33.2198,100092
2008-05-09,33.3034,33.3868,32.9277,32.9277,100213
2008-05-12,33.2616,33.6371,33.1363,33.2198,280034
2008-05-13,33.2032,33.4702,33.1615,33.3034,81892
2008-05-14,33.3034,33.7207,32.719,33.7207,158087
2008-05-15,32.9611,32.9611,29.6725,31.2583,1262692
2008-05-16,31.6339,31.8427,31.2668,31.7008,411935
2008-05-19,31.8844,31.8844,30.3069,30.382,382188
2008-05-20,30.1733,30.3736,29.2134,29.3804,260912
2008-05-21,29.5055,30.8828,29.2134,30.8828,148889
2008-05-23,30.549,30.549,29.5223,30.2901,93619
2008-05-26,30.1148,30.5239,30.0482,30.0899,137887
2008-05-27,30.0482,30.2651,29.8812,29.9646,278428
2008-05-28,30.2067,30.624,29.7559,30.215,334652
2008-05-29,30.5239,30.5239,27.9698,28.2953,255201
2008-05-30,28.4539,29.3804,28.4539,29.3804,106183
2008-06-02,29.1884,29.6893,29.0465,29.2134,36137
2008-06-03,28.9213,29.7476,28.9213,29.7476,40690
2008-06-04,29.4471,30.0648,29.3804,29.8143,98622
2008-06-05,29.8812,30.0482,29.5055,29.7977,190212
2008-06-06,30.0899,30.0899,29.2051,29.5473,372114
2008-06-09,29.2051,29.2051,28.5457,29.0465,52828
2008-06-10,28.3787,28.5457,27.1184,27.1184,124235
2008-06-11,27.3771,27.4523,26.5591,26.7511,206204
2008-06-12,26.1252,27.5442,26.1252,27.5274,136861
2008-06-13,27.5274,28.045,26.9765,27.9197,105136
2008-06-16,27.6359,28.0282,27.5442,27.5525,190571
2008-06-17,27.8779,28.3787,27.6359,27.8029,226298
2008-06-18,28.0867,28.2202,27.5442,27.9615,175120
2008-06-19,27.2102,27.9615,27.2102,27.5024,120260
2008-06-20,27.3855,28.045,27.3855,27.9197,156604
2008-06-23,27.9615,28.3787,27.9615,28.3454,88461
2008-06-24,28.504,28.6876,27.9615,28.6876,83272
2008-06-25,28.6876,28.8713,28.6792,28.7126,70387
2008-06-26,28.4706,29.4471,28.4706,29.4471,66874
2008-06-27,28.5874,29.4221,28.5874,28.8045,126255
2008-06-30,28.8042,29.0846,28.3368,28.3793,275564
2008-07-01,28.3787,28.3787,27.8779,27.9615,83986
2008-07-02,27.9615,27.9615,26.8763,26.9597,109988
2008-07-03,27.0454,27.0454,26.3741,26.3741,379187
2008-07-04,26.6426,26.6426,25.8747,25.8747,87167
2008-07-07,25.6689,25.6689,24.5813,24.9637,99543
2008-07-08,24.7088,24.7088,23.4087,23.7061,95233
2008-07-09,24.4539,25.5414,23.6211,23.6211,137241
2008-07-10,23.7911,23.7911,22.1852,22.1852,142730
2008-07-11,22.1002,22.8139,21.9217,22.2616,137218
2008-07-14,22.5165,23.4852,22.5165,23.0858,81835
2008-07-15,23.2558,23.2558,23.0264,23.1453,111255
2008-07-16,23.1368,23.1368,23.0433,23.0943,140246
2008-07-17,23.2813,23.5617,23.1199,23.5617,133090
2008-07-18,23.3748,23.5192,22.3806,23.0688,96993
2008-07-21,22.8309,24.6068,22.8309,24.2583,329416
2008-07-22,24.2583,25.363,24.029,25.3544,321323
2008-07-23,25.7453,28.3624,25.6604,28.2604,236191
2008-07-24,28.3793,28.8892,27.2153,27.6146,462118
2008-07-25,27.3257,29.4839,26.8584,28.2944,150336
2008-07-28,28.2944,29.1355,28.1669,28.6342,141973
2008-07-29,28.4218,28.8637,28.3368,28.7617,153621
2008-07-30,28.8892,29.4839,28.7617,28.8892,143903
2008-07-31,28.6003,29.6114,28.3879,29.467,118742
2008-08-01,29.467,29.4754,29.178,29.4754,139277
2008-08-04,29.178,29.229,28.8892,28.9062,94801
2008-08-05,28.9062,29.7134,28.9062,28.9062,198717
2008-08-06,29.2036,29.45,27.3173,27.3173,142563
2008-08-07,27.6146,28.0394,25.1166,25.1166,213112
2008-08-08,25.3715,27.1898,25.3715,27.1898,307977
2008-08-11,27.5721,27.6146,26.8499,27.1813,108637
2008-08-12,25.4904,25.8218,25.0656,25.6179,192939
2008-08-13,25.6093,25.6093,24.9381,25.2101,208102
2008-08-14,25.3205,25.9153,25.3205,25.4904,153484
2008-08-18,25.4904,25.6604,24.8192,25.5754,61300
2008-08-19,25.3969,25.5839,24.6407,24.6407,176524
2008-08-20,24.8871,25.142,24.6832,24.7852,140994
2008-08-21,24.7257,24.8363,24.7257,24.8106,167629
2008-08-22,24.9806,25.7368,24.8106,25.142,128605
2008-08-25,24.9977,25.7284,24.9977,25.227,158702
2008-08-26,25.4565,25.4565,24.9721,25.312,164291
2008-08-27,25.0656,25.3205,24.6407,24.9381,84788
2008-08-28,24.7172,25.278,24.0375,25.2611,101909
2008-08-29,25.2611,25.2611,24.5218,24.8277,90779
2008-09-01,24.8192,25.3036,24.8106,25.3036,89556
2008-09-02,24.8363,25.6518,24.2158,24.2158,181121
2008-09-03,24.4623,25.6179,24.4623,24.7172,406576
2008-09-04,24.7172,25.193,24.7172,25.0656,73514
2008-09-05,24.8871,25.312,24.8192,25.1505,73778
2008-09-08,25.1505,25.193,24.8277,25.193,62659
2008-09-09,24.9381,25.2186,24.7342,25.0231,56332
2008-09-10,24.7682,25.0487,24.6492,24.8787,69378
2008-09-11,24.6832,24.8787,23.7911,23.7911,74208
2008-09-12,24.046,24.2158,23.4173,24.0885,125994
2008-09-15,23.3662,23.7911,22.746,23.7911,117477
2008-09-16,23.7911,23.7911,22.5165,22.5165,102809
2008-09-17,22.8394,23.2813,22.797,23.2643,102259
2008-09-18,23.0264,24.199,22.7885,23.7911,117940
2008-09-19,24.012,24.3008,23.4257,23.7911,197319
2008-09-22,24.029,24.1309,23.5362,23.9525,171444
2008-09-23,23.7061,24.199,23.7061,23.7146,155843
2008-09-24,23.9525,24.2924,23.7911,24.2158,126767
2008-09-25,23.9695,24.4198,23.9695,24.3008,69994
