Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,10.99,11.45,10.6,11.25,185899
2008-01-03,11.1,11.1,10.78,10.88,91746
2008-01-04,10.89,11,10.33,10.39,55727
2008-01-07,10.19,10.87,10.15,10.84,189470
2008-01-08,10.99,11.25,10.75,11.2,250415
2008-01-09,10.92,11.17,10.6,10.85,207154
2008-01-10,10.85,10.94,10.38,10.65,95317
2008-01-11,10.45,11,10.45,10.75,136811
2008-01-14,10.5,10.7,10.04,10.18,141529
2008-01-15,10.24,10.37,9.25,9.3,85320
2008-01-16,8.5,9.3,8.1,8.45,221136
2008-01-17,9,9.4,8.62,9.28,172198
2008-01-18,9.03,9.99,9.03,9.91,159790
2008-01-21,9.5,10.41,9.5,9.97,147156
2008-01-22,9.4,10.27,9.15,10,155509
2008-01-23,10.28,10.5,9.87,10.15,149809
2008-01-24,10.4,10.9,10.4,10.88,223547
2008-01-25,10.89,11.2,10.71,11.2,246250
2008-01-28,10.63,11.25,10.63,10.97,140532
2008-01-29,11.25,11.25,10.88,11.25,175296
2008-01-30,11.23,11.6,10.91,11.25,143278
2008-01-31,11.26,11.59,10.81,10.81,78302
2008-02-01,11.1,11.25,10.8,11.18,116409
2008-02-04,11.2,11.78,11.12,11.74,192732
2008-02-05,11.67,11.84,11.25,11.62,98169
2008-02-06,11.12,11.99,11.06,11.91,157034
2008-02-07,11.95,12.1,11.62,12,111826
2008-02-08,12.1,12.17,11.9,12.08,64983
2008-02-11,12.15,12.15,11.97,12.09,65606
2008-02-12,12.11,12.15,11.8,12.09,87448
2008-02-13,12.1,12.44,12.01,12.28,133863
2008-02-14,12.48,12.49,12,12.24,62289
2008-02-15,12.24,12.25,11.95,12,68982
2008-02-18,12,12.21,11.7,11.8,60265
2008-02-19,11.67,12.05,11.42,11.88,74769
2008-02-20,11.8,11.87,11.55,11.8,51745
2008-02-21,11.7,11.88,11.67,11.82,72789
2008-02-22,11.61,12.09,11.61,12.07,61507
2008-02-25,12.07,12.1,11.92,11.92,39105
2008-02-26,11.92,12.05,11.9,11.9,10324
2008-02-27,11.89,11.98,11.71,11.84,24785
2008-02-28,11.9,11.9,11.4,11.69,113899
2008-02-29,11.49,11.7,10.56,10.99,194515
2008-03-03,10.67,10.75,10.3,10.43,66921
2008-03-04,10.43,10.55,10.05,10.5,33949
2008-03-05,10.5,10.6,10.2,10.56,16423
2008-03-06,10.56,10.6,10.35,10.5,46576
2008-03-07,10.22,10.5,10.12,10.5,23212
2008-03-10,10.74,10.74,10.16,10.29,24459
2008-03-11,10.21,10.3,10.01,10.2,40842
2008-03-12,10.36,10.4,10.13,10.23,13819
2008-03-13,10.11,10.28,9.7,9.99,78577
2008-03-14,9.64,10.19,9.64,10.05,11797
2008-03-17,9.75,10,9.5,9.79,37372
2008-03-18,9.79,10.15,9.67,10.1,54679
2008-03-19,10.15,10.2,9.93,10.1,42240
2008-03-20,10,10.18,10,10.1,58086
2008-03-25,10.12,10.3,10.12,10.2,30070
2008-03-26,10.1,10.3,10.1,10.25,19563
2008-03-27,10.29,10.5,10.23,10.33,69530
2008-03-28,10.3,10.64,10.3,10.48,65937
2008-03-31,10.49,10.64,10.26,10.26,20286
2008-04-01,10.28,10.36,10.1,10.2,18368
2008-04-02,10.21,10.42,10.11,10.3,28164
2008-04-03,10.22,10.24,10.1,10.18,30019
2008-04-04,10.12,10.2,10.12,10.2,27735
2008-04-07,10.2,10.3,10.05,10.1,19223
2008-04-08,10.07,10.13,9.56,9.79,29384
2008-04-09,9.65,9.79,9.45,9.71,22896
2008-04-10,9.64,9.7,9.35,9.59,27970
2008-04-11,9.61,9.7,9.48,9.7,51695
2008-04-14,9.6,9.88,9.05,9.85,93879
2008-04-15,9.99,9.99,9.46,9.89,24183
2008-04-16,9.8,9.93,9.65,9.81,38379
2008-04-17,9.89,9.95,9.66,9.7,40846
2008-04-18,9.7,9.73,9.27,9.47,29977
2008-04-21,9.47,9.7,8.65,9.44,95259
2008-04-22,9.2,9.49,8.7,9.05,36229
2008-04-23,8.7,9.2,8.7,8.96,41089
2008-04-24,8.99,9.19,8.8,8.99,45074
2008-04-25,9.15,9.15,8.85,9.04,51639
2008-04-28,9.1,9.1,8.89,9.05,36465
2008-04-29,9.1,9.14,8.95,9.08,16816
2008-04-30,9.15,9.15,8.95,9.13,36239
2008-05-05,9.17,9.47,9.17,9.3,17335
2008-05-06,9.35,9.35,9.15,9.25,7082
2008-05-07,9.26,9.7,9.26,9.66,44437
2008-05-08,9.58,9.65,9.41,9.62,17248
2008-05-09,9.57,9.69,9.4,9.58,17457
2008-05-12,9.6,9.68,9.5,9.59,33481
2008-05-13,9.46,9.46,9.1,9.42,40561
2008-05-14,9.49,9.49,9.3,9.34,13135
2008-05-15,9.26,9.37,8.72,8.94,41582
2008-05-16,8.97,8.97,8.41,8.88,84749
2008-05-19,8.51,8.93,8.4,8.9,56823
2008-05-20,8.66,8.9,8.55,8.66,12625
2008-05-21,8.8,8.8,8.58,8.7,9745
2008-05-23,8.8,9.1,8.68,9.08,38886
2008-05-26,9,9.19,9,9.1,33509
2008-05-27,9.1,9.12,9,9.1,43227
2008-05-28,9.03,9.28,9.02,9.1,35895
2008-05-29,9.2,9.22,8.96,9.1,12851
2008-05-30,9.1,9.1,8.83,9.05,16325
2008-06-02,8.91,8.98,8.7,8.7,3883
2008-06-03,8.6,8.69,8.47,8.47,31746
2008-06-04,8.54,8.54,8.3,8.42,6179
2008-06-05,8.33,8.49,8.1,8.15,16703
2008-06-06,8.2,8.2,7.82,8.15,36656
2008-06-09,7.95,8,7.63,7.66,28305
2008-06-10,7.41,7.64,6.8,6.8,50695
2008-06-11,6.31,6.5,6.2,6.37,115710
2008-06-12,6.14,6.68,6.14,6.65,60728
2008-06-13,6.64,6.78,6.44,6.78,33776
2008-06-16,6.82,7.05,6.82,7.04,68732
2008-06-17,7,7.38,7,7.25,12385
2008-06-18,7.25,7.4,7.25,7.3,21030
2008-06-19,7.31,7.31,7.12,7.29,18649
2008-06-20,7.19,7.47,6.52,7.25,31467
2008-06-23,7.2,7.4,7.13,7.25,16408
2008-06-24,7.26,7.29,7.11,7.2,7810
2008-06-25,7.2,7.39,7.19,7.3,26031
2008-06-26,7.4,7.55,7.36,7.48,433204
2008-06-27,7.4,7.53,7.21,7.3,27187
2008-06-30,7.3,7.54,7.25,7.27,50789
2008-07-01,7.26,7.33,6.82,6.97,39490
2008-07-02,6.81,6.97,6.74,6.75,54708
2008-07-03,6.75,6.87,6.6,6.8,216193
2008-07-04,6.99,7,6.88,6.9,70735
2008-07-07,7.06,7.06,6.93,7,958102
2008-07-08,6.8,7,6.8,6.94,131061
2008-07-09,7.06,7.44,6.94,6.94,159061
2008-07-10,6.99,7,6.92,6.99,110113
2008-07-11,6.94,7.2,6.9,7,119516
2008-07-14,7.15,7.38,7,7.1,164902
2008-07-15,7.15,7.15,6.85,6.99,928251
2008-07-16,7,7.1,6.94,7.03,117433
2008-07-17,7.1,7.18,7,7.12,118058
2008-07-18,7.16,7.16,7.08,7.1,204429
2008-07-21,7.16,7.2,7.08,7.2,160192
2008-07-22,7.2,7.23,7.15,7.21,55379
2008-07-23,7.13,7.3,7.13,7.29,63093
2008-07-24,7.3,7.38,7.2,7.24,311081
2008-07-25,7.2,7.3,7.19,7.27,48249
2008-07-28,7.28,7.47,7.21,7.31,261948
2008-07-29,7.3,7.48,7.3,7.4,198123
2008-07-30,7.5,7.5,7.42,7.45,207548
2008-07-31,7.62,7.62,7.29,7.37,184276
2008-08-01,7.4,7.45,7.37,7.37,152181
2008-08-04,7.35,7.57,7.35,7.36,120552
2008-08-05,7.3,7.4,7.2,7.36,131597
2008-08-06,7.4,7.4,7.3,7.32,145212
2008-08-07,7.38,7.38,7.21,7.33,130947
2008-08-08,7.3,7.34,7.23,7.25,175680
2008-08-11,7.25,7.39,7.25,7.39,124940
2008-08-12,7.3,7.45,7.25,7.35,54232
2008-08-13,7.39,7.4,7.3,7.4,20078
2008-08-14,7.48,7.48,7.33,7.45,208387
2008-08-18,7.34,7.48,7.3,7.48,59362
2008-08-19,7.48,7.5,7.35,7.5,37640
2008-08-20,7.41,7.54,7.32,7.45,193299
2008-08-21,7.5,7.5,7.31,7.41,99023
2008-08-22,7.33,7.48,7.33,7.48,131740
2008-08-25,7.49,7.49,7.36,7.49,54779
2008-08-26,7.49,7.53,7.37,7.53,376703
2008-08-27,7.55,7.55,7.43,7.54,51350
2008-08-28,7.51,7.55,7.49,7.5,140871
2008-08-29,7.49,7.54,7.42,7.54,160211
2008-09-01,7.52,7.52,7.41,7.52,204079
2008-09-02,7.5,7.58,7.46,7.48,362832
2008-09-03,7.48,7.55,7.48,7.55,309578
2008-09-04,7.59,7.7,7.56,7.59,291420
2008-09-05,7.5,7.59,7.45,7.59,265535
