Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,20.6123,20.6123,20.6037,20.6037,5554
2008-01-03,20.6123,20.6123,19.8564,20.0111,3043
2008-01-04,20.0111,20.0111,19.324,19.324,5472
2008-01-07,19.324,19.324,19.324,19.324,131
2008-01-08,19.324,19.324,18.9459,18.9459,3597
2008-01-09,18.8946,19.3411,18.4051,18.4051,991
2008-01-10,19.2295,19.2295,17.6064,17.6064,69565
2008-01-11,17.778,18.6283,17.34,18.6199,4684
2008-01-14,17.4344,17.7351,17.2027,17.5463,43691
2008-01-15,17.2027,17.2627,16.7475,17.1767,154155
2008-01-16,15.9231,16.7475,15.9231,16.3181,125493
2008-01-17,17.0053,17.0909,15.9231,16.653,20927
2008-01-18,16.6444,16.6444,16.3181,16.6444,126624
2008-01-21,16.3181,16.3181,15.7167,15.7167,4631
2008-01-22,15.3992,17.1767,15.1156,16.9965,24282
2008-01-23,17.1767,17.1767,16.3523,17.0053,22616
2008-01-24,17.0909,17.4344,16.8762,17.4344,37801
2008-01-25,17.778,17.778,15.6225,15.6225,23585
2008-01-28,17.1767,17.1767,16.2321,16.4897,3950
2008-01-29,17.5204,17.5204,16.7475,17.1767,9824
2008-01-30,16.9192,17.1767,16.8334,17.1767,13123
2008-01-31,16.5756,17.0053,16.5155,17.0053,56925
2008-02-01,17.34,18.0357,16.9965,18.0357,148168
2008-02-04,18.4651,18.4651,16.8334,16.8334,8836
2008-02-05,17.1767,17.1767,16.7561,16.7561,38415
2008-02-06,16.8334,16.9192,16.6701,16.9192,3967
2008-02-07,16.9192,16.9192,16.7475,16.7475,12539
2008-02-08,16.7475,16.7475,16.6617,16.6617,448
2008-02-11,16.6617,17.0053,16.6617,17.0053,842
2008-02-12,17.0053,17.1767,16.8505,16.8505,15570
2008-02-13,17.6491,17.6491,17.0053,17.0053,7732
2008-02-14,17.3486,17.3486,17.34,17.34,107
2008-02-15,17.3315,17.3315,16.5756,16.9708,8970
2008-02-18,16.7475,17.0137,16.5756,17.0137,175
2008-02-19,16.4469,16.7046,16.4039,16.421,588
2008-02-20,16.2321,16.2321,15.7167,15.8026,90026
2008-02-21,16.7903,16.7903,15.8456,16.5671,29175
2008-02-22,16.3008,16.3008,15.8629,15.8886,1084
2008-02-25,15.9745,16.7046,15.7255,16.2321,4921
2008-02-26,16.3181,16.3181,15.9831,16.2321,5918
2008-02-27,16.2321,16.2321,15.8886,15.9745,92181
2008-02-28,15.1156,15.76,14.6263,14.6517,192663
2008-02-29,14.7636,14.8321,14.1709,14.8321,16742
2008-03-03,14.8064,14.8064,13.7415,14.4715,14177
2008-03-04,14.4544,14.9354,14.3426,14.9354,11659
2008-03-05,14.6004,14.9869,14.6004,14.9869,11891
2008-03-06,14.9953,15.0041,14.6863,14.9439,59763
2008-03-07,14.6089,14.8752,14.5145,14.8752,70803
2008-03-10,14.2654,14.8752,14.2139,14.8752,21379
2008-03-11,14.8924,15.0126,14.2654,15.0126,10531
2008-03-12,14.9869,15.0126,14.5059,15.0041,4567
2008-03-13,14.6004,14.6004,14.523,14.523,1182
2008-03-14,14.1794,14.7722,14.1794,14.7722,1281
2008-03-17,14.7549,14.7549,14.085,14.6004,53245
2008-03-18,14.6004,14.6004,14.566,14.566,370
2008-03-19,14.6004,14.7722,14.2654,14.7463,4440
2008-03-20,14.7204,14.9439,14.5917,14.9439,12982
2008-03-25,14.6176,14.8408,14.5574,14.8408,128530
2008-03-26,14.8408,14.8408,14.4801,14.7636,4488
2008-03-27,14.6004,14.7636,14.4286,14.7636,78791
2008-03-28,14.7722,14.9439,14.4373,14.9439,13284
2008-03-31,14.9439,14.9439,14.6004,14.8924,13059
2008-04-01,14.6004,14.6004,14.5316,14.6004,4889
2008-04-02,14.6863,14.6863,14.1967,14.6004,2873
2008-04-03,14.274,14.6863,14.274,14.6004,1000
2008-04-04,14.3513,14.3513,14.3513,14.3513,494
2008-04-07,14.188,14.274,14.188,14.2226,24976
2008-04-08,14.2568,14.2997,14.1967,14.2997,1945
2008-04-09,14.1709,14.2997,14.1709,14.2568,1050
2008-04-11,14.2997,14.3341,13.5268,14.1709,10716
2008-04-14,13.7415,14.1709,13.7415,14.1709,493
2008-04-15,14.0421,14.0421,14.0421,14.0421,142
2008-04-16,13.398,14.0678,13.398,14.0678,3699
2008-04-17,13.7415,13.7415,13.7415,13.7415,1843
2008-04-18,13.6556,13.6556,13.3121,13.484,3344
2008-04-21,13.3121,13.3121,12.4533,13.0803,4712
2008-04-22,12.4961,12.8569,12.4791,12.8312,7426
2008-04-23,12.0239,12.6937,12.0239,12.1527,19253
2008-04-24,12.1955,12.5391,12.1097,12.4102,30952
2008-04-25,12.1527,12.3932,12.1527,12.2987,17905
2008-04-28,12.4533,13.2262,12.4359,12.8312,37658
2008-04-29,12.8657,12.8657,12.333,12.3673,10131
2008-04-30,12.3673,12.7367,12.3673,12.7025,22206
2008-05-05,12.6937,13.3121,12.6937,12.7195,6698
2008-05-06,12.7451,12.7451,12.6937,12.7281,8702
2008-05-07,12.7967,12.9341,12.4533,12.7108,5400
2008-05-08,12.625,12.9428,12.625,12.9428,142
2008-05-09,12.7108,12.7451,12.625,12.7451,2420
2008-05-12,12.7451,12.7451,12.625,12.7451,315
2008-05-13,12.7539,12.7539,12.625,12.625,471
2008-05-14,12.625,12.7451,12.3759,12.5391,15023
2008-05-15,12.2902,12.7108,11.8951,11.9123,64010
