Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-06-30,16.5885,16.5885,14.0717,14.0717,59462
2008-07-01,14.0804,14.0804,12.6724,12.9716,85879
2008-07-02,13.0155,14.01,13.0155,13.57,3544
2008-07-03,13.4908,13.6756,13.2004,13.3764,9528
2008-07-04,13.6404,13.6404,13.2091,13.2091,9734
2008-07-07,13.4732,13.4732,12.9364,13.3236,7695
2008-07-08,13.1564,13.1564,12.4259,12.7516,18938
2008-07-09,12.7427,13.0332,12.7427,13.0332,9203
2008-07-10,13.0332,13.1476,12.7427,12.8572,9475
2008-07-11,13.1476,13.1476,12.7692,12.8484,7687
2008-07-14,13.1388,13.2444,12.7692,13.1123,1767
2008-07-15,13.1123,13.1123,11.9683,12.0916,8132
2008-07-16,11.5284,11.6076,11.2203,11.6076,14260
2008-07-17,11.7044,11.9244,11.4316,11.9068,11549
2008-07-18,12.0036,12.3204,11.4404,12.3204,17600
2008-07-21,12.3204,13.2004,12.0563,13.174,14674
2008-07-22,13.1564,13.1652,12.8484,13.1476,15303
2008-07-23,13.1652,14.6172,13.1652,14.4236,39714
2008-07-24,14.4324,14.6964,14.0717,14.1685,15912
2008-07-25,14.054,14.098,13.5172,14.0804,5370
2008-07-28,14.8549,14.8549,13.9484,14.2476,11190
2008-07-29,14.0804,14.2564,13.8604,14.1596,8860
2008-07-30,13.9484,14.3796,13.9484,14.2388,8874
2008-07-31,14.142,14.4324,14.142,14.3621,11913
2008-08-01,14.3356,14.4324,14.0804,14.0892,13079
2008-08-04,14.4236,14.4236,13.9484,14.0804,6411
2008-08-05,14.0804,14.0804,13.702,14.0452,15344
2008-08-06,14.0804,14.4236,14.0364,14.1596,8897
2008-08-07,14.2564,14.3884,14.2476,14.3708,18617
2008-08-08,14.2564,14.3444,14.1685,14.3444,43448
2008-08-11,14.4148,14.4501,14.2388,14.2653,9118
2008-08-12,14.2828,14.4236,14.2828,14.318,4179
2008-08-13,14.4236,15.3389,14.4236,15.2157,86252
2008-08-14,15.2333,15.6556,15.1012,15.154,74626
2008-08-18,15.1277,15.1277,14.4324,14.5557,7889
2008-08-19,14.4236,14.4236,14.0892,14.1685,29421
2008-08-20,14.0804,14.5996,13.9924,14.01,14342
2008-08-21,13.8956,14.0804,13.6844,13.8604,28265
2008-08-22,14.1068,14.1068,13.8164,13.9044,35171
2008-08-25,13.9044,14.0717,13.79,13.9044,10086
2008-08-26,13.9044,14.0364,13.8164,13.8164,90730
2008-08-27,13.7284,13.8692,13.7284,13.8604,6498
2008-08-28,13.8252,13.8252,13.4644,13.6404,21162
2008-08-29,13.8076,13.8076,13.5172,13.6404,5137
2008-09-01,13.7196,13.7196,13.218,13.5963,13247
2008-09-02,13.5876,13.7284,13.2532,13.7284,20308
2008-09-03,13.9836,14.0717,13.7284,14.0276,15231
2008-09-04,14.0188,14.0188,13.79,13.8164,7915
2008-09-05,13.8164,13.8164,13.4027,13.4644,15318
2008-09-08,13.7724,13.7724,13.218,13.2972,19511
2008-09-09,13.2972,13.4644,12.8484,13.3764,10982
2008-09-10,13.5084,13.5084,13.1123,13.2004,16252
2008-09-11,13.2884,13.3412,13.0684,13.2444,2690
2008-09-12,13.2884,13.2884,13.0332,13.0508,17660
2008-09-15,13.0243,13.0243,12.3204,12.3291,17976
2008-09-16,12.3116,12.4259,11.9683,12.294,14303
2008-09-17,12.3643,12.3643,12.0563,12.1443,19092
2008-09-18,12.0124,12.2764,11.8803,12.2675,20177
2008-09-19,12.4964,12.8924,12.4964,12.8396,123254
2008-09-22,12.9364,12.9364,12.4084,12.4084,15840
2008-09-23,12.4084,12.4084,11.9683,12.3643,19772
2008-09-24,12.3643,12.3643,12.2323,12.2411,4678
2008-09-25,12.3643,12.3643,12.2323,12.3204,4551
2008-09-26,12.3643,12.3643,12.1707,12.3028,67814
2008-09-29,12.3643,12.3643,11.898,11.898,38706
2008-09-30,11.5284,11.6603,11.2643,11.4404,65513
2008-10-01,11.4404,11.9419,11.4404,11.8364,13095
2008-10-02,11.8364,11.8364,11.3083,11.3083,7790
2008-10-03,11.4404,11.4404,10.6043,10.7979,32851
2008-10-06,10.7363,10.7363,9.2403,9.4515,64726
2008-10-07,9.4162,9.5218,8.4923,8.5362,139677
2008-10-08,8.0962,8.3602,7.665,8.2546,189105
2008-10-09,8.2987,8.5362,8.2546,8.3163,31407
2008-10-10,7.9114,7.9642,7.665,7.8762,59846
2008-10-13,8.0522,8.2283,7.9379,8.1754,55607
2008-10-14,8.5274,9.1963,8.5274,8.9498,315430
2008-10-15,9.117,9.117,8.5979,8.6682,37218
2008-10-16,8.369,8.6242,8.1139,8.5626,36615
2008-10-17,8.6506,9.0466,8.5011,8.8442,32806
2008-10-20,9.0202,9.117,8.7651,9.117,23223
2008-10-21,9.1523,9.3547,9.0202,9.1523,14724
2008-10-22,8.8442,9.0643,8.8442,8.8883,11242
2008-10-23,9.1523,9.1523,8.8091,8.8883,26090
2008-10-24,8.8619,8.8619,8.4923,8.8619,38671
2008-10-27,8.8003,8.8003,8.457,8.6242,15091
2008-10-28,8.7123,8.8883,8.633,8.7562,8596
2008-10-29,8.8883,9.1083,8.8883,8.9763,36826
2008-10-30,9.3282,9.3282,8.9763,9.2843,32129
2008-10-31,9.3194,9.4162,9.0115,9.4162,19756
2008-11-03,9.3019,9.6539,9.2403,9.513,30246
2008-11-04,9.6363,9.9355,9.513,9.8123,16364
2008-11-05,10.0675,10.0675,9.5483,9.5923,12247
2008-11-06,9.2403,9.4074,9.1523,9.3019,9131
2008-11-07,8.9322,9.5042,8.9322,9.4515,7484
2008-11-10,9.3987,9.4867,9.029,9.029,6956
2008-11-12,9.3547,9.3547,8.4482,8.4746,24284
2008-11-13,8.3602,8.4923,7.9291,8.4482,13053
2008-11-14,8.545,8.8795,8.3602,8.3602,10098
2008-11-17,8.5362,8.6242,8.0259,8.3514,2017
2008-11-18,8.2722,8.2722,7.973,8.0962,14056
2008-11-19,8.1051,8.1578,8.0698,8.149,9012
2008-11-20,7.401,7.7443,7.0402,7.0402,32190
2008-11-21,6.9522,7.3746,6.697,6.9962,18222
2008-11-24,7.0402,7.3042,7.0402,7.3042,12092
2008-11-25,7.4538,7.4538,7.0138,7.2162,28956
2008-11-26,7.1547,7.2162,7.0226,7.1722,9828
2008-11-27,7.225,7.4802,7.2074,7.269,39210
2008-11-28,7.4274,7.4274,7.225,7.269,8135
2008-12-01,7.2954,7.2954,7.0842,7.093,34269
2008-12-02,7.1458,7.1722,7.0666,7.1458,31746
2008-12-03,7.1722,7.269,7.0314,7.137,34540
2008-12-04,7.1282,7.1547,7.0138,7.0138,36518
2008-12-05,7.0402,7.0402,6.609,6.7938,18681
2008-12-08,6.8994,6.9346,6.8026,6.8642,58558
2008-12-09,6.9874,7.0666,6.9082,6.9874,30888
2008-12-10,7.0226,7.0226,6.8202,6.8202,16440
2008-12-11,7.0226,7.0226,6.8202,6.8994,17883
2008-12-12,6.8906,6.8906,6.6882,6.7146,16497
2008-12-15,6.7146,6.7146,6.6882,6.6882,24901
2008-12-16,6.7146,6.7146,6.4242,6.477,33080
2008-12-17,6.6002,6.6002,5.8346,6.1162,73882
2008-12-18,6.125,6.125,5.7201,5.7993,58139
2008-12-19,5.7378,5.7818,5.6321,5.6674,117275
2008-12-22,5.8081,6.0546,5.6938,5.7201,65538
2008-12-23,5.7025,5.9754,5.6762,5.7554,26803
2008-12-29,5.9402,6.0546,5.7993,5.8961,7241
2008-12-30,5.8961,6.0194,5.8257,5.9842,4657
2008-12-31,5.9842,6.0985,5.9049,6.0898,10114
2009-01-05,5.9842,6.257,5.8961,6.1162,11474
2009-01-06,6.257,6.5562,6.1602,6.5122,27334
2009-01-07,6.5562,6.7762,6.4242,6.521,36144
2009-01-08,6.4857,6.7234,6.4242,6.6442,10836
2009-01-09,6.6442,6.7234,6.5562,6.6002,41428
2009-01-12,6.4242,6.4242,6.0898,6.3714,14895
2009-01-13,6.2041,6.4682,6.2041,6.4682,12055
2009-01-14,6.5562,6.6002,6.213,6.2218,8482
2009-01-15,6.4242,6.4506,6.2041,6.4506,5331
2009-01-16,6.5474,6.5474,6.2041,6.3714,50274
2009-01-19,6.2041,6.2921,6.1514,6.169,9219
2009-01-20,6.2394,6.2394,5.8961,5.9842,7633
2009-01-21,6.0546,6.0546,5.773,5.8961,25794
2009-01-22,5.7025,5.8874,5.3682,5.6057,36522
2009-01-23,5.5706,5.5706,5.289,5.3241,30217
2009-01-26,5.6321,5.6321,5.289,5.4385,30026
2009-01-27,5.4385,5.6233,5.3682,5.3682,22726
2009-01-28,5.5353,5.5706,5.3594,5.5177,20467
2009-01-29,5.7201,5.7201,5.3946,5.3946,3110
2009-01-30,5.5882,5.5882,5.4121,5.5882,19265
2009-02-02,5.6321,5.6321,5.3241,5.3682,10655
2009-02-03,5.4738,5.4738,5.2802,5.3505,11499
2009-02-04,5.4473,5.5882,5.4121,5.5882,18443
2009-02-05,5.5882,5.7289,5.5442,5.7201,14594
2009-02-06,5.8081,5.8522,5.7201,5.8522,22275
2009-02-09,5.8434,6.3098,5.8434,6.2218,32523
2009-02-10,6.1602,6.5034,5.9842,6.3802,23141
2009-02-11,6.2218,6.6002,6.0282,6.6002,45313
2009-02-12,6.7234,6.7234,6.5914,6.6178,66171
2009-02-13,6.6354,6.9786,6.6354,6.9522,26308
2009-02-16,6.9786,7.1282,6.7058,6.8554,29257
2009-02-17,6.8466,6.8466,6.4242,6.6882,45167
2009-02-18,6.6882,6.961,6.6002,6.9522,25162
2009-02-19,6.9962,7.401,6.9522,7.401,26599
2009-02-20,7.3834,7.3834,7.0402,7.2602,19846
2009-02-23,7.3922,7.6387,7.3922,7.5682,132611
2009-02-24,7.269,7.5242,7.2602,7.3922,17300
2009-02-25,7.4714,7.7882,7.4362,7.5682,28081
2009-02-26,7.2602,7.6122,7.2602,7.6122,3785
2009-02-27,7.5682,7.5682,7.2602,7.4714,5481
2009-03-02,7.4362,7.5242,7.357,7.3834,4742
2009-03-03,7.3834,7.3834,7.0842,7.2866,11103
2009-03-04,7.0842,7.4362,7.0842,7.4098,36156
2009-03-05,7.4451,7.4714,7.1282,7.3306,9855
2009-03-06,7.3306,7.3306,7.093,7.2866,7810
2009-03-09,7.3042,7.3042,7.1722,7.1722,7313
2009-03-10,7.1458,7.3483,7.1458,7.2602,9214
2009-03-11,7.4362,7.4362,7.2602,7.3922,10489
2009-03-12,7.3922,7.7355,7.3922,7.5682,21554
2009-03-13,7.7355,7.7443,7.5682,7.5682,33332
2009-03-16,7.6562,7.7443,7.6562,7.7267,4280
2009-03-17,7.7443,7.7443,7.4802,7.6914,11746
2009-03-18,7.7267,7.7267,7.4802,7.577,8048
2009-03-19,7.4362,7.7002,7.401,7.6562,36530
2009-03-20,7.6914,7.7882,7.6562,7.7355,17885
2009-03-23,7.7443,8.3867,7.7443,8.3778,44882
2009-03-24,8.4658,8.6067,8.3251,8.4482,42721
2009-03-25,8.4482,9.0643,8.4482,9.0643,43847
2009-03-26,9.2403,9.8914,9.2403,9.7946,67513
2009-03-27,10.0323,10.0323,9.0643,9.9355,75505
2009-03-30,9.8475,10.1203,9.3282,10.0323,62976
2009-03-31,9.8563,10.4724,9.6803,10.4107,38826
2009-04-01,10.4195,10.5427,10.0411,10.2963,10451
2009-04-02,10.4724,10.4724,10.2083,10.3667,54417
2009-04-03,10.3843,10.3843,9.9443,9.9443,70558
2009-04-06,9.8563,10.0763,9.7946,9.8123,35137
2009-04-07,9.9267,9.9267,9.3547,9.7243,24012
2009-04-08,9.7243,10.0323,9.7243,10.0323,21402
2009-04-09,10.1203,10.1203,9.6891,10.0763,30896
2009-04-14,10.0323,10.2963,9.5483,9.6803,66049
2009-04-15,9.6803,9.6803,9.2491,9.4515,29736
2009-04-16,9.425,9.9443,9.3019,9.8123,45455
2009-04-17,9.8123,10.2083,9.3371,10.0323,33058
2009-04-20,10.0235,10.0235,9.5923,9.6803,13818
2009-04-21,9.6803,10.0235,9.6363,9.7331,20460
2009-04-22,9.7683,10.1203,9.7683,9.9002,11481
2009-04-23,10.0235,10.0587,9.9179,9.9971,5941
2009-04-24,10.2083,10.2083,9.9531,10.2083,25135
2009-04-27,10.3403,10.9915,9.9971,10.7363,63565
2009-04-28,11.0883,11.5107,11.0883,11.2643,97598
2009-04-29,11.4843,12.03,11.2643,11.81,53898
2009-04-30,11.8803,11.9419,11.1323,11.3523,57853
2009-05-04,12.1004,12.1004,11.3523,11.7659,49020
2009-05-05,11.9419,11.9419,11.5372,11.5987,14381
2009-05-06,11.5899,11.8364,11.4579,11.7044,28400
2009-05-07,11.7044,11.8803,11.3963,11.3963,28491
2009-05-08,11.3523,11.3963,10.7451,11.0179,23644
2009-05-11,11.1763,11.1763,10.9123,11.1763,68978
2009-05-12,11.3523,12.0563,11.3523,12.0387,56361
2009-05-13,12.3204,12.5668,12.3204,12.4964,70554
2009-05-14,12.4876,12.4876,11.9683,12.2236,34335
2009-05-15,12.4788,12.4788,12.2764,12.4435,23126
2009-05-18,12.4259,12.4876,12.2148,12.47,17279
2009-05-19,12.4084,12.7163,12.1707,12.1707,24650
2009-05-20,12.3996,12.5052,12.1443,12.47,46775
2009-05-21,12.4172,12.5844,12.3908,12.5052,19276
2009-05-22,12.5491,12.7339,12.4964,12.602,70477
2009-05-25,12.7604,13.0243,12.7604,13.0243,37854
2009-05-26,13.0508,13.0508,12.9012,13.0332,30790
2009-05-27,13.0508,13.79,13.0508,13.5436,62610
2009-05-28,13.6316,13.6316,13.2004,13.2356,45552
2009-05-29,13.3764,13.7724,13.218,13.7724,32961
2009-06-01,13.8956,14.2124,13.8956,14.0804,38670
2009-06-02,14.2476,14.7316,14.1685,14.4324,67345
2009-06-03,14.8196,15.1804,14.7844,15.1365,85938
2009-06-04,15.2508,15.5237,15.1804,15.3125,41820
2009-06-05,15.4005,15.5325,14.9868,14.9868,44577
2009-06-08,15.0485,15.0485,13.5524,14.4236,41965
2009-06-09,14.2212,14.8549,14.2212,14.6964,8896
2009-06-10,14.6964,14.8812,14.5204,14.7844,48462
2009-06-12,15.3037,15.3037,14.9692,15.0924,31242
2009-06-15,14.9164,15.1365,14.9164,15.11,21026
2009-06-16,15.3476,15.3476,14.4764,14.9517,28534
2009-06-17,14.9164,14.9517,14.6084,14.6084,18917
2009-06-18,14.5204,14.7756,14.2564,14.7756,19228
2009-06-19,14.6084,15.2245,14.4589,15.0485,25322
2009-06-22,15.1365,15.1365,14.5204,14.5204,26537
2009-06-23,14.2564,14.3004,13.7284,14.2036,33399
2009-06-24,14.0804,14.2124,14.01,14.1244,21046
2009-06-25,14.2124,14.2564,13.8164,13.9924,51597
2009-06-26,13.8604,14.4324,13.8604,14.3708,19958
2009-06-29,14.2564,14.2564,13.9924,14.0804,58164
2009-06-30,14.0804,14.3444,13.9924,14.0364,13805
2009-07-01,13.8604,14.0804,13.8252,13.9044,22157
