Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,58.8276,63.8151,58.8276,62.4723,9112
2008-01-03,61.8329,61.8329,59.5309,61.1935,6895
2008-01-04,60.4262,62.0247,60.2343,60.2343,12884
2008-01-07,59.5309,59.5309,57.5806,58.1881,15599
2008-01-08,56.3338,57.4847,56.3338,56.5895,8000
2008-01-09,55.5665,55.5665,51.7938,52.4333,96603
2008-01-10,53.0726,53.0726,47.7654,49.2362,59624
2008-01-11,50.8347,50.8347,49.2362,49.8755,29105
2008-01-14,49.5558,50.2592,49.2362,49.8755,217462
2008-01-15,51.0265,51.0905,48.6925,49.2362,41420
2008-01-16,48.6925,48.6925,47.9573,47.9892,242609
2008-01-17,49.1721,49.2362,46.0709,47.6375,12873
2008-01-18,47.9253,50.1952,46.7423,50.1952,6113
2008-01-21,49.8116,49.8116,48.277,48.6607,18085
2008-01-22,45.7192,48.277,44.888,48.277,14874
2008-01-23,49.8435,50.515,48.5966,49.6837,20297
2008-01-24,51.1544,51.2823,49.3321,51.1544,43757
2008-01-25,56.2059,56.2059,52.4333,55.8222,16031
2008-01-28,53.5842,54.927,53.5842,54.3516,19234
2008-01-29,55.5665,55.6304,54.5435,55.2787,5085
2008-01-30,55.2787,55.2787,54.6393,54.6393,6376
2008-01-31,55.5345,55.5345,54.3516,54.5435,5140
2008-02-01,54.4155,55.3746,54.4155,55.2148,25961
2008-02-04,55.5345,55.8542,55.2468,55.3107,10220
2008-02-05,55.3107,55.5984,55.0549,55.0549,16732
2008-02-06,51.7938,53.7121,51.7299,53.5203,31206
2008-02-07,53.7121,55.6304,53.0726,53.4563,2794
2008-02-08,53.7442,54.3516,53.4563,54.3516,51783
2008-02-11,54.3197,54.3197,53.8401,53.8401,6241
2008-02-12,53.8401,54.3197,53.8401,54.1597,2978
2008-02-13,53.7121,54.991,53.7121,54.991,2303
2008-02-14,56.2698,56.2698,55.2787,55.8862,21750
2008-02-15,55.6304,56.4617,54.991,55.9501,106308
2008-02-18,56.1419,59.7867,56.1419,57.5488,187471
2008-02-19,57.8044,58.1881,56.9093,58.1881,161446
2008-02-20,57.5488,57.8685,56.9093,57.5488,98998
2008-02-21,57.6447,59.0833,57.6447,58.9874,12206
2008-02-22,59.1472,59.7867,57.9964,58.6677,106885
2008-02-25,59.4669,59.4669,58.8276,59.4669,7323
2008-02-26,59.4669,59.4669,57.8685,57.8685,5899
2008-02-27,57.6766,57.9323,57.5488,57.5806,26289
2008-02-28,57.5488,57.5488,57.4847,57.4847,4324
2008-02-29,55.4386,57.1651,55.4386,56.4936,10744
2008-03-03,55.6304,55.6304,53.7121,53.968,12721
2008-03-04,53.3924,53.3924,51.1544,51.4741,38595
2008-03-05,51.6979,51.7938,51.4741,51.6979,20128
2008-03-06,51.634,52.4333,51.4741,51.7938,23541
2008-03-07,50.8987,51.7938,50.8987,51.4741,41187
2008-03-10,51.2503,52.2733,51.2503,51.7938,5738
2008-03-11,51.7938,52.4333,50.8987,52.4333,4674
2008-03-12,53.0726,55.4386,52.4971,55.4386,7578
2008-03-13,52.8169,54.3516,52.8169,53.2005,53758
2008-03-14,53.2005,53.2645,53.0726,53.2005,39983
2008-03-17,51.7938,51.8578,50.9946,51.4102,39909
2008-03-18,51.1864,51.2183,51.0265,51.0905,13537
2008-03-19,51.1544,52.8808,50.8347,52.8808,25583
2008-03-20,52.7209,52.7209,50.9306,51.7938,6853
2008-03-25,52.0177,52.1136,51.9216,51.9216,6558
2008-03-26,52.7529,52.7529,51.0265,52.2415,1098
2008-03-27,52.1136,53.3924,52.0496,53.3924,7137
2008-03-28,53.3924,53.3924,53.0726,53.0726,2185
2008-03-31,51.1864,53.5842,51.1864,53.5842,3286
2008-04-01,53.0407,53.5842,52.4333,53.4563,7927
2008-04-02,52.9448,53.7121,52.9448,53.3284,3421
2008-04-03,53.7121,53.7121,52.8169,53.2005,11708
2008-04-04,52.8169,53.6481,52.8169,53.0726,20685
2008-04-07,52.4333,53.0726,52.0816,52.7529,6241
2008-04-08,52.4333,52.4333,51.9216,52.0496,1962
2008-04-09,51.5061,51.9216,51.4102,51.9216,2231
2008-04-10,51.1544,51.7299,51.1544,51.1864,14660
2008-04-11,51.7938,51.9216,49.7476,49.8435,5805
2008-04-14,49.5558,49.5558,48.0212,48.277,58497
2008-04-15,48.277,48.5966,48.0212,48.0532,25418
