Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,0.3969,0.4068,0.394,0.4015,928450
2008-01-03,0.4055,0.4055,0.3867,0.3933,1156209
2008-01-04,0.3903,0.3999,0.3867,0.3867,516744
2008-01-07,0.3818,0.3818,0.3768,0.3818,470287
2008-01-08,0.3775,0.3815,0.3726,0.3778,735329
2008-01-09,0.3719,0.3719,0.3571,0.3591,432306
2008-01-10,0.367,0.367,0.3307,0.3307,1121602
2008-01-11,0.3357,0.3374,0.3271,0.3285,956069
2008-01-14,0.3285,0.3285,0.3159,0.3209,672008
2008-01-15,0.3225,0.3225,0.2998,0.3061,451205
2008-01-16,0.2801,0.3012,0.2801,0.284,1880145
2008-01-17,0.2896,0.2936,0.2781,0.2857,960384
2008-01-18,0.2765,0.2968,0.2765,0.2913,1674017
2008-01-21,0.291,0.309,0.283,0.291,800017
2008-01-22,0.2798,0.2913,0.2669,0.2913,1220017
2008-01-23,0.2965,0.3041,0.2896,0.3012,1539811
2008-01-24,0.3159,0.3222,0.3094,0.3127,4320117
2008-01-25,0.3225,0.3225,0.3061,0.3127,1120812
2008-01-28,0.3094,0.3114,0.2998,0.2998,2470782
2008-01-29,0.3057,0.3225,0.3057,0.3137,3269098
2008-01-30,0.3137,0.3137,0.3094,0.3094,726304
2008-01-31,0.3137,0.3137,0.3028,0.3061,441422
2008-02-01,0.3097,0.3173,0.3094,0.3097,1269360
2008-02-04,0.3143,0.3212,0.3094,0.3124,1047465
2008-02-05,0.3097,0.3097,0.2995,0.3051,496568
2008-02-06,0.2962,0.3051,0.2962,0.3048,319794
2008-02-07,0.3035,0.3117,0.3005,0.3067,291262
2008-02-08,0.3061,0.3077,0.3015,0.3074,396635
2008-02-11,0.3061,0.3156,0.3028,0.3064,1142021
2008-02-12,0.3077,0.3285,0.3077,0.3285,816241
2008-02-13,0.3199,0.3249,0.3176,0.3225,410764
2008-02-14,0.3249,0.3291,0.3163,0.3212,466853
2008-02-15,0.3159,0.3186,0.3061,0.3124,783608
2008-02-18,0.3156,0.3156,0.3044,0.3077,672463
2008-02-19,0.3044,0.31,0.3028,0.3044,223385
2008-02-20,0.2992,0.3087,0.2988,0.2992,1027289
2008-02-21,0.3031,0.307,0.2988,0.3028,414257
2008-02-22,0.3028,0.3143,0.3028,0.3054,2717016
2008-02-25,0.309,0.3107,0.3002,0.3012,159547
2008-02-26,0.3025,0.3028,0.2942,0.3021,652896
2008-02-27,0.3025,0.3025,0.2995,0.3012,292691
