Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,119.1706,119.1706,117.0052,118.0879,1867
2008-01-03,118.0879,118.0879,110.51,116.1199,1482
2008-01-04,114.1519,114.1519,111.7901,112.478,1253
2008-01-07,111.7901,115.1359,104.4087,115.1359,3123
2008-01-08,109.231,115.1359,109.231,112.6754,251
2008-01-09,109.231,110.215,102.343,107.263,56881
2008-01-10,107.263,113.1669,99.6857,102.343,26719
2008-01-11,105.295,105.295,96.9794,103.327,4876
2008-01-14,101.359,101.359,93.486,99.9812,17461
2008-01-15,95.4542,98.4064,95.4542,97.0287,3059
2008-01-16,92.502,93.486,89.1562,90.5338,37631
2008-01-17,91.6655,97.2255,85.6135,92.0099,35077
2008-01-18,90.0418,96.0446,89.9434,96.0446,8277
2008-01-21,97.4223,98.4064,87.5817,87.5817,3253
2008-01-22,85.6135,91.0258,85.5151,88.5658,6972
2008-01-23,88.4674,97.2747,87.1881,91.5179,3627
2008-01-24,93.486,94.9621,91.5179,94.9621,2556
2008-01-25,95.8478,96.4382,94.4701,94.4701,8077
2008-01-28,96.143,96.143,93.486,94.4701,1347
2008-01-29,89.845,97.4223,89.845,97.3239,1332
2008-01-30,98.4064,100.374,93.9781,100.374,919
2008-01-31,107.1643,107.1643,98.4064,98.4064,579
2008-02-01,100.374,104.9999,100.374,104.311,1752
2008-02-04,106.279,110.0186,106.279,107.263,5752
2008-02-05,103.327,110.215,103.327,109.231,2714
2008-02-06,101.5554,105.295,101.5554,105.295,62417
2008-02-07,105.1963,108.247,104.311,106.6728,41189
2008-02-08,107.7555,107.7555,104.8025,107.6568,394
2008-02-11,104.311,107.3617,104.311,107.1643,376
2008-02-12,107.263,110.215,107.263,108.247,668
2008-02-13,107.4594,110.215,107.4594,110.215,286
2008-02-14,110.8051,110.8051,108.247,109.231,20864
2008-02-15,108.247,110.215,106.279,110.215,193
2008-02-19,107.263,110.215,107.263,110.215,433
2008-02-21,111.1002,112.1829,110.215,110.215,651
2008-02-22,107.7555,110.215,107.263,110.215,936
2008-02-25,112.6754,114.1519,110.215,111.1989,1067
2008-02-26,114.1519,114.2496,112.1829,114.0532,912
2008-02-27,114.1519,117.0052,114.1519,116.1199,1458
2008-02-28,116.9065,118.0879,116.1199,117.1039,750
2008-02-29,117.1039,120.0559,117.1039,120.0559,16618
2008-03-03,118.0879,118.0879,114.1519,115.6274,33079
2008-03-04,115.431,116.1199,114.1519,116.0212,11903
2008-03-05,116.0212,116.9065,113.1669,116.9065,6486
2008-03-06,118.0879,121.7287,117.1039,121.7287,9495
2008-03-07,126.9438,126.9438,124.3856,124.9758,485
2008-03-10,124.9758,124.9758,118.0879,122.7127,1540
2008-03-11,122.7127,122.7127,119.1706,119.7608,746
2008-03-12,127.9288,127.9288,120.0559,122.5163,752
2008-03-13,122.4176,122.4176,119.7608,121.8274,289
2008-03-14,121.63,121.9251,118.1866,118.1866,625
