Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,40.6453,41.0963,40.5533,41.0135,41568
2008-01-03,42.9924,43.25,41.4001,41.4552,2936
2008-01-04,41.8142,41.8142,41.6394,41.6394,1383
2008-01-07,41.6485,41.6485,40.5533,40.5533,40188
2008-01-08,38.2983,40.5533,38.2983,39.6513,33496
2008-01-09,38.1693,38.7493,37.0373,37.8472,33519
2008-01-10,37.8472,38.2983,36.3194,37.6632,342119
2008-01-11,37.7553,37.7553,36.1906,36.9545,20487
2008-01-14,35.1504,37.4054,35.1504,36.5035,160275
2008-01-15,36.4943,37.8472,36.0525,36.0525,56528
2008-01-16,35.5094,36.9545,34.3865,36.9545,50615
2008-01-17,36.9545,39.2002,36.9545,39.2002,111313
2008-01-18,39.2002,40.5348,38.151,40.5348,23079
2008-01-21,40.5348,40.5348,39.2002,39.3843,103293
2008-01-22,35.9144,37.8472,35.9144,37.7644,76107
2008-01-23,38.7493,39.1542,38.5284,38.7493,63314
2008-01-24,38.8413,41.0963,37.8472,40.6453,790
2008-01-25,42.3573,42.3573,40.6637,41.4552,1910
2008-01-28,40.5533,40.5533,39.8353,40.0931,765
2008-01-29,38.3352,42.3573,38.3258,42.3573,1870
2008-01-30,43.2594,44.1612,42.8083,42.8083,5713
2008-01-31,43.2594,43.2594,41.1055,42.8083,903
2008-02-01,43.2594,43.2594,40.5993,42.3205,19599
2008-02-04,40.5809,41.9063,40.1023,41.9063,7204
2008-02-05,39.7618,40.452,39.0254,39.6513,5216
2008-02-06,38.5284,40.5533,38.5284,40.5533,13700
2008-02-07,38.9794,40.1023,38.5284,38.5284,1591
2008-02-08,38.5744,40.0471,38.5744,38.7493,18143
2008-02-11,39.6421,40.5533,38.7677,40.5533,4567
2008-02-12,40.1023,41.4552,40.1023,41.4552,58894
2008-02-13,40.5533,43.2594,40.5533,42.6702,3704
2008-02-14,42.8083,42.8083,41.2804,41.3632,8790
2008-02-15,41.9431,41.9431,40.1023,41.3173,2611
2008-02-18,41.3173,42.0903,40.5533,41.7314,144957
2008-02-19,40.5533,41.4552,40.5533,40.5533,28503
2008-02-20,40.1023,40.5533,39.3383,39.9274,90724
2008-02-21,40.1023,40.5533,39.9274,39.9274,5039
