Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,34.4,34.4,33.21,34,3208
2008-01-03,33.1,33.9,33.1,33.9,228
2008-01-04,34,34,33.51,33.51,885
2008-01-07,33.79,33.79,31.83,31.83,3493
2008-01-08,31.13,31.95,31,31.45,5177
2008-01-09,31,31.2,29.16,30,161784
2008-01-10,29.9,29.91,27.51,29,140887
2008-01-11,29,29,28,28.1,186216
2008-01-14,27.6,27.6,26.1,26.98,166727
2008-01-15,26.25,27.5,25,25,23010
2008-01-16,23.7,25.1,23.7,25.1,22005
2008-01-17,26,26.7,26,26.7,51925
2008-01-18,27,27,25,25.93,6704
2008-01-21,24.91,25.2,23.61,24.87,30223
2008-01-22,23.5,24.5,23.5,24.5,233317
2008-01-23,25,25.8,24.8,25.3,2757
2008-01-24,25.98,25.98,25.5,25.9,6828
2008-01-25,26.5,27,26.3,26.6,5380
2008-01-28,26.6,27.66,26.59,27.66,53685
2008-01-29,28.3,31,28.3,31,683
2008-01-30,31,32.28,29.52,30.79,4080
2008-01-31,30.1,30.1,28.5,28.65,3457
2008-02-01,28.8,29.95,28.65,29.85,3083
2008-02-04,29.41,30.3,29.41,30.3,2339
2008-02-05,30,30.2,29.5,29.51,18857
2008-02-06,29.04,30,29.04,30,17832
2008-02-07,30.25,30.25,29.75,29.8,90948
2008-02-08,29.6,29.8,29.6,29.8,51600
2008-02-11,29.41,29.98,28.91,28.91,783
2008-02-12,29,29,29,29,90
2008-02-13,30.17,30.17,29.3,29.79,215
2008-02-14,29.8,29.8,29.16,29.16,882
2008-02-15,30.05,30.05,30,30,180
2008-02-18,29.24,29.24,29.24,29.24,43
2008-02-19,29.32,29.6,28.75,28.75,1404
2008-02-20,28.8,28.8,28,28,32423
2008-02-21,28,28.5,28,28.25,255
2008-02-22,28,28.62,28,28.62,213
2008-02-25,28.62,29.54,28.62,29.54,431
2008-02-26,29.54,29.73,28.9,28.9,207
2008-02-27,29.76,29.76,28.9,29.5,4720
2008-02-28,29.5,29.5,28.9,29.49,150
2008-02-29,29.49,29.49,28.9,29.49,100
2008-03-03,29.4,29.4,28.06,28.11,2022
2008-03-04,28.25,28.25,26.5,26.5,3822
2008-03-05,26.45,26.45,26.45,26.45,47512
2008-03-06,26.75,26.77,26.5,26.77,50600
2008-03-07,26.2,26.2,26.2,26.2,41900
2008-03-10,26.56,26.56,25.8,26,139726
2008-03-11,26,26.3,26,26.2,91425
2008-03-12,26.4,26.4,26.11,26.35,34104
2008-03-13,26.1,26.3,26.1,26.3,73370
2008-03-14,26.5,26.5,26.1,26.1,198
2008-03-17,26,26.6,26,26.2,155588
2008-03-18,26,26.15,26,26.1,12655
2008-03-19,26.1,27.29,26.1,26.2,25189
2008-03-20,26.46,27.39,26.46,27.3,2132
2008-03-25,27.7,28.45,27.7,28.45,1708
2008-03-26,27.9,27.9,27.9,27.9,80
2008-03-27,27.95,28.5,27.95,28.5,1477
2008-03-28,28.73,28.73,28.1,28.1,427
2008-03-31,28.1,28.9,28.1,28.9,2062
2008-04-01,28.93,29.01,28.93,29,2475
2008-04-02,29.01,29.7,29.01,29.7,154
2008-04-03,29.21,30.3,29.21,29.5,60207
2008-04-04,29.5,29.85,29,29,357
2008-04-07,29,29.5,28.9,29.5,103
2008-04-08,29.5,29.5,29.5,29.5,17
2008-04-09,29.5,29.6,29.35,29.6,280
2008-04-10,29,29,29,29,15
2008-04-11,29,29,28.8,28.8,557
2008-04-14,28.8,28.8,28.1,28.2,537
2008-04-15,28,28,27.72,28,1040
2008-04-16,27.76,28,26.95,28,3841
2008-04-17,28,28,27.5,27.98,200
2008-04-18,27.7,27.78,27.7,27.7,261
2008-04-21,27.42,27.7,27,27,706
2008-04-22,26.5,27,26.23,27,2040
2008-04-23,26.6,27,26.4,26.4,40851
2008-04-24,26.4,27,26.2,26.2,5656
2008-04-25,26.13,26.13,25,25.85,149033
2008-04-28,25.8,26.3,25.8,26.3,26896
2008-04-29,26.3,27,26.3,27,13392
2008-04-30,26.76,27,26.5,26.5,3592
2008-05-05,26.5,27.23,26.5,27.23,110
2008-05-06,28.2,28.2,28.2,28.2,5753
