Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,100.1486,100.8923,99.9004,100.4787,31694
2008-01-03,99.2385,99.2385,97.171,99.2385,38524
2008-01-04,97.6674,97.6674,95.1035,96.3445,29313
2008-01-07,93.4497,93.8633,90.2247,90.9685,15381
2008-01-08,89.3147,91.5476,88.4873,90.9685,32956
2008-01-09,88.7355,88.901,85.1798,87.6608,24682
2008-01-10,84.7663,86.8335,82.6989,82.6989,69843
2008-01-11,79.4736,83.1123,79.4736,82.6989,166896
2008-01-14,82.6989,82.6989,76.4965,78.5639,43814
2008-01-15,76.1656,79.3909,72.775,73.602,25378
2008-01-16,68.64,73.602,66.9861,73.602,45070
2008-01-17,74.429,76.4137,72.9404,73.602,8386
2008-01-18,74.429,75.256,69.6324,70.294,38583
2008-01-21,69.3843,69.3843,63.5127,66.1591,41826
2008-01-22,60.4528,65.4975,60.4528,64.5051,131058
2008-01-23,66.1591,66.1591,62.4376,63.2646,56474
2008-01-24,65.8696,73.602,65.3321,70.294,178494
2008-01-25,74.429,78.5639,70.294,78.5639,42180
2008-01-28,74.429,80.0525,73.602,79.8044,56182
2008-01-29,80.8795,82.5748,80.2593,80.2593,95050
2008-01-30,80.2179,81.4584,80.2179,81.0449,278424
2008-01-31,81.0035,82.6162,79.3909,81.0449,172529
2008-02-01,82.0373,85.1798,81.0449,85.1798,173018
2008-02-04,86.007,87.6608,83.6085,83.6085,170867
2008-02-05,84.022,84.022,81.1275,82.6989,17802
2008-02-06,79.3495,83.5258,79.3495,83.5258,177771
2008-02-07,83.6085,83.6085,79.4736,80.5487,128669
2008-02-08,82.4508,82.4508,79.8458,81.0449,64991
2008-02-11,81.0449,81.8719,80.2179,81.0449,17435
2008-02-12,81.8719,81.8719,79.8044,81.4584,88266
2008-02-13,81.541,81.541,79.9698,81.3757,63351
2008-02-14,81.3757,81.3757,79.9698,80.6314,89144
2008-02-15,80.2179,80.2179,79.0188,80.2179,80059
2008-02-18,79.9698,81.1689,79.5563,81.0449,77540
2008-02-19,81.0449,81.0449,78.5639,78.5639,33701
2008-02-20,77.5715,79.0601,77.3235,77.7369,24408
2008-02-21,78.5639,78.5639,77.3235,77.6542,14489
2008-02-22,78.4812,78.4812,75.256,76.083,44742
2008-02-25,76.083,76.083,73.602,74.429,18177
2008-02-26,74.3463,75.2973,72.1548,73.602,13029
2008-02-27,73.602,74.8838,72.775,73.602,3688
2008-02-28,74.4703,76.1656,71.6172,72.775,4578
2008-02-29,71.121,71.948,69.6324,70.294,22922
2008-03-03,69.4257,69.4257,66.9861,68.64,8549
2008-03-04,68.64,69.0122,66.9861,68.64,314836
2008-03-05,69.1363,69.1363,68.2265,69.0122,22873
2008-03-06,68.64,68.64,67.3995,67.813,18466
2008-03-07,66.5726,66.9861,63.0165,65.7456,18377
2008-03-10,65.3321,66.9861,64.0916,66.9861,5833
2008-03-11,66.9861,68.64,66.2418,67.813,9294
2008-03-12,70.17,71.6172,65.3321,69.3843,9535
2008-03-13,68.9709,68.9709,66.9861,67.813,44456
2008-03-14,68.64,68.64,66.9861,67.4409,9709
2008-03-17,64.2156,67.813,64.2156,67.813,56164
2008-03-18,68.8468,68.8468,65.7456,68.64,7965
2008-03-19,69.7152,69.7152,67.3995,69.467,53299
2008-03-20,67.813,69.5084,67.813,69.5084,12083
2008-03-25,69.9219,71.2037,69.5084,69.8805,7192
2008-03-26,69.1363,69.8805,68.64,69.8805,3287
2008-03-27,69.7978,71.0383,69.0535,69.467,5460
2008-03-28,69.467,69.8805,69.1363,69.467,38472
2008-03-31,69.0535,69.0535,67.0688,68.64,20802
2008-04-01,67.3995,67.3995,65.8696,65.8696,33256
2008-04-02,67.7304,67.7304,65.9936,66.1591,26139
2008-04-03,66.1591,66.1591,65.911,66.1591,17881
2008-04-04,65.911,66.0764,65.6629,66.0764,2711
2008-04-07,66.0764,66.9861,64.7532,65.3321,100733
2008-04-08,65.4148,65.4148,63.3473,63.6781,23508
2008-04-09,63.5955,66.9034,63.2646,66.2418,142733
2008-04-10,66.5726,69.0535,65.7456,68.64,13757
2008-04-11,69.3843,71.0383,69.3843,69.8805,70872
2008-04-14,69.7152,69.7152,68.1439,68.8054,4040
2008-04-15,68.8054,68.8054,66.5313,68.64,4139
2008-04-16,69.8805,69.8805,66.6139,66.9861,5329
2008-04-17,67.813,67.813,65.9936,66.3245,3018
2008-04-18,66.9861,68.5574,66.3245,68.5574,51532
2008-04-21,68.8882,68.8882,66.6553,66.6553,2545
2008-04-22,66.5726,66.6553,64.5051,64.6291,6853
2008-04-23,65.3321,65.8696,64.0916,64.5051,36849
2008-04-24,64.5051,65.4148,64.5051,64.7532,42346
2008-04-25,65.4561,67.1928,64.9186,65.6629,116402
2008-04-28,66.1591,66.1591,65.3735,66.1591,1697
2008-04-29,66.0764,66.0764,65.3321,65.3321,1061
2008-04-30,65.6629,65.6629,64.5051,64.9186,30693
2008-05-05,66.1591,66.8207,65.911,66.8207,26170
2008-05-06,68.1852,68.2265,66.5726,66.9861,12522
2008-05-07,67.0688,68.64,67.0688,68.5987,64889
2008-05-08,68.2265,68.4747,67.813,68.2265,886
2008-05-09,68.3093,69.2189,68.0612,68.64,9980
2008-05-12,68.8054,70.8316,68.64,70.8316,77493
2008-05-13,71.121,73.602,70.9143,73.3126,10380
2008-05-14,73.4366,73.602,70.294,71.121,14647
2008-05-15,70.294,70.3354,68.64,69.467,7658
2008-05-16,69.467,69.467,68.2265,68.2265,21894
2008-05-19,68.2679,68.9709,66.9861,68.1439,12268
2008-05-20,67.0688,67.0688,65.8283,66.5726,9566
2008-05-21,66.1591,67.3583,66.0764,66.1591,4266
2008-05-23,65.9524,67.1515,65.9524,66.1177,3520
2008-05-26,66.1177,66.9861,66.0764,66.2831,548
2008-05-27,66.9861,66.9861,66.0764,66.1591,4012
2008-05-28,66.1591,66.1591,65.9524,65.9936,4580
2008-05-29,66.5726,66.5726,65.7456,65.7456,8022
2008-05-30,66.1591,66.9861,65.3321,66.9861,2165
2008-06-02,66.9861,66.9861,65.4975,66.3245,438
2008-06-03,66.3245,66.9861,65.6629,66.1591,2230
2008-06-04,65.6629,66.0764,64.0089,64.4637,1335
2008-06-05,62.8511,64.1743,62.6857,63.2232,18807
2008-06-06,64.4224,64.4224,63.5955,63.9262,8572
2008-06-09,63.3473,63.3473,60.4116,61.4866,2565
2008-06-10,60.3702,60.4116,57.8892,59.3364,8603
2008-06-11,57.8065,59.2951,57.0622,57.0622,20127
2008-06-12,56.6487,58.5508,55.4083,57.8892,38466
2008-06-13,58.5922,58.5922,55.6563,57.8892,20826
2008-06-16,57.0622,57.4757,55.6977,57.4343,141511
2008-06-17,56.4006,56.4006,55.2842,55.4083,163603
2008-06-18,55.8218,55.8218,55.0774,55.8218,4236
2008-06-19,54.9948,54.9948,53.7543,54.1678,19597
2008-06-20,54.4159,57.0622,53.3408,57.0622,12718
2008-06-23,57.0622,59.0057,53.3408,56.2353,50054
2008-06-24,54.4572,56.6487,54.4572,54.9948,7505
2008-06-25,54.6639,55.8218,54.4985,55.8218,81887
2008-06-26,56.2353,57.0622,55.8218,56.2353,49075
2008-06-27,55.7804,57.8892,55.2428,57.8892,19005
2008-06-30,56.7284,61.1978,55.4064,55.4064,26939
2008-07-01,55.739,56.2353,55.739,56.2353,28316
2008-07-02,56.2337,58.1358,55.8243,56.4384,25893
2008-07-03,57.2317,57.2317,55.6537,56.4811,11246
2008-07-04,56.8142,56.8142,55.4083,55.7804,18825
2008-07-07,55.4064,55.577,52.967,55.2443,6370
2008-07-08,54.997,56.1484,53.1376,55.739,16566
2008-07-09,58.7669,58.7669,55.142,55.7817,65690
2008-07-10,55.867,56.2934,53.9052,56.2934,11186
2008-07-11,56.7199,56.7199,53.7346,54.5876,17638
2008-07-14,54.5876,55.4405,52.0714,53.3935,21151
2008-07-15,53.7346,53.7346,49.8538,52.4552,65403
2008-07-16,51.9435,52.0288,50.3229,52.0288,84074
2008-07-17,51.1759,52.0288,50.8773,51.6023,81444
2008-07-18,52.0288,52.0288,50.7494,51.9435,36853
2008-07-21,52.0288,52.0288,50.7494,52.0288,4094
2008-07-22,52.4552,52.4552,51.1759,52.0288,4529
2008-07-23,52.8817,54.1611,52.0288,53.1376,207181
2008-07-24,53.7346,54.289,51.6023,52.7964,30952
2008-07-25,52.7111,52.7964,51.8582,52.7964,13756
2008-07-28,51.9861,52.8817,51.9861,52.8391,6465
2008-07-29,51.9861,52.0288,51.1759,51.8582,25370
2008-07-30,52.0288,53.3082,51.7729,52.6258,49139
2008-07-31,52.6258,52.8817,51.645,52.8817,50915
2008-08-01,53.5214,53.6067,52.1994,52.6258,23887
2008-08-04,53.2229,53.2229,51.1759,52.4552,13043
2008-08-05,52.7964,52.7964,51.645,52.4552,27039
2008-08-06,52.7964,52.7964,50.3229,51.1759,25101
2008-08-07,50.5788,51.0053,49.7259,50.2376,9626
2008-08-08,51.0906,51.0906,49.47,51.0906,1835
2008-08-11,51.1332,51.1759,50.6641,51.1759,5229
2008-08-12,51.1759,52.0288,50.5788,51.1759,26332
2008-08-13,51.1759,51.1759,50.7494,51.1759,959
2008-08-14,51.1759,51.6023,50.7494,51.1759,55178
2008-08-18,51.9435,51.9435,50.3229,50.7494,5471
2008-08-19,49.8965,49.8965,47.8494,49.2994,37781
2008-08-20,49.47,50.2803,48.7876,49.5553,7468
2008-08-21,49.8965,49.8965,49.47,49.8112,5870
2008-08-22,49.9817,50.4082,49.5553,49.5553,15648
2008-08-25,50.2803,50.2803,49.5126,49.8965,4961
2008-08-26,49.342,49.342,48.1053,48.6171,14723
2008-08-27,48.6171,48.6171,47.3377,47.6788,8872
2008-08-28,47.3377,47.5082,46.9112,47.423,42456
2008-08-29,47.7641,48.6171,47.5082,48.4465,73842
2008-09-01,48.6171,49.47,48.6171,49.0009,21101
2008-09-02,49.47,49.8965,49.47,49.8965,61616
2008-09-03,50.5788,50.5788,47.8494,49.3847,21118
2008-09-04,49.47,50.3229,48.6171,49.342,26880
2008-09-05,48.1906,49.8965,48.1906,49.1715,9508
2008-09-08,49.5553,49.5979,48.7024,49.2141,8672
2008-09-09,48.8303,49.1288,48.1906,48.9582,8388
2008-09-10,48.8729,48.8729,47.7641,47.7641,17167
2008-09-11,48.1906,48.7024,47.7641,47.7641,13798
2008-09-12,48.6171,48.6171,46.3568,47.7641,24476
2008-09-15,46.57,47.2097,43.4995,47.2097,9216
2008-09-16,46.0583,46.7406,45.2906,46.698,11412
2008-09-17,46.1862,46.4847,45.6744,46.0583,4656
2008-09-18,44.6083,49.7259,42.9024,49.7259,107384
2008-09-19,49.5553,49.5979,47.7641,48.0627,66793
2008-09-22,48.5318,48.6171,47.3803,48.6171,1361
2008-09-23,47.7641,48.3185,46.5274,46.9112,10689
2008-09-24,46.9538,46.9538,46.9112,46.9112,5868
2008-09-25,46.9112,48.3612,46.698,48.3612,15938
2008-09-26,47.7641,47.7641,46.3141,47.7641,21504
2008-09-29,46.5274,46.6127,45.2053,45.7597,15086
2008-09-30,43.5421,43.9259,43.4995,43.4995,20666
2008-10-01,44.0965,44.523,43.5421,43.8406,13291
2008-10-02,43.7554,43.8406,42.6892,43.7554,3975
2008-10-03,43.073,43.073,42.1433,42.6465,6192
2008-10-06,41.026,41.026,37.6995,39.6613,58083
2008-10-07,38.8084,38.8084,36.7187,38.8084,24134
2008-10-08,37.529,40.0878,35.9084,40.0878,28791
2008-10-09,40.0878,40.0878,38.4928,40.0878,3656
2008-10-10,37.7166,38.3819,35.8231,37.529,18062
2008-10-13,37.529,38.3819,36.7613,38.3392,3996
2008-10-14,42.2201,42.2201,38.6378,40.0878,22842
2008-10-15,39.2348,39.2348,38.0237,38.3819,9558
2008-10-16,38.2966,38.3051,36.096,36.5054,22045
2008-10-17,37.0769,37.0769,35.4905,36.2496,8857
2008-10-20,36.5054,36.676,36.5054,36.676,2162
2008-10-21,37.0172,37.0172,36.0875,36.676,24004
2008-10-22,36.5907,36.5907,34.629,35.0555,25605
2008-10-23,34.1258,36.2496,31.7802,34.1172,12055
2008-10-24,34.1002,34.1002,30.9614,32.4114,23572
2008-10-27,31.2173,32.4114,31.149,32.4114,23097
2008-10-28,33.5458,33.5458,31.8229,32.4114,22803
2008-10-29,33.5458,33.5458,32.8378,33.2643,41327
2008-10-30,34.1172,34.5863,33.2643,34.1172,15807
2008-10-31,34.1172,34.1172,33.2643,34.1172,19483
2008-11-03,34.1172,35.3113,33.7761,33.7761,12983
2008-11-04,34.2878,34.7569,34.1172,34.4584,44576
2008-11-05,34.9702,34.9702,33.4008,34.9702,12377
2008-11-06,33.6908,34.4584,33.5202,34.4584,12627
2008-11-07,34.4243,34.4243,30.4496,33.2643,267232
2008-11-10,31.9849,32.4114,27.7373,27.9761,92843
2008-11-12,27.8482,27.8482,23.8821,24.735,42783
2008-11-13,23.8821,23.8821,20.5556,22.1762,74964
2008-11-14,22.3041,23.0035,20.5812,21.6644,38470
2008-11-17,21.9033,21.9033,20.0439,20.7945,37828
2008-11-18,19.7198,21.9033,19.7198,20.8371,79802
2008-11-19,21.3233,24.1635,21.3233,23.8735,145467
2008-11-20,22.8585,23.0206,21.7497,21.7497,15835
2008-11-21,22.2188,22.9524,22.2188,22.9353,3023
2008-11-24,23.285,26.0144,23.0291,24.735,43043
2008-11-25,24.9056,25.1615,24.3085,24.3085,17296
2008-11-26,24.6753,24.6753,23.7968,24.2232,10983
2008-11-27,24.7265,24.7265,23.7115,23.9844,8249
2008-11-28,23.8821,23.8821,22.4321,22.6027,7560
2008-12-01,22.6027,23.1912,22.0909,22.1762,3684
2008-12-02,21.3233,22.0653,21.3233,21.9203,5940
2008-12-03,21.6644,21.9203,20.8968,21.0674,21309
2008-12-04,21.1442,21.1442,19.7453,20.4021,21957
2008-12-05,20.4703,21.0845,20.1462,20.7689,7637
2008-12-08,21.2806,21.7497,20.2998,21.238,19863
2008-12-09,22.1762,22.1762,20.7262,21.3147,11776
2008-12-10,21.3062,21.3062,20.6836,20.8883,7009
2008-12-11,20.8968,20.8968,20.1292,20.8456,11110
2008-12-12,20.6324,20.6324,20.2315,20.4192,14326
2008-12-15,20.7945,21.3147,20.5556,20.7689,7636
2008-12-16,21.0589,21.0589,20.0439,20.385,6124
2008-12-17,20.8542,20.8542,18.5598,19.0204,18292
2008-12-18,19.1909,19.1909,17.5277,18.5939,23796
2008-12-19,18.5939,19.5321,18.338,19.1483,30189
2008-12-22,19.1909,19.8733,19.1142,19.4895,9320
2008-12-23,19.4809,19.7368,19.1057,19.7027,7749
2008-12-29,19.9586,20.6409,19.8733,20.5556,8787
2008-12-30,20.1292,20.803,20.1292,20.675,3449
2008-12-31,20.8115,20.8115,20.0609,20.0609,13421
2009-01-05,20.4703,20.5556,20.1292,20.4703,22174
2009-01-06,20.8115,21.3233,20.4703,21.3233,15168
2009-01-07,21.4939,21.4939,20.8115,21.238,44923
2009-01-08,20.2998,21.3062,20.2998,20.7433,38685
2009-01-09,21.2124,21.4939,21.1186,21.4171,77269
2009-01-12,21.3233,21.4512,21.238,21.4512,28694
2009-01-13,21.4939,21.6644,21.0674,21.4086,28383
2009-01-14,21.4086,21.4086,20.9565,21.2806,2378
2009-01-15,21.238,21.4086,20.3595,21.0674,6058
2009-01-16,21.3233,21.3233,20.4703,20.803,17877
2009-01-19,20.385,20.5556,19.788,20.4703,3406
2009-01-20,20.4362,20.4533,19.8306,19.8733,2970
2009-01-21,19.2506,19.788,18.7645,19.788,16344
2009-01-22,19.788,20.0353,18.9351,19.3786,5655
2009-01-23,19.788,19.788,18.7645,19.5236,2548
2009-01-26,18.9862,19.6174,18.9351,19.6174,2019
2009-01-27,20.0439,20.0439,19.6089,19.8306,1459
2009-01-28,19.9415,19.9586,19.8306,19.9586,1369
2009-01-29,20.0012,20.0439,19.9159,20.0439,3644
2009-01-30,19.9159,20.4703,19.9159,20.4703,3996
2009-02-02,19.9586,19.9671,19.6174,19.6174,12551
2009-02-03,19.9586,19.9586,19.2336,19.3189,5345
2009-02-04,19.1909,19.7624,19.1909,19.6942,2403
2009-02-05,19.6174,19.7027,19.498,19.498,2015
2009-02-06,19.7027,19.7027,18.9521,19.1909,6406
2009-02-09,19.6771,20.1974,19.5406,20.1974,3686
2009-02-10,20.2912,20.2912,19.788,19.9586,3931
2009-02-11,20.0439,20.4618,19.8392,19.9586,10419
2009-02-12,19.9586,20.0439,19.4468,19.4468,4157
2009-02-13,19.8477,19.8477,19.208,19.3615,2312
2009-02-16,19.3615,19.3615,18.5939,18.7645,3882
2009-02-17,18.9265,18.9265,16.6322,16.6322,12912
2009-02-18,16.9477,16.9477,15.3528,15.3528,16237
2009-02-19,15.6939,16.3763,15.3528,15.3528,14132
2009-02-20,15.3528,15.3528,14.5851,15.2248,8297
2009-02-23,15.7878,16.0948,15.1395,15.2248,5955
2009-02-24,15.1651,15.1651,14.9007,14.9178,4159
2009-02-25,15.3016,15.3016,14.8325,14.8325,7467
2009-02-26,14.7728,14.9092,14.3292,14.7045,12893
2009-02-27,14.6704,14.7045,14.0137,14.2013,14984
2009-03-02,14.1587,14.3719,14.1587,14.3292,28067
2009-03-03,14.3292,14.3292,14.0307,14.0989,12553
2009-03-04,14.3292,14.3292,14.0307,14.116,18955
2009-03-05,14.3719,14.406,14.2013,14.2013,27320
2009-03-06,14.3122,14.3122,14.0734,14.0734,21920
