Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-08-20,3.2,4.49,2.85,3.19,48297
2008-08-21,3.05,3.19,2.75,2.99,9806
2008-08-22,2.8,2.8,2.75,2.75,172
2008-08-25,2.75,2.75,2.75,2.75,1800
2008-08-26,2.51,2.81,2.51,2.81,1723
2008-08-27,2.54,2.6,2.54,2.6,1585
2008-08-28,2.54,2.75,2.54,2.75,329
2008-08-29,2.58,2.78,2.52,2.78,1120
2008-09-01,2.53,2.53,2.26,2.35,2491
2008-09-02,2.71,2.71,2.69,2.69,11
2008-09-04,2.6,2.6,2.45,2.46,2062
2008-09-05,2.3,2.57,2.3,2.37,2860
2008-09-08,2.31,2.31,2.3,2.3,1426
2008-09-09,2.3,2.39,2.3,2.39,1111
2008-09-10,2.16,2.39,2.16,2.39,24
2008-09-11,2.39,2.39,2.39,2.39,150
2008-09-12,2.3,2.3,2.2,2.2,162
2008-09-15,2.32,2.32,2.32,2.32,24
2008-09-17,2.35,2.44,2.35,2.44,440
2008-09-19,2.43,2.44,2.43,2.44,1000
2008-09-22,2.15,2.42,2.12,2.42,2465
2008-09-24,2.38,2.38,2.34,2.34,82
2008-10-01,2.12,2.3,2.1,2.3,2012
2008-10-06,2.12,2.12,2.12,2.12,100
2008-10-07,2.29,2.29,2.29,2.29,100
2008-10-08,2.3,2.3,2.12,2.28,1352
2008-10-09,2.14,2.4,2.14,2.4,327
2008-10-10,2.4,2.44,2.4,2.44,150
2008-10-14,2.43,2.43,2.43,2.43,46
2008-10-15,2.4,2.4,2.4,2.4,17
2008-10-16,2.3,2.3,2.3,2.3,1070
2008-10-17,2.29,2.29,2.14,2.14,250
2008-10-20,2.12,2.3,2.12,2.3,1328
2008-10-21,2.35,2.35,2.35,2.35,1
2008-10-24,2,2,1.77,1.94,5011
2008-10-27,1.94,2.15,1.94,2.15,97
2008-10-28,1.91,2.08,1.9,2.08,1292
2008-10-29,2.06,2.25,1.81,2.25,2285
2008-10-31,2.19,2.19,2.19,2.19,216
2008-11-03,2,2.29,2,2.29,10450
2008-11-05,2.93,2.93,2,2,50
2008-11-06,2.5,2.5,1.91,2.5,145
2008-11-07,2.63,2.63,1.7,1.7,1543
2008-11-10,1.9,2.05,1.9,2.05,10
2008-11-12,1.8,2.05,1.76,1.76,4695
2008-11-13,1.72,1.8,1.6,1.8,2205
2008-11-14,1.72,1.72,1.5,1.68,12293
2008-11-17,1.54,1.79,1.54,1.75,15045
2008-11-21,1.71,1.71,1.71,1.71,4000
2008-11-24,1.72,1.72,1.72,1.72,1
2008-11-26,1.55,1.72,1.55,1.7,168
2008-11-28,1.66,1.71,1.66,1.71,12002
2008-12-01,1.6,1.9,1.6,1.75,703
2008-12-02,1.75,1.75,1.75,1.75,1500
2008-12-03,1.86,1.86,1.5,1.75,1354
2008-12-08,1.52,1.69,1.51,1.66,2732
2008-12-10,1.55,1.65,1.55,1.65,272
2008-12-12,1.6,1.64,1.6,1.63,20017
2008-12-15,1.6,1.67,1.6,1.66,5500
2008-12-16,1.6,1.6,1.6,1.6,33
2008-12-17,1.59,1.59,1.59,1.59,10000
2008-12-18,1.5,1.5,1.5,1.5,100
2008-12-19,1.49,1.69,1.49,1.69,1606
2008-12-22,1.45,1.6,1.45,1.6,10883
2008-12-23,1.42,1.43,1.17,1.2,70080
2008-12-29,1.24,1.24,1.18,1.2,24830
2008-12-30,1.2,1.21,1.2,1.21,2900
2008-12-31,1.21,1.23,1.21,1.23,2600
2009-01-05,1.25,1.28,1.24,1.28,10902
2009-01-06,1.24,1.26,1.15,1.25,23100
2009-01-07,1.2,1.2,1.13,1.17,16702
2009-01-08,1.12,1.12,1.1,1.1,15321
2009-01-09,1.06,1.1,1.05,1.05,9862
2009-01-12,1.02,1.02,0.95,0.95,19777
2009-01-13,0.96,0.96,0.94,0.94,25408
2009-01-14,0.95,0.95,0.92,0.92,2800
2009-01-15,0.91,0.91,0.9,0.9,28472
2009-01-16,0.9,0.9,0.85,0.85,144444
2009-01-19,0.85,0.85,0.77,0.77,47461
2009-01-20,0.77,0.77,0.75,0.75,48228
2009-01-21,0.77,0.98,0.71,0.98,67410
2009-01-22,0.99,1.03,0.84,0.9,76667
2009-01-23,0.83,0.83,0.77,0.77,18774
2009-01-26,0.8,0.84,0.8,0.84,10186
2009-01-27,0.81,0.81,0.76,0.8,45000
2009-01-28,0.81,0.81,0.81,0.81,301
2009-01-30,0.81,0.81,0.78,0.81,1850
2009-02-03,0.81,0.81,0.78,0.78,7215
2009-02-04,0.8,0.93,0.8,0.93,46246
2009-02-05,0.94,1.02,0.9,1.01,61410
2009-02-06,1.01,1.03,0.97,0.99,30032
2009-02-09,0.95,1.02,0.95,1.02,7178
2009-02-10,1.02,1.18,1.01,1.15,50801
2009-02-11,1.05,1.18,1.04,1.11,42314
2009-02-12,1.07,1.08,1.03,1.08,10500
2009-02-13,1.03,1.05,1,1.05,2002
2009-02-16,0.99,1.2,0.99,1.2,96814
2009-02-17,1.15,1.15,1.08,1.15,1942
2009-02-18,1.1,1.1,1.07,1.1,14537
2009-02-19,1.1,1.1,1.1,1.1,14686
2009-02-20,1.1,1.1,1.1,1.1,100
2009-02-23,1.12,1.12,1.12,1.12,100
2009-02-24,1.14,1.14,1.14,1.14,88
2009-02-25,1.16,1.18,1.16,1.16,3625
2009-02-26,1.17,1.17,1.15,1.17,2560
2009-02-27,1.17,1.25,1.15,1.25,23860
2009-03-02,1.25,1.27,1.18,1.22,15895
2009-03-03,1.22,1.22,1.22,1.22,600
2009-03-04,1.17,1.22,1.16,1.16,1010
2009-03-05,1.18,1.18,1.05,1.05,13433
2009-03-06,1.1,1.1,0.99,1.04,9000
2009-03-09,0.99,1,0.98,1,4935
2009-03-10,1.02,1.16,1.02,1.11,14831
2009-03-11,1.07,1.1,1.05,1.1,10534
2009-03-12,1.1,1.1,1.1,1.1,500
2009-03-13,1.11,1.11,1.11,1.11,100
2009-03-16,1.11,1.13,1.11,1.13,3161
2009-03-17,1.07,1.12,1.07,1.12,550
2009-03-18,1.07,1.08,1.05,1.08,10691
2009-03-23,1.08,1.24,1.08,1.24,21650
2009-03-24,1.13,1.23,1.13,1.13,27185
2009-03-25,1.19,1.35,1.19,1.35,10220
2009-03-26,1.39,1.39,1.24,1.3,18317
2009-03-27,1.27,1.32,1.22,1.27,8408
2009-03-30,1.21,1.26,1.2,1.26,6249
2009-03-31,1.25,1.25,1.2,1.2,986
2009-04-01,1.2,1.32,1.19,1.29,20322
2009-04-02,1.39,1.47,1.34,1.38,24291
2009-04-03,1.36,1.4,1.34,1.39,7724
2009-04-06,1.4,1.53,1.4,1.53,20211
2009-04-07,1.5,1.53,1.44,1.52,19810
2009-04-08,1.43,1.59,1.41,1.58,64379
2009-04-09,1.59,1.8,1.54,1.8,94628
2009-04-14,1.8,1.87,1.77,1.78,73189
2009-04-15,1.8,1.8,1.76,1.8,2171
2009-04-16,1.73,1.76,1.67,1.69,21608
2009-04-17,1.64,1.67,1.6,1.67,11450
2009-04-20,1.59,1.64,1.58,1.64,3085
2009-04-21,1.68,1.68,1.61,1.64,8651
2009-04-22,1.64,1.65,1.62,1.64,2696
2009-04-23,1.66,1.66,1.63,1.63,4353
2009-04-24,1.61,1.61,1.59,1.6,12030
2009-04-27,1.62,1.62,1.56,1.58,21201
2009-04-28,1.6,2.03,1.57,2.03,183680
2009-04-29,2.19,2.71,2.05,2.36,637208
2009-04-30,2.5,2.58,2.25,2.29,311947
2009-05-04,2.08,2.2,2,2.14,229844
2009-05-05,2.1,2.3,2.08,2.17,73877
2009-05-06,2.26,2.26,2.12,2.22,22778
2009-05-07,2.2,2.22,2.14,2.21,25050
2009-05-08,2.19,2.19,2.11,2.16,19822
2009-05-11,2.23,2.23,2.13,2.16,23525
2009-05-12,2.15,2.8,2.15,2.8,134754
2009-05-13,2.96,3.18,2.6,2.78,133360
2009-05-14,2.69,2.86,2.6,2.84,34775
2009-05-15,3.09,3.09,2.79,2.89,62545
2009-05-18,2.87,3,2.65,2.7,163553
2009-05-19,2.8,2.9,2.52,2.55,77560
2009-05-20,2.56,2.58,2.39,2.5,33083
2009-05-21,2.5,2.62,2.39,2.56,31947
2009-05-22,2.6,2.65,2.5,2.65,33044
2009-05-25,2.69,2.8,2.68,2.75,47503
2009-05-26,2.75,2.75,2.64,2.69,4654
2009-05-27,2.68,2.68,2.53,2.53,7937
2009-05-28,2.53,2.62,2.45,2.45,14016
2009-05-29,2.45,2.6,2.38,2.59,25857
2009-06-01,2.42,2.55,2.42,2.55,9461
2009-06-02,2.58,2.6,2.5,2.51,11790
2009-06-03,2.51,2.51,2.35,2.45,25598
2009-06-04,2.45,2.45,2.33,2.33,44663
2009-06-05,2.44,2.44,2.34,2.34,23228
2009-06-08,2.35,2.48,2.34,2.47,16002
2009-06-09,2.49,2.57,2.46,2.49,24853
2009-06-10,2.49,2.49,2.49,2.49,1700
2009-06-12,2.5,2.55,2.5,2.5,16270
2009-06-15,2.52,2.52,2.43,2.47,1608
2009-06-16,2.48,2.48,2.38,2.43,5901
2009-06-17,2.43,2.5,2.34,2.38,8954
2009-06-18,2.35,2.4,2.32,2.38,6163
2009-06-19,2.44,2.44,2.34,2.41,21623
2009-06-22,2.38,2.43,2.23,2.23,8455
2009-06-23,2.25,2.32,2.25,2.32,12005
2009-06-24,2.3,2.3,2.27,2.27,650
2009-06-25,2.26,2.26,2.23,2.23,4580
2009-06-26,2.24,2.3,2.23,2.23,6675
2009-06-29,2.16,2.29,2.13,2.25,7485
2009-06-30,2.23,2.26,2.2,2.25,9725
2009-07-01,2.25,2.32,2.25,2.31,15330
2009-07-02,2.39,2.87,2.39,2.6,173564
2009-07-03,2.73,2.74,2.5,2.5,60625
2009-07-06,2.5,2.54,2.4,2.5,6271
2009-07-07,2.55,2.65,2.52,2.53,28719
2009-07-08,2.45,2.53,2.4,2.4,21547
2009-07-09,2.43,2.53,2.43,2.53,8723
2009-07-10,2.44,2.5,2.35,2.5,18808
2009-07-13,2.4,2.64,2.4,2.53,24647
2009-07-14,2.53,2.68,2.5,2.68,13290
2009-07-15,2.68,2.68,2.55,2.55,34922
2009-07-16,2.62,2.71,2.55,2.59,46572
2009-07-17,2.62,2.62,2.45,2.48,52906
2009-07-20,2.5,2.53,2.43,2.53,45083
2009-07-21,2.55,2.55,2.42,2.51,26186
2009-07-22,2.49,2.49,2.43,2.45,7038
2009-07-23,2.44,2.54,2.44,2.46,21624
2009-07-24,2.5,2.52,2.45,2.49,7969
2009-07-27,2.5,2.58,2.5,2.58,36042
2009-07-28,2.6,2.75,2.58,2.74,119416
2009-07-29,2.74,2.96,2.7,2.81,91963
2009-07-30,2.99,2.99,2.7,2.84,54742
2009-07-31,2.8,2.86,2.67,2.68,43742
2009-08-03,2.79,2.79,2.55,2.63,54337
2009-08-04,2.62,2.64,2.55,2.64,7216
2009-08-05,2.64,2.7,2.57,2.58,34668
2009-08-06,2.58,2.62,2.52,2.6,48991
2009-08-07,2.54,2.68,2.54,2.64,18879
2009-08-10,2.73,2.73,2.6,2.64,38948
2009-08-11,2.64,2.79,2.64,2.66,26012
2009-08-12,2.6,2.75,2.6,2.74,15439
2009-08-13,2.78,2.85,2.75,2.78,23361
2009-08-14,2.78,2.86,2.76,2.83,32979
2009-08-17,2.78,2.8,2.65,2.74,17311
2009-08-18,2.7,2.73,2.69,2.73,8866
2009-08-19,2.67,2.78,2.67,2.78,3438
2009-08-20,2.78,2.78,2.69,2.69,56372
2009-08-21,2.69,2.75,2.57,2.69,44748
2009-08-24,2.68,2.68,2.61,2.67,22694
2009-08-25,2.6,2.67,2.6,2.62,10776
2009-08-26,2.61,2.64,2.55,2.64,42556
2009-08-27,2.64,2.64,2.57,2.63,6985
2009-08-28,2.58,2.7,2.57,2.69,23086
2009-08-31,2.71,2.8,2.71,2.78,37138
2009-09-01,2.78,2.84,2.57,2.66,35065
2009-09-02,2.54,2.55,2.33,2.35,38444
2009-09-03,2.44,2.47,2.35,2.42,29734
2009-09-04,2.42,2.47,2.36,2.47,3658
2009-09-07,2.37,2.52,2.37,2.52,10552
2009-09-08,2.53,2.64,2.53,2.64,22982
2009-09-09,2.6,2.62,2.52,2.61,3852
2009-09-10,2.55,2.55,2.47,2.5,8144
2009-09-11,2.5,2.55,2.44,2.54,4100
2009-09-14,2.38,2.48,2.38,2.48,3109
2009-09-15,2.48,2.5,2.37,2.5,2255
2009-09-16,2.42,2.55,2.42,2.53,7794
2009-09-17,2.54,2.54,2.4,2.5,6439
2009-09-18,2.52,2.52,2.49,2.5,5681
2009-09-21,2.5,2.52,2.45,2.47,6840
2009-09-22,2.49,2.55,2.49,2.52,46599
2009-09-23,2.51,2.53,2.45,2.49,27867
2009-09-24,2.47,2.47,2.39,2.45,7957
2009-09-25,2.38,2.42,2.35,2.42,10343
2009-09-28,2.45,2.45,2.44,2.45,2789
2009-09-29,2.45,2.46,2.38,2.42,9749
2009-09-30,2.42,2.42,2.35,2.37,13882
2009-10-01,2.39,2.41,2.24,2.35,13380
2009-10-02,2.3,2.3,2.22,2.25,18905
2009-10-05,2.3,2.34,2.24,2.24,13534
2009-10-06,2.3,2.34,2.27,2.34,3360
2009-10-07,2.34,2.57,2.31,2.56,90151
2009-10-08,2.65,2.65,2.39,2.48,82593
2009-10-09,2.45,2.46,2.37,2.44,24748
2009-10-12,2.46,2.46,2.35,2.43,4023
2009-10-13,2.39,2.41,2.32,2.35,10001
2009-10-14,2.37,2.37,2.3,2.35,4151
2009-10-15,2.35,2.35,2.28,2.34,6112
2009-10-16,2.27,2.39,2.27,2.33,5663
2009-10-19,2.42,2.42,2.28,2.35,7992
2009-10-20,2.35,2.35,2.29,2.32,4737
2009-10-21,2.28,2.3,2.24,2.3,14452
2009-10-22,2.33,2.33,2.26,2.3,10170
2009-10-23,2.33,2.33,2.3,2.33,4937
2009-10-26,2.32,2.32,2.24,2.3,14085
2009-10-27,2.3,2.32,2.27,2.32,4461
2009-10-28,2.32,2.36,2.28,2.35,12697
2009-10-29,2.36,2.45,2.36,2.44,21516
2009-10-30,2.45,2.6,2.45,2.58,37559
