Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,132.6,136.2,132,136.2,4834
2008-01-03,136.5,136.5,134,134.9,4118
2008-01-04,134,134,129.2,129.2,5401
2008-01-07,129,129,119.5,122.3,9071
2008-01-08,120,122.5,119,122.5,5819
2008-01-09,120,122.5,120,120.5,9652
2008-01-10,120,120,111.6,112.5,46468
2008-01-11,111,115,108,109,86001
2008-01-14,107,107,104,105.5,11760
2008-01-15,106.5,114,104.6,104.6,34310
2008-01-16,102.5,106.8,98,104.5,98623
2008-01-17,109,110,104.5,105.5,65283
2008-01-18,108,109,106.1,107,73779
2008-01-21,105.5,106.5,100,106,37897
2008-01-22,102,106,100.1,103,5881
2008-01-23,104.5,107,104,104.1,299459
2008-01-24,108.4,108.6,105.6,108,216231
2008-01-25,109,113,108.5,112.6,17753
2008-01-28,112.4,113.5,110,113.5,53275
2008-01-29,113.9,117.3,113.9,117.2,7711
2008-01-30,116,119,115,118.7,11264
2008-01-31,118.5,120,117,120,5498
2008-02-01,120,132,120,129.4,9607
2008-02-04,129,129.6,128,129.5,82497
2008-02-05,129.5,129.5,128,128,46276
2008-02-06,123,125.1,121.5,124.8,11760
2008-02-07,124,127,120,124.8,52470
2008-02-08,124,125.2,123.5,125.2,33953
2008-02-11,124,125.2,123.6,124.5,3671
2008-02-12,126.9,127.3,124,127.3,15914
2008-02-13,127.6,127.6,126.4,127.2,164
2008-02-14,128.4,128.4,126,127,23140
2008-02-15,126,126,125,125,235
2008-02-18,126.5,126.5,122.6,124,1422
2008-02-19,122.8,124,122.8,124,3384
2008-02-20,121.1,123,120,122,378
2008-02-21,121.5,129,118.8,129,4643
2008-02-22,124,124,122.6,124,770
2008-02-25,122.4,124,122.3,124,3714
2008-02-26,124,124.5,122.7,124.4,1958
2008-02-27,124.8,125,122.6,124.8,784
2008-02-28,125,125,123,125,24667
2008-02-29,123,125,122.2,125,2753
2008-03-03,116.2,117.6,112.5,113.6,35736
2008-03-04,110,110.1,106,106,122416
2008-03-05,104.1,106,102.5,103.5,355346
2008-03-06,104,106,101,101.2,211781
2008-03-07,100,101,98.6,99.8,74803
2008-03-10,100,102,99,99,11752
2008-03-11,100,106.9,99.2,106.9,2321
2008-03-12,111.9,111.9,107.5,108.8,3727
2008-03-13,108,108,101,101,1031
2008-03-14,102.9,102.9,101,101.7,8980
2008-03-17,100,100,97.3,98,14878
2008-03-18,99.8,99.8,96.65,97,22533
2008-03-19,98,99,97,98,7543
2008-03-20,97.9,97.9,92.25,92.25,11326
2008-03-25,93.6,93.6,93,93.2,25377
2008-03-26,93.9,94,93,94,40447
2008-03-27,94.2,99,94.2,98.9,3787
2008-03-28,98.9,100,98.9,99.05,17361
2008-03-31,98.9,101,98.5,100.8,26901
2008-04-01,101,103,100,100.1,3046
2008-04-02,100.5,103.5,99.5,103.4,8673
2008-04-03,103.5,103.5,99.2,100,35893
2008-04-04,98.2,101.8,98.2,101.5,6602
2008-04-07,102.9,102.9,101.5,102.8,8515
2008-04-08,102.5,102.9,100,102.7,1842
2008-04-09,103.1,104.8,102.1,104.8,12814
2008-04-10,103.9,103.9,101.3,102.5,4157
2008-04-11,102,102,93,99.2,13283
2008-04-14,96.2,97,95,95.2,4308
2008-04-15,95.2,97.5,95.1,97,5985
2008-04-16,95.2,97,95.2,96.5,29259
2008-04-17,97,97,96,96,16981
2008-04-18,97,97,94,94.5,17501
2008-04-21,94.9,96,94.9,95,6506
2008-04-22,95,96,92.1,92.1,51903
2008-04-23,91.75,92,87,87,25916
2008-04-24,86.6,90,86.6,88.5,8179
2008-04-25,88.5,88.5,85.45,86.75,52200
2008-04-28,87,87.1,85,86.5,42043
2008-04-29,86.45,86.45,82,85,18505
2008-04-30,85.5,86,85,86,4636
2008-05-05,87,87,85,86.1,6634
2008-05-06,87,90.5,86.95,90.5,83725
2008-05-07,91.5,91.5,89.25,90.7,5428
2008-05-08,90.7,90.8,89.45,90.75,11739
2008-05-09,90.3,90.3,86,89.5,18124
2008-05-12,89.45,89.5,87,87,5234
2008-05-13,86.5,86.9,84.05,85,2808
2008-05-14,83.25,86,83.25,84,30608
2008-05-15,85,86,83.2,85,12849
2008-05-16,85,88.8,85,88.8,57942
2008-05-19,88.8,90,88,90,58759
2008-05-20,94.9,96,92.4,95,44509
2008-05-21,96,98,93.3,93.9,163611
2008-05-23,93,93,89.1,89.1,64389
2008-05-26,90.95,90.95,88.8,88.8,26757
2008-05-27,88.8,88.8,85.05,85.05,170741
2008-05-28,86,87.9,85.1,85.1,20886
2008-05-29,87,87,84.7,84.7,45640
2008-05-30,85,85.5,85,85.5,93520
2008-06-02,86,86,85.65,86,33065
2008-06-03,85,85,84,84,33165
2008-06-04,84,84,79.5,81,51217
2008-06-05,80.5,80.5,78.1,80,105641
2008-06-06,80,80,78.6,78.6,21723
2008-06-09,76,77,75,76,27788
2008-06-10,75.5,75.5,70,70.6,38125
2008-06-11,70.5,70.5,66.05,67.5,133029
2008-06-12,64.5,72.5,64.5,72.5,23901
2008-06-13,72.4,74.55,72,74.55,78585
2008-06-16,76.5,79.95,76,79.2,82221
2008-06-17,79.2,83,79.2,82.55,6573
2008-06-18,84,84,80.5,81,178427
2008-06-19,80,80.5,79.05,80,145369
2008-06-20,78,79,77.5,77.5,10719
2008-06-23,76.1,77.2,76.1,77.2,3598
2008-06-24,79.9,79.9,75.1,75.1,52557
2008-06-25,76,78.9,76,78.9,29854
2008-06-26,78,78,76.35,78,54063
2008-06-27,75.1,78.5,74.1,78.5,7274
2008-06-30,78.5,78.9,76.2,77,12581
2008-07-01,78,78,75,76.5,12640
2008-07-02,76.2,76.2,75,75.7,15430
2008-07-03,76,76,74.3,75.65,18804
2008-07-04,76.2,76.2,72.15,74,21056
2008-07-07,74,74.5,73.15,74,2284
2008-07-08,73.1,73.1,71.45,72,82895
2008-07-09,73,74,73,74,91210
2008-07-10,74,74,73.4,73.9,285
2008-07-11,75,75.55,72,72,14564
2008-07-14,72,72,68,68.1,12003
2008-07-15,67.2,67.3,64,64.6,41182
2008-07-16,64.1,66,64.1,65,33609
2008-07-17,66,70,65,67.5,3622
2008-07-18,68,68.85,66.15,67.5,7382
2008-07-21,69.45,69.45,67.5,69,13104
2008-07-22,69,69.5,68.1,68.5,9599
2008-07-23,69.2,70.5,68.5,70.1,11532
2008-07-24,71,71.85,70.5,71.15,71986
2008-07-25,70.4,72.6,70,72.5,32904
2008-07-28,72,73.75,71.4,73,9048
2008-07-29,73.45,73.5,72.1,72.35,3384
2008-07-30,74,76.8,73.9,75.1,6809
2008-07-31,76,76,75.1,76,3657
2008-08-01,75.8,81.9,75.8,78,3415
2008-08-04,79,79,78.05,78.1,688
2008-08-05,78.5,78.5,77.1,77.7,41973
2008-08-06,77.6,78,76.5,76.5,3805
2008-08-07,76.5,77.35,76.5,76.5,1225
2008-08-08,76.5,76.55,76.5,76.5,7582
2008-08-11,77,78,77,78,64
2008-08-12,74.1,79.55,74.1,78.95,2363
2008-08-13,78.95,78.95,77,77.05,292
2008-08-14,75.5,75.5,69.2,70,20949
2008-08-18,72,72,66.2,70.7,13665
2008-08-19,68.6,69.2,67,67,980
2008-08-20,68,68,66.2,66.2,1835
