Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,7.97,8.09,7.85,7.99,36954
2008-01-03,7.96,8.19,7.8,8,210210
2008-01-04,8,8.05,7.51,7.65,78984
2008-01-07,7.68,7.74,7.1,7.26,168098
2008-01-08,7.4,7.4,6.82,7.19,127434
2008-01-09,6.99,7.1,6.5,7.1,173622
2008-01-10,6.91,6.95,6.3,6.7,1210187
2008-01-11,6.53,6.7,6.2,6.2,465312
2008-01-14,6.15,6.18,5.72,6,675176
2008-01-15,5.85,6.16,5.7,6,457782
2008-01-16,5.51,6.03,5.5,5.99,397107
2008-01-17,6.03,6.14,5.94,5.95,540901
2008-01-18,5.8,6.1,5.75,6,471556
2008-01-21,5.8,5.95,5.5,5.5,304569
2008-01-22,5.35,6.25,5.33,6.25,193708
2008-01-23,6.3,6.5,5.98,6.3,1496754
2008-01-24,6.59,6.59,6.3,6.39,534684
2008-01-25,6.48,6.48,6.11,6.19,44122
2008-01-28,6.09,6.18,5.99,6.15,224800
2008-01-29,6.08,6.25,6.08,6.25,379562
2008-01-30,6.31,6.79,6.18,6.5,584974
2008-01-31,6.42,6.55,6.33,6.44,491907
2008-02-01,6.49,6.8,6.48,6.8,191549
2008-02-04,6.8,6.92,6.61,6.69,97741
2008-02-05,6.64,6.66,6.3,6.62,80382
2008-02-06,6.31,6.49,6.3,6.31,539137
2008-02-07,6.3,6.36,6.12,6.28,222472
2008-02-08,6.28,6.35,6.1,6.35,82693
2008-02-11,6.34,6.48,6.27,6.41,219604
2008-02-12,6.5,6.7,6.49,6.6,364343
2008-02-13,6.67,6.8,6.6,6.8,175703
2008-02-14,6.9,6.94,6.8,6.8,92989
2008-02-15,6.7,6.8,6.6,6.8,97327
2008-02-18,6.78,6.87,6.7,6.87,70956
2008-02-19,6.84,6.89,6.76,6.85,357372
2008-02-20,6.78,6.84,6.7,6.84,64813
2008-02-21,6.85,6.98,6.8,6.94,74440
2008-02-22,6.9,6.9,6.83,6.84,37482
2008-02-25,6.88,6.88,6.71,6.74,56640
2008-02-26,6.79,6.82,6.68,6.8,61338
2008-02-27,6.79,6.91,6.76,6.88,106711
2008-02-28,6.87,6.87,6.7,6.8,215862
2008-02-29,6.79,6.92,6.69,6.7,470602
2008-03-03,6.63,6.85,6.4,6.85,111929
2008-03-04,6.87,6.87,6.57,6.6,75841
2008-03-05,6.59,6.6,6.32,6.45,144060
2008-03-06,6.41,6.41,6.26,6.26,93515
2008-03-07,6.27,6.31,5.94,6.31,174360
2008-03-10,6.3,6.45,6.29,6.43,54230
2008-03-11,6.43,6.55,6.38,6.55,71360
2008-03-12,6.6,6.69,6.48,6.64,42874
2008-03-13,6.55,6.55,6.1,6.15,408615
2008-03-14,6.15,6.33,6.1,6.1,130653
2008-03-17,6,6.16,5.9,6.16,159279
2008-03-18,6.14,6.32,6.08,6.15,255713
2008-03-19,6.16,6.4,6.16,6.4,260712
2008-03-20,6.36,6.48,6.3,6.48,126509
2008-03-25,6.47,6.57,6.33,6.35,53789
2008-03-26,6.31,6.54,6.3,6.53,614627
2008-03-27,6.52,6.52,6.44,6.5,123993
2008-03-28,6.41,6.46,6.29,6.38,242577
2008-03-31,6.35,6.68,6.35,6.65,410290
2008-04-01,6.65,6.69,6.61,6.65,97729
2008-04-02,6.69,7.19,6.66,6.93,195275
2008-04-03,6.95,7.19,6.93,7.11,502424
2008-04-04,7.15,7.15,7.05,7.05,9654
2008-04-07,7.03,7.04,6.33,6.33,23708
2008-04-08,6.71,6.85,6.6,6.7,64005
2008-04-09,6.7,6.83,6.65,6.8,86452
2008-04-10,6.8,6.8,6.56,6.58,35809
2008-04-11,6.59,6.75,6.4,6.59,136487
2008-04-14,6.57,6.95,6.28,6.95,71301
2008-04-15,6.75,6.75,6.59,6.6,45017
2008-04-16,6.6,6.6,6.32,6.32,105678
2008-04-17,6.4,6.43,6.2,6.43,123766
2008-04-18,6.39,6.39,6.25,6.28,48995
2008-04-21,6.3,6.3,6.17,6.24,25988
2008-04-22,6.21,6.3,6.02,6.18,190896
2008-04-23,6.32,6.32,6.1,6.1,123913
2008-04-24,6.25,6.29,6.15,6.28,43727
2008-04-25,6.18,6.48,6.18,6.41,139129
2008-04-28,6.45,6.64,6.38,6.52,40120
2008-04-29,6.62,6.65,6.5,6.5,270041
2008-04-30,6.42,6.7,6.42,6.66,361661
2008-05-05,6.67,6.7,6.6,6.7,57379
2008-05-06,6.85,7.1,6.8,7.05,488866
2008-05-07,6.9,7.28,6.85,7.24,169489
2008-05-08,7.19,7.19,7,7,15372
2008-05-09,6.86,6.99,6.85,6.9,34969
2008-05-12,6.8,6.99,6.76,6.84,30436
2008-05-13,6.89,6.93,6.83,6.93,480469
2008-05-14,6.85,6.99,6.62,6.62,239721
2008-05-15,6.65,6.65,6.37,6.44,332941
2008-05-16,6.47,6.5,6.35,6.48,21034
2008-05-19,6.45,6.52,6.35,6.48,64499
2008-05-20,6.48,6.6,6.28,6.33,114666
2008-05-21,6.4,7,6.35,7,54476
2008-05-23,6.8,6.8,6.41,6.44,63511
2008-05-26,6.45,6.54,6.39,6.43,10664
2008-05-27,6.45,6.45,6.3,6.4,48986
2008-05-28,6.45,6.45,6.3,6.37,21321
2008-05-29,6.4,6.4,6.22,6.3,26160
2008-05-30,6.35,6.47,6.25,6.45,541293
2008-06-02,6.4,6.48,6.31,6.36,9630
2008-06-03,6.36,6.4,6.26,6.4,33968
2008-06-04,6.46,6.5,6.3,6.37,75159
2008-06-05,6.37,6.41,6.3,6.4,1677731
2008-06-06,6.36,6.41,6.25,6.38,27831
2008-06-09,6.24,6.3,6.11,6.16,39723
2008-06-10,6,6,5.8,5.9,85116
2008-06-11,5.85,5.94,5.65,5.8,18897
2008-06-12,5.68,5.76,5.55,5.66,42290
2008-06-13,5.55,5.73,5.55,5.6,14092
2008-06-16,5.69,5.69,5.3,5.3,36418
2008-06-17,5.4,5.58,5.29,5.29,56295
2008-06-18,5.39,5.39,4.9,4.9,264759
2008-06-19,4.66,4.81,4.66,4.75,57839
2008-06-20,4.76,4.78,4.55,4.61,144048
2008-06-23,4.61,4.7,4.5,4.56,49962
2008-06-24,4.44,4.53,4.11,4.11,105137
2008-06-25,4.19,4.25,4.15,4.23,68228
2008-06-26,4.2,4.25,4.04,4.15,61878
2008-06-27,4,4.13,3.98,4.13,62183
2008-06-30,4.1,4.35,4,4.35,200257
2008-07-01,4.34,4.34,3.95,3.95,339684
2008-07-02,4.01,4.03,3.84,3.97,58655
2008-07-03,4,4.09,3.9,3.9,52744
2008-07-04,3.98,3.98,3.68,3.68,547076
2008-07-07,3.78,3.78,3.61,3.7,58145
2008-07-08,3.68,3.72,3.65,3.7,222650
2008-07-09,3.7,3.77,3.68,3.7,439206
2008-07-10,3.74,3.88,3.72,3.75,209792
2008-07-11,3.89,3.89,3.66,3.7,328283
2008-07-14,3.75,3.75,3.52,3.52,204590
2008-07-15,3.52,3.52,3.32,3.43,32757
2008-07-16,3.37,3.43,3.25,3.43,40955
2008-07-17,3.4,3.65,3.4,3.65,162184
2008-07-18,3.6,3.63,3.48,3.56,39728
2008-07-21,3.53,3.53,3.4,3.4,45714
2008-07-22,3.4,3.5,3.39,3.5,43452
2008-07-23,3.58,3.68,3.51,3.64,785651
2008-07-24,3.74,3.87,3.67,3.74,340163
2008-07-25,3.61,3.63,3.56,3.6,713772
2008-07-28,3.6,3.8,3.6,3.6,169106
2008-07-29,3.57,3.61,3.55,3.55,66591
2008-07-30,3.64,3.7,3.5,3.56,98921
