Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,71.9594,71.9594,71.7351,71.7351,873
2008-01-03,71.7351,71.7351,70.3904,70.3904,9658
2008-01-04,69.8971,70.3904,69.0452,69.4938,75523
2008-01-07,68.6419,68.6867,68.1486,68.1486,28941
2008-01-08,67.3415,67.3415,64.1136,64.1136,10678
2008-01-09,64.1136,64.1136,62.7684,62.8579,8762
2008-01-10,62.8579,63.217,59.2267,60.5266,11802
2008-01-11,60.5266,60.5266,58.3295,59.3162,9134
2008-01-14,60.4818,60.4818,58.2848,59.1819,72917
2008-01-15,59.1819,59.1819,58.7334,58.7334,24372
2008-01-16,57.8367,57.8367,55.2811,57.3882,52187
2008-01-17,57.8367,57.8815,57.3882,57.6125,179971
2008-01-18,58.1505,59.0919,58.1505,58.4643,120631
2008-01-21,58.2848,58.2848,55.1911,56.6711,10575
2008-01-22,55.4155,56.0434,53.8017,56.0434,3642
2008-01-23,56.4915,57.2539,55.6845,55.6845,879
2008-01-24,56.2673,60.5266,56.2673,60.5266,10426
2008-01-25,60.5266,60.5266,59.4957,60.437,5133
2008-01-28,60.437,60.437,58.24,59.5404,2060
2008-01-29,58.3748,61.3337,58.3295,61.3337,10340
2008-01-30,60.8852,60.9751,60.5714,60.9299,2188
2008-01-31,60.9299,61.4232,59.63,61.4232,20021
2008-02-01,61.6923,62.7236,59.63,61.4232,32700
2008-02-04,61.6475,62.6789,61.6475,61.8717,9566
2008-02-05,61.2442,61.4232,59.0023,59.0023,19893
2008-02-06,57.3882,62.7236,56.8949,62.7236,3576
2008-02-07,61.8717,62.7236,60.5266,62.7236,4239
2008-02-08,63.4408,63.4408,62.7236,62.7236,168
2008-02-11,62.5441,65.0102,61.8717,63.3959,46751
2008-02-12,63.3959,66.7139,62.5889,66.7139,40905
2008-02-13,66.7139,69.0452,66.3553,68.9105,22007
2008-02-14,70.3456,70.3456,66.8482,68.4176,16640
2008-02-15,68.3729,69.4938,68.3729,69.4938,35976
2008-02-18,70.3004,70.3004,68.552,69.0452,1956
2008-02-19,67.431,68.821,67.431,68.821,913
2008-02-20,68.1486,69.449,68.1486,69.2695,10582
2008-02-21,69.4038,69.4038,68.1486,68.552,4382
2008-02-22,68.552,69.0452,68.552,69.0452,16552
2008-02-25,68.7314,69.2695,65.6825,65.6825,72237
2008-02-26,65.6825,68.5072,65.6825,68.4624,4950
2008-02-27,68.552,68.5967,68.1486,68.1486,2146
2008-02-28,66.5792,68.1038,66.5792,68.1038,957
2008-02-29,67.7001,68.0591,65.6825,65.9068,6250
2008-03-03,65.6825,65.6825,62.7684,64.0688,2320
2008-03-04,62.9479,63.9788,61.8717,62.7684,1159
2008-03-05,62.7684,63.665,61.4232,63.665,2520
2008-03-06,63.665,64.5169,63.217,64.5169,5714
2008-03-07,64.4721,64.5169,62.7684,64.5169,3055
