Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-11-17,14.1438,14.2256,13.7812,13.8265,1082134
2008-11-18,13.8265,13.8265,12.6388,12.6932,728897
2008-11-19,12.8202,12.9561,12.6117,12.7295,305218
2008-11-20,12.5118,12.5209,12.0766,12.3305,102024
2008-11-21,12.3305,12.8564,12.3305,12.6932,68048
2008-11-24,12.8745,13.5908,12.8745,13.0559,179058
2008-11-25,13.3279,13.3551,13.0559,13.1465,58813
2008-11-26,13.219,13.219,12.9652,12.9652,40927
2008-11-27,13.0559,13.21,12.9652,13.0106,14483
2008-11-28,13.0559,13.2916,13.0106,13.2554,21532
2008-12-01,13.2464,13.3732,13.2464,13.3097,15374
2008-12-02,13.3097,13.9354,13.3097,13.7359,38233
2008-12-03,13.7812,13.8719,13.7812,13.8447,15538
2008-12-04,13.8719,14.0169,13.8447,13.8899,43576
2008-12-05,13.9354,13.9444,13.627,13.8265,39040
2008-12-08,13.881,13.9172,13.6905,13.7359,11662
2008-12-09,13.7359,13.9172,13.627,13.6905,80371
2008-12-10,13.6905,13.7268,13.5999,13.5999,32382
2008-12-11,13.5999,13.6452,13.5546,13.5999,69893
2008-12-12,13.5999,13.6905,13.5999,13.6542,10008
2008-12-15,13.5999,13.7268,13.5999,13.5999,19896
2008-12-16,13.5999,13.5999,13.5092,13.5999,25571
2008-12-17,13.5727,13.5727,12.9199,12.9199,10243
2008-12-18,13.0922,13.0922,12.4756,12.5755,7429
2008-12-19,12.5755,12.8112,12.5118,12.6025,6748
2008-12-22,12.6932,12.6932,12.4666,12.4756,8187
2008-12-23,12.4666,12.5118,12.3305,12.5118,23952
2008-12-29,12.6025,12.6025,12.3487,12.5028,14919
2008-12-30,12.5391,12.6025,12.4303,12.5935,36975
2008-12-31,12.7838,12.8745,12.6025,12.6932,21626
2009-01-05,12.8837,12.8837,12.6932,12.7657,6734
2009-01-06,12.8745,12.9199,12.7838,12.9018,71381
2009-01-07,13.0287,13.0287,12.6842,12.6842,32600
2009-01-08,12.7838,12.7838,12.4393,12.6207,15918
2009-01-09,12.53,12.648,12.5118,12.5118,35927
2009-01-12,12.6025,12.6025,12.2852,12.2852,91830
2009-01-13,12.3305,12.3305,12.113,12.1493,19464
2009-01-14,12.1221,12.2399,12.0223,12.1493,350228
2009-01-15,12.1493,12.1493,11.7957,11.8772,150904
2009-01-16,11.9771,11.9771,11.7957,11.85,10126
2009-01-19,11.8137,11.8137,11.3695,11.4783,47709
2009-01-20,11.6143,11.6414,11.2426,11.3151,42772
2009-01-21,10.626,11.1972,10.5988,11.1519,37550
2009-01-22,11.2789,11.2789,10.8708,10.9796,4969
2009-01-23,11.1066,11.1066,10.4718,10.7438,38374
2009-01-26,10.8255,10.8255,10.4356,10.5172,8041
2009-01-27,10.5535,10.6442,10.4628,10.5172,6674
2009-01-28,10.5172,10.5172,10.4175,10.4265,35947
2009-01-29,10.4265,10.5172,10.1183,10.336,32179
2009-01-30,10.2453,10.2905,10.0729,10.2271,3683
2009-02-02,10.2453,10.2453,9.9823,9.9913,10129
2009-02-03,9.9823,10.0185,9.5199,9.7194,212020
2009-02-04,9.6106,10.1546,9.4293,10.1546,349234
2009-02-05,10.1727,11.6778,10.0276,11.3604,24975
2009-02-06,11.7957,12.6932,11.7957,12.5935,40028
2009-02-09,12.6932,13.1465,12.6842,13.1465,66712
2009-02-10,13.1465,13.3189,12.7204,13.1465,33516
2009-02-11,12.9652,13.1013,12.6932,12.7113,67467
2009-02-12,12.6932,12.9199,12.4393,12.7838,11371
2009-02-13,12.6932,13.1465,12.6932,13.1013,15427
2009-02-16,13.1375,13.5002,13.1375,13.3279,68523
2009-02-17,13.1919,13.1919,12.2852,12.6932,33315
2009-02-18,12.376,12.6932,12.2128,12.6025,47842
2009-02-19,12.6932,12.8745,12.5118,12.6932,62402
2009-02-20,12.7838,12.7838,12.5118,12.6932,71067
2009-02-23,12.5118,12.7023,12.5118,12.5664,111314
2009-02-24,12.6025,12.6932,12.5664,12.6932,5991
2009-02-25,12.6932,13.0559,12.6932,13.0559,18816
2009-02-26,13.0559,13.1465,12.8745,13.1465,11120
