Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,4.6971,4.7389,4.6971,4.7161,25065
2008-01-03,4.7009,4.7009,4.4924,4.6213,97318
2008-01-04,4.5607,4.5834,4.5113,4.5493,619773
2008-01-07,4.3976,4.4356,4.3711,4.3711,76960
2008-01-08,4.2952,4.3598,4.246,4.3598,498894
2008-01-09,4.2952,4.2952,4.0753,4.0753,2024195
2008-01-10,3.9805,4.0716,3.9805,4.0185,252337
2008-01-11,3.9919,4.0565,3.9919,4.0261,132835
2008-01-14,4.0261,4.0261,3.6584,3.8669,585187
2008-01-15,3.829,3.9427,3.6963,3.8138,276208
2008-01-16,3.6698,3.6698,3.4575,3.5636,705453
2008-01-17,3.5939,3.6394,3.4689,3.5257,218766
2008-01-18,3.5029,3.7532,3.4537,3.5447,194639
2008-01-21,3.5067,3.5674,3.4877,3.5447,365842
2008-01-22,3.4119,3.5825,3.3741,3.5636,201774
2008-01-23,3.6584,3.791,3.6394,3.7152,168371
2008-01-24,3.81,4.155,3.81,4.0943,84221
2008-01-25,4.155,4.3218,3.9805,4.2574,532232
2008-01-28,4.1701,4.1701,3.9237,4.0033,74226
2008-01-29,4.3218,4.3218,4.1323,4.2195,121903
2008-01-30,4.2195,4.3218,4.1512,4.1512,73060
2008-01-31,4.0565,4.1285,3.8518,3.9048,111027
2008-02-01,3.9995,4.0147,3.848,3.848,555377
2008-02-04,4.0185,4.0375,3.9427,3.9579,58082
2008-02-05,3.973,3.973,3.791,3.829,359560
2008-02-06,3.7076,3.829,3.6811,3.7721,67303
2008-02-07,3.829,3.829,3.7228,3.7494,42760
2008-02-08,3.7721,3.7721,3.6698,3.7,201424
2008-02-11,3.791,3.8669,3.7532,3.7986,20207
2008-02-12,3.7986,3.8631,3.7834,3.8593,118805
2008-02-13,3.8555,3.9162,3.8138,3.9162,26645
2008-02-14,3.9503,4.0375,3.8669,3.9162,29349
2008-02-15,3.848,3.9162,3.829,3.9162,53840
2008-02-18,3.8707,3.9427,3.8669,3.9389,18792
2008-02-19,3.9237,3.9237,3.848,3.8518,659753
2008-02-20,3.8669,3.8669,3.7532,3.8328,14325
2008-02-21,3.829,3.8669,3.829,3.829,80886
2008-02-22,3.791,3.829,3.7342,3.791,85216
2008-02-25,3.8669,3.8669,3.791,3.791,234230
2008-02-26,3.81,3.8858,3.7721,3.7721,96127
2008-02-27,3.791,3.829,3.7683,3.7683,30285
2008-02-28,3.7872,3.7948,3.7683,3.7683,220982
2008-02-29,3.7683,3.8062,3.7342,3.7342,39866
2008-03-03,3.7266,3.7266,3.609,3.6394,36008
2008-03-04,3.6849,3.6849,3.5901,3.6015,42575
2008-03-05,3.6204,3.6394,3.5484,3.6394,93042
2008-03-06,3.7494,3.7494,3.5636,3.6394,157748
2008-03-07,3.6015,3.6015,3.4915,3.5067,115264
2008-03-10,3.5105,3.5257,3.4915,3.5029,15415
2008-03-11,3.5067,3.6128,3.5067,3.575,128819
2008-03-12,3.6546,3.8252,3.6546,3.7645,144947
2008-03-13,3.5219,3.7038,3.5219,3.6204,211517
2008-03-14,3.6356,3.7721,3.6204,3.7721,98113
2008-03-17,3.7114,3.7114,3.5712,3.628,54240
2008-03-18,3.6774,3.7683,3.5067,3.7683,45301
2008-03-19,3.7759,3.829,3.7532,3.791,375165
2008-03-20,3.7834,3.7872,3.7152,3.7796,267974
2008-03-25,3.829,3.9427,3.829,3.8442,401466
2008-03-26,3.9048,3.9048,3.8593,3.8858,79383
2008-03-27,3.8252,3.8858,3.8252,3.8858,193639
2008-03-28,3.8707,3.9427,3.8707,3.8858,213446
2008-03-31,3.8707,3.8972,3.8593,3.8707,127630
2008-04-01,3.882,3.882,3.6849,3.8062,131286
2008-04-02,3.8782,3.8782,3.81,3.829,212976
2008-04-03,3.829,3.8631,3.8214,3.829,55545
2008-04-04,3.8138,3.8366,3.8138,3.829,102888
2008-04-07,3.8062,3.8934,3.8062,3.8745,213632
2008-04-08,3.8669,3.882,3.8442,3.8669,21363
2008-04-09,3.848,3.8782,3.848,3.8745,55726
2008-04-10,3.8858,3.9768,3.8858,3.9048,113005
2008-04-11,3.9313,3.9805,3.8745,3.8745,154152
2008-04-14,3.8176,3.9048,3.791,3.8328,76946
2008-04-15,3.829,3.8593,3.8024,3.8518,22785
2008-04-16,3.8858,3.8858,3.8328,3.848,42706
2008-04-17,3.848,3.8745,3.81,3.8214,30280
2008-04-18,3.8518,3.8518,3.791,3.829,53691
2008-04-21,3.7986,3.81,3.791,3.7986,130240
2008-04-22,3.7608,3.791,3.6546,3.6774,126457
2008-04-23,3.5788,3.6774,3.5788,3.6584,211064
2008-04-24,3.609,3.7038,3.609,3.6774,22405
2008-04-25,3.6394,3.7266,3.6394,3.7152,136020
2008-04-28,3.738,3.7532,3.6811,3.6887,18590
2008-04-29,3.6887,3.829,3.6887,3.8176,41055
2008-04-30,3.829,3.848,3.757,3.829,30780
2008-05-05,3.8518,3.9237,3.8518,3.8782,57348
