Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-11-09,45.8483,48.7844,45.6224,48.7844,12272813
2010-11-10,48.7844,48.7844,46.9775,46.9775,1479668
2010-11-12,46.1645,48.423,45.1708,48.423,1821244
2010-11-15,48.2423,48.6037,46.9775,47.5196,419509
2010-11-16,47.2486,47.4293,46.2548,46.2548,389062
2010-11-17,46.2097,46.9775,45.8031,45.8031,466531
2010-11-18,46.5259,47.0679,46.1193,46.1193,285087
2010-11-19,46.5259,46.6162,46.029,46.2548,399806
2010-11-22,46.2548,46.5259,46.1193,46.3,380765
2010-11-23,46.2548,46.2548,45.3063,45.3063,328066
2010-11-24,45.6224,46.0741,45.3063,46.0741,388259
2010-11-25,46.2097,46.3,45.4418,45.9838,90023
2010-11-26,45.9838,45.9838,45.0894,45.7127,437626
2010-11-29,45.3515,45.3966,44.9359,45.0352,176082
2010-11-30,44.719,45.6224,44.719,45.6224,108745
2010-12-01,45.6224,47.1582,45.3515,47.0679,240513
2010-12-02,47.0679,47.2938,46.7065,47.0227,255084
2010-12-03,46.9775,47.0679,46.5259,46.7065,63328
2010-12-06,46.6614,46.7065,45.9838,46.1645,56076
2010-12-07,45.8031,46.0741,45.532,45.8483,90368
2010-12-08,45.6676,46.1645,45.532,46.1645,352847
2010-12-09,46.0741,46.2548,45.7127,46.0741,144383
2010-12-10,46.0741,46.1645,45.8031,45.9386,54735
2010-12-13,45.9838,46.5259,45.9838,46.5259,85368
2010-12-14,46.1645,46.4355,45.7127,45.7127,74702
2010-12-15,45.6676,45.8031,45.5772,45.7579,109579
2010-12-16,45.7127,45.7579,45.3966,45.7127,77026
2010-12-17,45.532,45.6224,45.3515,45.3966,59320
2010-12-20,45.3966,45.6224,45.0804,45.6224,198364
2010-12-21,45.3063,45.3966,45.1708,45.3515,99348
2010-12-22,45.1708,45.4418,45.1617,45.2611,359055
2010-12-23,45.1708,45.2611,45.0894,45.0894,123279
2010-12-27,45.1075,45.1617,44.5474,44.5835,123066
2010-12-28,44.5383,44.719,44.0867,44.448,263020
2010-12-29,44.2674,45.1527,44.2674,45.1527,121042
2010-12-30,45.1708,45.1708,44.8094,44.8545,56451
2010-12-31,44.8586,45.0317,43.9932,44.2721,91713
2011-01-03,44.3576,44.6287,44.1047,44.5383,124675
2011-01-04,44.5383,45.2159,44.5383,44.972,146770
2011-01-05,44.9359,44.972,44.1137,44.719,126303
2011-01-07,44.448,44.4931,43.8879,43.9241,219895
2011-01-10,43.8156,43.8427,42.1172,42.596,166790
2011-01-11,42.4153,43.3007,42.4153,43.1832,170155
2011-01-12,43.3639,44.439,43.3187,44.439,175524
2011-01-13,44.2674,44.3576,43.8156,43.8156,402671
2011-01-14,43.8156,44.448,43.6349,44.448,110926
2011-01-17,44.2674,44.2674,43.3639,43.6982,73508
2011-01-18,43.6349,43.9511,43.2735,43.8969,89810
2011-01-19,43.6982,43.7253,43.3639,43.6349,146736
2011-01-20,43.3639,43.5897,43.2735,43.3639,116695
2011-01-21,43.3639,43.7253,43.3639,43.7253,55841
2011-01-24,43.409,43.5897,42.9664,43.3097,133079
2011-01-25,43.1832,43.4994,43.138,43.4994,115111
2011-01-26,43.4542,44.0776,43.3097,43.8156,99461
2011-01-27,43.8337,44.2674,43.8156,44.0867,65395
2011-01-28,44.0867,44.5654,43.8156,44.0867,73968
2011-01-31,43.7336,43.7432,43.3682,43.522,83259
2011-02-01,43.373,43.5897,43.373,43.5356,85833
2011-02-02,43.5446,43.6168,43.4361,43.6168,88977
