Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,6.0123,6.2363,5.9512,6.2363,2362546
2008-01-03,6.1222,6.2607,6.11,6.2363,4062044
2008-01-04,6.2526,6.2893,6.11,6.1386,2590808
2008-01-07,5.9471,6.0041,5.8778,5.9064,402527
2008-01-08,5.7883,5.9878,5.7883,5.9878,3802413
2008-01-09,5.8249,5.886,5.6742,5.8412,3682535
2008-01-10,5.7639,5.8046,5.7068,5.7068,2580217
2008-01-11,5.7068,5.7434,5.5439,5.5439,4234695
2008-01-14,5.4176,5.4705,5.1447,5.4339,4088758
2008-01-15,5.3564,5.6008,5.332,5.3932,4673107
2008-01-16,4.9288,5.332,4.9288,5.2547,8857442
2008-01-17,5.3158,5.3768,5.0957,5.0957,5455486
2008-01-18,5.1284,5.2098,4.8676,4.9288,5184039
2008-01-21,4.8066,4.9084,4.4644,4.6437,2690379
2008-01-22,4.3422,4.8881,4.3381,4.6844,1965913
2008-01-23,4.8921,4.9288,4.5337,4.6722,1794612
2008-01-24,4.8881,4.9288,4.8066,4.8473,1471632
2008-01-25,4.9695,5.0103,4.8106,4.8881,720121
2008-01-28,4.8066,4.8676,4.6844,4.7659,1435382
2008-01-29,4.8066,4.9776,4.7251,4.9288,2203612
2008-01-30,4.9939,5.0917,4.8269,4.9898,1450359
2008-01-31,4.8514,4.9532,4.8473,4.8881,2057588
2008-02-01,4.9532,5.0266,4.8881,4.9695,2241023
2008-02-04,5.0713,5.1569,5.0632,5.0917,591963
2008-02-05,5.0306,5.0836,4.9288,4.9776,775220
2008-02-06,4.8106,5.0062,4.8106,5.0062,488592
2008-02-07,5.0103,5.0103,4.6925,4.8514,999117
2008-02-08,4.9939,5.0103,4.9695,5.0062,1520599
2008-02-11,5.051,5.2302,5.0103,5.1406,1761948
2008-02-12,5.2139,5.2547,5.1528,5.1935,1576712
2008-02-13,5.1935,5.2302,5.1406,5.1935,1398991
2008-02-14,5.2424,5.275,5.112,5.112,817604
