Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,8.81,8.85,8.5,8.58,46734
2008-01-03,8,8.5,8,8.45,153255
2008-01-04,8.44,9.19,8.3,8.51,307899
2008-01-07,9.3,9.45,8.9,9.21,629914
2008-01-08,9.48,9.6,8.77,8.91,291997
2008-01-09,8.6,8.6,8.02,8.19,236700
2008-01-10,8.35,8.38,7.42,7.46,224395
2008-01-11,7.32,7.9,7.3,7.5,251311
2008-01-14,7.44,7.6,6.92,7.4,297181
2008-01-15,7.4,7.6,6.86,6.86,183524
2008-01-16,6.22,6.76,5.9,6.25,448723
2008-01-17,6.69,6.7,6.1,6.5,274392
2008-01-18,6.21,7.69,6.21,7.69,710367
2008-01-21,7.1,7.89,6.99,7.13,660711
2008-01-22,6.6,7.26,6.57,7.1,823599
2008-01-23,7.58,7.6,6.85,7.11,360704
2008-01-24,7.5,8.85,7.4,8.5,903066
2008-01-25,8.95,9.35,8.22,8.7,874524
2008-01-28,8.3,8.42,7.9,7.9,360093
2008-01-29,8.41,8.5,7.68,7.85,1062091
2008-01-30,7.8,7.99,7.27,7.42,1148641
2008-01-31,7.48,7.58,6.97,7.15,411945
2008-02-01,8.4,8.4,7.69,7.81,1371403
2008-02-04,7.99,7.99,7.5,7.51,426711
2008-02-05,7.26,7.4,7.02,7.03,522319
2008-02-06,6.7,7.26,6.7,6.96,635921
2008-02-07,6.73,6.75,5.46,5.59,1498915
2008-02-08,4.92,5.55,4.74,4.8,982540
2008-02-11,4.8,5.62,4.55,5.2,1365617
2008-02-12,5.4,5.45,4.99,5.05,633508
2008-02-13,5.01,5.01,4.75,4.8,534630
2008-02-14,4.88,4.95,4.7,4.89,243245
2008-02-15,4.8,4.8,4.6,4.65,154103
2008-02-18,4.65,4.78,4.52,4.59,116719
2008-02-19,4.6,4.65,4.23,4.38,196068
2008-02-20,4.36,4.42,4.18,4.37,178774
2008-02-21,4.66,4.8,4.57,4.71,547035
2008-02-22,4.72,5.5,4.6,5.3,1579642
2008-02-25,5.4,5.94,5.4,5.59,1187342
2008-02-26,5.75,5.75,5,5.13,764004
2008-02-27,5.25,5.25,4.8,4.89,426640
2008-02-28,4.8,4.9,4.61,4.63,241161
2008-02-29,4.65,5.04,4.51,4.83,366910
2008-03-03,4.52,4.65,4.51,4.57,135367
2008-03-04,4.65,4.79,4.55,4.63,93363
2008-03-05,4.63,4.79,4.55,4.7,119012
2008-03-06,4.75,4.8,4.67,4.67,49634
2008-03-07,4.54,4.65,4.46,4.58,78508
2008-03-10,4.57,4.6,4.35,4.4,171837
2008-03-11,4.4,4.56,4.4,4.48,189968
2008-03-12,4.59,4.59,4.44,4.49,177778
2008-03-13,4.2,4.32,3.92,3.92,613472
2008-03-14,3.92,4.04,3.3,3.56,367463
2008-03-17,3.49,3.49,3.21,3.25,220522
2008-03-18,3.3,3.54,3.3,3.39,211335
2008-03-19,3.48,3.48,3.23,3.24,88720
2008-03-20,3.22,3.26,3.04,3.11,108001
2008-03-25,3.18,3.2,3.05,3.1,72893
2008-03-26,3.11,3.11,2.97,2.97,81327
2008-03-27,2.94,2.99,2.8,2.88,224332
2008-03-28,2.9,3.41,2.9,3.3,334249
2008-03-31,3.29,3.35,3.11,3.28,118450
2008-04-01,3.3,3.3,3.15,3.2,85451
