Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,8.3549,8.547,8.1802,8.3549,55589
2008-01-03,8.1919,8.3549,8.0405,8.2676,70708
2008-01-04,8.2676,8.2676,7.8309,8.0347,72017
2008-01-07,7.8134,8.5587,7.5805,8.0638,315538
2008-01-08,8.2676,8.2734,7.598,7.7144,341416
2008-01-09,7.5689,7.5689,6.911,7.1613,429376
2008-01-10,7.1497,7.1613,6.4394,6.5558,538695
2008-01-11,6.4627,6.8411,6.288,6.6315,564264
2008-01-14,6.55,6.6082,6.0668,6.6024,868017
2008-01-15,6.5209,6.8702,6.1774,6.2298,527230
2008-01-16,5.7058,5.9154,5.2691,5.8746,1346998
2008-01-17,6.1192,6.288,5.7174,5.9387,714535
2008-01-18,5.7349,6.0842,5.7174,5.7756,1148733
2008-01-21,5.5078,5.6708,5.1236,5.1236,558412
2008-01-22,4.6578,4.9489,4.6112,4.7742,1591310
2008-01-23,5.0595,5.0595,4.5413,4.6869,1027534
2008-01-24,4.9372,5.176,4.8033,5.0653,806419
2008-01-25,5.3564,5.4147,5.1236,5.2749,1004335
2008-01-28,5.0071,5.502,4.9838,5.1818,422462
2008-01-29,5.3681,5.4729,5.2982,5.4438,334627
2008-01-30,5.4554,5.7,5.3564,5.4088,348863
2008-01-31,5.4438,5.5253,5.0129,5.2051,251722
2008-02-01,5.3506,5.3797,5.2109,5.3273,149343
2008-02-04,5.403,5.4962,5.2691,5.2982,196179
2008-02-05,5.24,5.2458,4.9198,4.9489,260722
2008-02-06,4.6869,5.0071,4.6112,4.9198,482196
2008-02-07,4.8616,4.9372,4.6403,4.716,446517
2008-02-08,4.7975,4.8499,4.7218,4.7626,138921
2008-02-11,4.7975,4.8616,4.716,4.7218,98904
2008-02-12,4.7975,4.8441,4.7451,4.7917,201236
2008-02-13,4.7917,4.9198,4.7451,4.8557,236264
2008-02-14,5.0653,5.1061,4.9081,4.914,267080
2008-02-15,4.8907,4.9489,4.815,4.914,144560
2008-02-18,4.8965,5.0362,4.8965,4.914,60133
2008-02-19,4.8616,4.8965,4.8033,4.8616,70133
2008-02-20,4.8208,4.8208,4.7276,4.7684,151686
2008-02-21,4.8499,4.8674,4.7859,4.8033,178574
2008-02-22,4.8616,5.0246,4.8033,4.9896,92346
2008-02-25,5.0188,5.3099,5.0188,5.1876,431638
2008-02-26,5.304,5.4729,5.1527,5.1876,872540
2008-02-27,5.2458,5.3506,5.1003,5.2051,122852
2008-02-28,5.1876,5.3273,5.1876,5.3273,308458
2008-02-29,5.3564,5.3564,5.1236,5.2458,132144
