Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,70.2261,73.1121,70.2261,72.6312,19670
2008-01-03,73.1121,73.1121,70.2261,71.573,144960
2008-01-04,70.7072,73.1603,70.7072,71.1881,56560
2008-01-07,71.1881,71.6692,69.4565,69.8414,137130
2008-01-08,69.2641,69.8414,68.2059,68.3021,49160
2008-01-09,68.3021,68.3021,63.2998,64.8389,35280
2008-01-10,65.4161,65.4161,59.6441,59.6441,80050
2008-01-11,61.52,61.52,58.4898,58.7783,176920
2008-01-14,60.4138,60.4138,57.3353,58.2973,151380
2008-01-15,58.6821,58.6821,57.4796,57.7201,74820
2008-01-16,53.4873,57.624,53.4873,54.8341,793300
2008-01-17,56.662,56.662,54.738,55.8442,139520
2008-01-18,55.7,57.7201,54.9303,57.0467,48340
2008-01-21,57.2391,57.2391,54.8341,54.8341,43980
2008-01-22,50.2165,59.1631,50.2165,59.1631,24070
2008-01-23,60.3176,62.0491,55.7961,60.1251,53720
2008-01-24,63.1074,63.1074,61.3758,62.5301,130400
2008-01-25,62.5301,62.5301,60.6061,60.6061,7970
2008-01-28,60.4138,60.4138,57.7201,57.7682,12840
2008-01-29,59.9327,59.9327,58.5859,58.7783,3020
2008-01-30,59.9327,60.5099,59.2593,59.2593,6610
2008-01-31,59.2112,59.2112,55.7961,58.0569,150390
2008-02-01,58.2973,58.8745,57.7201,58.2011,3060
2008-02-04,58.9227,59.2593,58.2011,58.2011,16480
2008-02-05,58.2492,58.6821,57.7201,57.7201,17640
2008-02-06,57.1429,57.1429,55.5075,55.7,5060
2008-02-07,57.1429,57.1911,54.8341,55.7,6390
2008-02-08,56.2771,56.2771,55.1709,55.4113,2580
2008-02-11,55.4113,56.2771,55.4113,55.9404,2000
2008-02-12,56.2771,57.7201,55.9404,57.7201,137620
2008-02-13,58.6821,60.6061,58.2011,60.4138,41010
2008-02-14,61.5681,62.0491,60.558,60.8467,2640
2008-02-15,60.4618,61.0871,60.4618,60.6061,71150
2008-02-18,60.6061,60.7985,60.4138,60.6061,1010
