Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,13.29,14.32,13.29,13.8,2492
2008-01-03,13.8,13.8,13.23,13.55,6461
2008-01-04,13.55,13.55,13.55,13.55,1393
2008-01-07,13.29,14,13.29,13.65,7478
2008-01-08,14,14,13.63,13.85,123
2008-01-09,14.08,14.08,13.7,13.8,397
2008-01-10,13.68,13.79,13.1,13.43,1005
2008-01-11,13.8,13.8,13.44,13.44,547
2008-01-14,13.5,13.5,11.87,12.99,2771
2008-01-15,12.99,12.99,12.67,12.67,1040
2008-01-16,12.1,12.3,11.8,12.1,5155
2008-01-17,12.1,12.39,12.09,12.39,1720
2008-01-18,12.99,12.99,12.37,12.65,2110
2008-01-21,12.99,12.99,12.67,12.67,229
2008-01-22,12.99,12.99,12.99,12.99,15
2008-01-23,12.99,12.99,12.99,12.99,30
2008-01-24,12.99,12.99,12.67,12.67,1185
2008-01-25,12.99,12.99,12.99,12.99,10
2008-01-28,12.99,12.99,12.99,12.99,20
2008-01-29,12.99,12.99,12.99,12.99,970
2008-01-30,12.99,12.99,12.99,12.99,20
2008-01-31,13.2,13.2,12.89,12.89,340
2008-02-01,13.2,13.8,13.2,13.8,26010
2008-02-04,13.4,13.52,13,13,2785
2008-02-05,13.19,13.19,13.19,13.19,20
2008-02-06,13.19,13.19,13.19,13.19,40
2008-02-07,13.19,13.19,13.19,13.19,20
2008-02-08,13.19,13.19,13.19,13.19,10
2008-02-11,13.19,13.75,13.01,13.01,9126
2008-02-12,13.78,13.78,13.39,13.39,423
2008-02-13,13.41,13.8,13.41,13.41,8197
2008-02-14,13.77,13.77,13.77,13.77,10
2008-02-15,13.77,13.77,13.77,13.77,30
2008-02-18,13.77,13.77,13.77,13.77,4041
2008-02-19,13.78,13.78,13.65,13.65,20020
2008-02-20,13.78,13.78,13.77,13.77,1117
2008-02-21,13.78,13.78,13.78,13.78,70
2008-02-22,13.78,13.8,13.78,13.8,4097
2008-02-25,13.7,14.1,13.7,14.1,29590
2008-02-26,14.5,14.5,14.08,14.08,3443
2008-02-27,14,14,14,14,50
2008-02-28,14,14,14,14,250
2008-02-29,14,14.05,14,14,11325
2008-03-03,14.03,14.15,14,14,63190
2008-03-04,14.15,14.15,14.1,14.1,3068
2008-03-05,14.15,14.15,14.1,14.1,56
2008-03-06,14.1,14.1,14.06,14.06,130
2008-03-07,14.1,14.1,13.82,13.95,4170
2008-03-10,13.94,13.94,13.94,13.94,36
2008-03-11,14.1,14.13,14.1,14.13,3020
2008-03-12,14.1,14.1,14.1,14.1,370
2008-03-13,14.1,14.1,14.1,14.1,395
2008-03-14,14.1,14.1,14.1,14.1,420
2008-03-17,14.1,14.18,13.8,14.18,10185
2008-03-18,14.18,14.18,14.18,14.18,340
2008-03-19,14.2,14.2,14.18,14.18,250
2008-03-20,14.15,14.15,14.15,14.15,280
2008-03-25,14.15,14.15,14.15,14.15,30
2008-03-26,14.15,14.15,14.15,14.15,430
2008-03-27,14.15,15.48,13.9,13.9,18259
2008-03-28,14.95,14.95,14,14,6781
2008-03-31,14.46,14.46,14.11,14.35,1162
2008-04-01,14.34,14.34,14.15,14.15,156
2008-04-02,14.34,14.34,14.05,14.05,220
2008-04-03,14.34,14.34,14,14,220
