Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,59.2773,60.0022,57.9947,57.9947,573219
2008-01-03,58.3851,60.3368,57.437,59.5561,837879
2008-01-04,61.3405,62.0656,59.6677,59.6677,2259461
2008-01-07,59.2215,60.1695,58.7197,58.8869,1161050
2008-01-08,59.3888,61.1175,58.4966,61.0618,3260523
2008-01-09,61.3405,61.3964,59.2773,59.6677,3161446
2008-01-10,59.7233,60.1138,57.7716,58.8312,1192223
2008-01-11,58.9985,59.3888,57.7159,58.6082,1410655
2008-01-14,58.8869,59.5004,57.9947,58.5524,1420270
2008-01-15,58.1619,58.8869,55.7641,56.043,1397871
2008-01-16,53.199,54.3143,49.7138,52.9759,2987586
2008-01-17,53.9518,54.3143,51.3587,52.6972,2257878
2008-01-18,51.9164,53.4779,50.829,53.1153,2027539
2008-01-21,51.5819,51.8328,48.0129,48.3754,2039076
2008-01-22,45.392,49.5186,45.392,48.5705,2696763
2008-01-23,50.1877,50.1877,45.9776,47.9571,3314789
2008-01-24,48.5149,50.0761,48.4033,49.6301,2044702
2008-01-25,50.5781,52.3347,50.4665,51.6376,2617468
2008-01-28,50.3272,51.1916,49.2397,50.132,1328980
2008-01-29,50.7454,52.6692,50.7454,52.3068,1556478
2008-01-30,52.6972,52.9201,50.829,52.1394,1282064
2008-01-31,51.8049,52.1116,49.6858,50.3272,1028720
2008-02-01,52.0001,54.0912,51.8885,53.422,3455910
2008-02-04,55.8199,56.6006,53.8682,54.8162,1211937
2008-02-05,54.8162,55.2901,52.3904,52.3904,1333224
2008-02-06,51.3587,53.0316,50.4665,53.0316,1353685
2008-02-07,53.0875,53.422,50.8569,52.4183,1093531
2008-02-08,54.1471,55.4853,53.2547,55.4853,2674643
2008-02-11,55.4016,56.2661,54.8441,55.2065,1955122
2008-02-12,56.4334,57.7159,55.8757,57.7159,1954787
2008-02-13,57.1025,59.2215,56.5449,58.5524,1719772
2008-02-14,59.6677,60.6713,57.9389,58.8312,2691188
2008-02-15,58.5524,59.4445,57.9947,58.4966,1587220
2008-02-18,59.11,60.3926,59.11,59.7233,1349277
