Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,52.6633,53.8649,52.249,53.8649,86575
2008-01-03,54.5692,54.5692,52.9534,54.445,863
2008-01-04,54.445,54.445,52.6219,54.0306,1519
2008-01-07,52.6219,52.7047,50.1357,51.3788,13695
2008-01-08,51.3788,51.3788,49.8456,49.8456,121019
2008-01-09,49.7215,49.7215,48.8928,49.6801,121028
2008-01-10,49.6385,49.6385,45.9924,46.4067,81263
2008-01-11,45.7438,45.9924,43.5892,44.8321,5010
2008-01-14,44.5835,48.0641,41.766,46.4067,44634
2008-01-15,47.2354,47.2354,43.9206,45.4536,1171
2008-01-16,43.8792,43.9206,41.476,41.476,24247
2008-01-17,45.5365,45.5365,41.8489,43.7962,1600
2008-01-18,44.2935,44.2935,41.5174,42.3462,3267
2008-01-21,43.8792,44.2935,40.1916,41.6004,1738
2008-01-22,42.9676,43.092,42.8847,43.0091,671
2008-01-23,46.531,46.531,41.8489,41.9318,2710
2008-01-24,45.4123,45.4123,41.8489,42.4703,4302
2008-01-25,43.5062,43.6306,41.8489,43.5062,1293
2008-01-28,43.4649,43.5062,41.8489,42.7191,1474
2008-01-29,42.8019,44.2935,42.8019,44.2522,1205
2008-01-30,44.2522,44.2522,44.2107,44.2522,616
2008-01-31,44.2935,48.0641,44.2522,48.0641,6779
2008-02-01,47.5668,47.6498,45.6608,46.821,4790
2008-02-04,46.821,48.3956,46.7796,48.3956,289
2008-02-05,48.3541,48.3541,44.8321,46.4067,656
2008-02-06,45.5781,45.5781,43.5892,43.672,2197
2008-02-07,46.1167,46.1167,41.8489,43.5062,2802
2008-02-08,46.1167,46.1167,42.2632,42.2632,9943
2008-02-11,42.2632,42.2632,41.8489,42.2632,2703
2008-02-12,44.0863,44.0863,41.4346,41.4346,5643
2008-02-13,41.476,44.5007,41.4346,42.139,61800
2008-02-14,43.4234,43.4234,42.2632,42.2632,1337
2008-02-15,42.9262,44.335,42.4703,42.4703,1988
2008-02-18,43.8378,43.8378,42.4703,43.3405,1197
2008-02-19,43.8378,43.8378,43.755,43.755,2
2008-02-20,43.4649,43.4649,41.4346,42.2218,3015
2008-02-21,43.0091,43.755,41.6833,41.6833,39734
2008-02-22,42.2632,42.2632,41.7245,42.2632,429
2008-02-25,42.9676,42.9676,40.6058,40.6058,2439
2008-02-26,41.4262,41.6833,40.6058,41.6833,1383
2008-02-27,41.8075,42.1803,41.8075,42.1803,12
2008-02-28,42.5947,43.092,42.2632,43.0505,33936
2008-02-29,43.092,43.092,41.476,43.092,3951
2008-03-03,41.2688,41.4346,40.4401,41.3516,19363
2008-03-04,42.2218,42.2218,40.6058,41.3516,393
2008-03-05,40.6058,42.0975,40.6058,42.0975,1388
2008-03-06,42.1803,43.0091,41.4346,43.0091,3272
2008-03-07,42.6775,43.5062,41.6004,43.5062,983
2008-03-10,43.4649,43.4649,41.9732,43.4234,524
2008-03-11,43.2577,43.9206,43.2577,43.8792,903
2008-03-12,43.9206,45.5781,42.8019,43.4649,1780
2008-03-13,43.9206,43.9206,43.092,43.9206,568
2008-03-14,43.9206,44.5007,43.9206,44.5007,1209
2008-03-17,44.2522,44.2522,42.2632,43.5062,74134
2008-03-18,43.8792,43.8792,43.4649,43.5062,75
2008-03-19,43.4649,43.8792,41.6004,43.5062,479
2008-03-20,43.5062,43.5062,41.5174,43.4649,177
2008-03-25,43.5062,43.8378,43.092,43.7962,851
2008-03-26,43.7962,44.335,43.755,44.335,1540
2008-03-27,44.335,45.0808,44.335,45.0808,234
2008-03-28,45.1637,45.5781,43.5062,43.5062,4532
2008-03-31,45.4123,47.8568,43.5477,47.8568,16288
2008-04-01,48.0641,48.0641,44.7493,44.9979,684
2008-04-02,46.9868,46.9868,46.9868,46.9868,35
2008-04-03,45.4951,45.4951,44.9151,44.9151,690
2008-04-04,45.8266,45.8266,44.9565,45.8266,95
2008-04-07,46.7796,46.7796,45.2465,45.288,302
2008-04-08,46.1995,46.1995,44.9979,44.9979,192
2008-04-09,45.5781,45.5781,44.8321,44.8321,214
2008-04-10,45.5781,45.5781,44.7493,45.4951,466
2008-04-11,45.4951,45.6195,45.4951,45.5781,1331
2008-04-14,45.5781,45.5781,44.8321,45.3293,786
2008-04-15,45.3293,45.5781,45.1637,45.5781,48840
2008-04-16,45.9924,46.821,45.1637,46.6139,2231
2008-04-17,46.4067,49.7215,46.4067,48.2297,3648
2008-04-18,49.5972,49.5972,48.0641,48.0641,110
2008-04-21,48.0641,48.0641,44.7907,45.7852,1512
2008-04-22,46.7382,46.7382,43.9622,44.7079,85493
2008-04-23,44.0863,46.241,43.755,43.755,24118
2008-04-24,45.7438,45.7438,43.7962,45.4951,405
2008-04-25,45.1637,48.0641,44.9979,46.0751,1126
2008-04-28,46.241,48.0641,46.241,48.0226,375
2008-04-29,48.0641,49.5557,48.0641,48.0641,3559
2008-04-30,49.5143,49.5143,46.6553,48.8928,2262
2008-05-05,49.7215,49.7215,48.8928,48.8928,17
2008-05-06,48.7269,49.5972,47.9811,48.8928,2162
2008-05-07,49.6801,49.6801,47.2354,49.5972,1019
2008-05-08,48.0641,48.6443,47.8154,48.4784,796
2008-05-09,48.4784,48.4784,48.0641,48.3956,52
2008-05-12,49.6385,49.6385,48.2297,48.8928,969
2008-05-13,48.8928,50.1357,48.4784,48.4784,17702
2008-05-14,51.7931,51.7931,47.2354,47.2354,6474
2008-05-15,49.5143,49.5143,44.7907,45.3293,5605
