Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,49.7,49.7,49.1,49.58,7758
2008-01-03,49.4,49.4,48.2,48.85,7992
2008-01-04,48.8,49.9,48.35,48.8,22558
2008-01-07,46.5,48.5,46.5,47.12,23920
2008-01-08,47.1,47.5,45,46.5,31416
2008-01-09,45.5,45.5,42.2,44.1,83137
2008-01-10,43.81,44.2,41.2,42.3,52731
2008-01-11,41,42.19,40.22,40.74,62422
2008-01-14,40.09,41.05,38.1,39.15,207121
2008-01-15,40.01,40.02,36.01,36.29,86555
2008-01-16,35,35.5,32,33,313798
2008-01-17,34.02,35,32.05,32.8,318864
2008-01-18,32.5,34.45,32,34.44,156539
2008-01-21,33.2,33.95,33,33.02,99512
2008-01-22,29.8,34.79,29,34.79,168463
2008-01-23,36,36.49,34,34.55,89405
2008-01-24,36,37.6,35.51,37.45,384568
2008-01-25,38.5,39.4,37.03,37.8,84431
2008-01-28,37.2,37.65,35.27,36.2,67262
2008-01-29,37.3,37.7,36.8,37.67,32322
2008-01-30,37.7,37.89,37.3,37.51,53679
2008-01-31,37.52,37.52,36.51,36.53,72188
2008-02-01,37.11,37.6,36.51,36.79,57675
2008-02-04,37.89,37.89,36.81,36.82,22407
2008-02-05,36.82,36.9,35.53,35.6,88490
2008-02-06,34.22,36.36,34.03,35.6,151843
2008-02-07,35.9,35.95,35.03,35.31,16779
2008-02-08,36.1,36.1,35,35.35,361025
2008-02-11,35.6,36.5,35.45,36.03,38872
2008-02-12,36.59,36.97,36.01,36.96,19931
2008-02-13,36.85,39.5,36.5,39.44,33609
2008-02-14,40.9,41.5,38.53,38.61,35187
2008-02-15,38.61,38.99,37.51,37.6,12160
2008-02-18,37.5,38.39,37.5,38.2,184632
2008-02-19,38.15,38.15,37.51,38,17818
2008-02-20,37.57,37.98,37.51,37.7,27677
2008-02-21,38.6,38.95,38,38,14577
2008-02-22,38,38.45,37.8,37.81,10610
2008-02-25,38.6,38.6,37.8,37.89,164480
2008-02-26,38,38.45,38,38.25,230539
2008-02-27,38.3,38.58,38.3,38.42,27151
2008-02-28,38.6,38.95,38.6,38.92,79645
2008-02-29,38.98,38.98,37,37,37986
2008-03-03,34.25,36.48,34.25,35.9,76338
2008-03-04,35.31,36,34.26,34.92,16477
2008-03-05,34.3,35.19,34,34.31,28323
2008-03-06,34.52,34.52,33.9,34,42783
2008-03-07,34,34.09,33.01,34.09,26791
2008-03-10,34,34.09,33.3,33.35,18223
2008-03-11,33.5,33.83,33.35,33.43,55272
2008-03-12,34,34.2,33,33.52,19890
2008-03-13,33.25,33.4,32.11,32.11,18128
2008-03-14,32,32.65,31.6,31.81,9813
2008-03-17,30.3,31,30,30.25,24801
2008-03-18,30.23,31,30,30.15,22417
2008-03-19,30.8,30.8,29.6,30,20316
2008-03-20,29.7,30.49,29.5,30.47,23759
2008-03-25,31.5,31.65,30.5,30.5,20017
2008-03-26,30.85,30.85,29.94,30,25878
2008-03-27,30,30.6,30,30,26028
2008-03-28,30.19,30.19,29.98,30.06,36513
2008-03-31,30,30.98,29.91,30.83,20988
2008-04-01,30.9,31.9,30.75,31.9,209102
2008-04-02,32.79,34.75,32.4,34.5,121849
2008-04-03,35.2,35.5,33.1,33.7,102288
2008-04-04,34,34.34,33.1,33.51,40245
2008-04-07,33.88,34,32.83,33,50697
2008-04-08,33,33,31.5,31.61,31596
2008-04-09,31.26,32,31.24,31.8,25908
2008-04-10,31.8,31.8,30.8,31.49,48653
2008-04-11,31.88,31.88,30.48,30.51,36178
2008-04-14,30.13,30.28,29.75,30.2,27008
2008-04-15,30.11,30.4,29.15,29.99,34572
2008-04-16,30.49,30.49,29.25,30,27902
2008-04-17,30.45,30.45,29.53,29.71,59350
2008-04-18,29.95,29.97,29.7,29.85,235614
2008-04-21,30,30.1,29.36,29.36,16225
2008-04-22,28.05,28.65,26.75,27.15,56578
2008-04-23,26.25,27.45,25.25,26.35,50480
2008-04-24,26.35,27.9,26.2,27.33,43907
2008-04-25,28,28.8,27.51,28.76,25254
2008-04-28,28.86,29.15,28.83,28.97,18591
2008-04-29,28.91,29.5,28.55,29.2,25352
2008-04-30,29.57,29.57,28.7,28.99,10978
2008-05-05,29.39,29.39,28.7,29.01,9160
2008-05-06,29.8,29.8,28.97,29.01,15014
2008-05-07,29.09,30.94,29.01,30.5,86710
2008-05-08,30.21,31.2,29.9,30.7,19968
2008-05-09,30.4,30.4,29.95,30.05,9288
2008-05-12,30.45,30.83,30.16,30.31,28337
2008-05-13,30.78,30.78,30.31,30.4,14025
2008-05-14,30.4,30.68,29.96,30.3,22370
2008-05-15,30,30.2,29.9,30.05,23446
2008-05-16,30,31.95,29.89,31,125646
2008-05-19,30.75,30.75,30,30.18,78538
2008-05-20,29.85,30.18,29.2,29.2,7856
2008-05-21,29.19,29.92,28.29,29.44,11875
2008-05-23,29.79,31.1,28.9,31,137147
2008-05-26,31.05,32.06,30.8,31.99,29051
2008-05-27,31.95,32.6,31.39,32.2,12292
2008-05-28,32.2,34.2,31.7,33.5,46710
2008-05-29,33.5,34.53,32.91,33.99,39879
2008-05-30,34.22,34.53,33.8,34.36,93831
2008-06-02,33.7,33.98,32.6,33.4,12813
2008-06-03,32.89,33.3,32.4,33,31345
2008-06-04,32.8,33,32.05,32.05,4567
2008-06-05,31.9,32.48,31.1,31.1,9541
2008-06-06,31.05,32.4,31.05,31.49,17074
2008-06-09,31,31,29.71,29.79,95806
2008-06-10,29,29,27.33,27.34,20436
2008-06-11,27,27.92,27,27.4,59379
2008-06-12,27.5,27.73,27.45,27.5,101203
2008-06-13,27.49,27.89,27.3,27.5,541890
2008-06-16,28,29,28,28.15,141725
2008-06-17,28.5,28.51,27.7,28.1,108615
2008-06-18,28.2,28.2,27.02,27.05,15790
2008-06-19,26.9,26.9,25.7,25.99,43213
2008-06-20,26.3,26.5,25.8,26.27,83241
2008-06-23,26.2,26.45,25.72,25.85,22900
2008-06-24,26,26,25.6,25.9,30728
2008-06-25,25.98,25.98,25.7,25.84,23723
2008-06-26,26,26,25.85,25.85,25946
2008-06-27,26,26,25.5,25.6,20594
2008-06-30,25.99,25.99,24.51,24.96,59190
2008-07-01,23.05,24.9,23.05,24.1,112670
2008-07-02,24.09,24.09,23.61,23.69,81147
2008-07-03,23.3,25.63,22.61,24.1,124626
2008-07-04,25.1,25.1,23.81,24.15,62579
2008-07-07,24.15,24.15,23,23.5,17645
2008-07-08,22.96,23.49,22.96,23.3,20445
2008-07-09,23.3,24.48,23.3,23.8,165277
2008-07-10,23.22,23.28,22.9,23.05,80084
2008-07-11,23.1,23.1,21.1,21.5,61664
2008-07-14,22.5,22.5,20.53,20.89,23141
2008-07-15,20.5,20.5,19.7,19.75,69610
2008-07-16,19.01,19.02,18.06,18.55,78792
2008-07-17,18.96,19.6,18.58,19.46,28981
2008-07-18,19.35,21,19.1,20.4,339003
2008-07-21,20.6,21.29,20.26,21.05,44594
2008-07-22,20.9,21,20.52,20.8,22582
2008-07-23,21.1,21.58,20.85,21.5,132090
2008-07-24,21.8,22.7,21.2,21.5,91501
2008-07-25,20.9,21.85,20.51,21.85,12015
2008-07-28,21.77,22.65,21.7,22.05,121574
2008-07-29,21.8,22,21.6,21.99,105351
2008-07-30,22,22.59,21.87,22,51860
2008-07-31,22,22.45,21.8,21.98,172852
2008-08-01,21.98,21.98,21.5,21.52,32463
2008-08-04,21.5,21.6,20.8,21.02,7170
2008-08-05,21.1,22,21.1,21.97,35553
2008-08-06,22.2,22.36,21.55,22,7099
2008-08-07,21.62,22.1,21.62,21.89,11358
2008-08-08,21.62,22.3,21.62,22.02,93657
2008-08-11,22.52,22.83,22.36,22.5,28074
2008-08-12,22.4,22.5,22,22,7982
2008-08-13,22.27,22.27,21.3,21.3,12072
2008-08-14,21.35,21.54,20.6,21.25,60213
2008-08-18,20.6,20.95,20.22,20.6,8429
2008-08-19,20.1,20.2,19.74,20,15245
2008-08-20,19.5,20.2,19.5,19.77,17446
2008-08-21,19.77,20.15,19.5,19.81,2063
2008-08-22,19.99,20.44,19.99,20.05,9352
2008-08-25,20.45,21.96,20.4,21.31,135320
2008-08-26,21.95,22.94,21.89,22.86,83895
2008-08-27,22.77,22.99,21.95,22.2,24083
2008-08-28,22.19,22.38,21.5,22.25,52053
2008-08-29,22.39,22.47,21.51,22.2,12330
2008-09-01,21.82,22.1,21.6,22.1,5885
2008-09-02,21.82,24.38,21.82,24.3,67324
2008-09-03,24.25,26,23.8,25.79,111093
2008-09-04,25.79,27.3,25.7,26.3,246811
2008-09-05,26,26.1,24.85,24.99,39229
2008-09-08,25.1,27.6,25.1,27.59,77904
2008-09-09,28.1,28.49,26.61,27.15,62050
2008-09-10,26.36,26.75,25.71,26.2,30629
2008-09-11,26.2,26.4,25.22,25.31,22359
2008-09-12,25.42,26.48,25.42,25.85,17735
2008-09-15,25.5,25.5,22.91,22.99,96206
2008-09-16,22.25,23.47,22.25,22.9,44109
2008-09-17,23.4,23.9,22.2,22.41,37150
2008-09-18,21.69,22.75,21.31,22.49,115313
2008-09-19,23.15,24.5,23.1,24.1,149367
2008-09-22,25.1,25.1,23.6,23.89,14442
2008-09-23,23.35,23.49,23.15,23.4,12561
2008-09-24,23.4,23.85,23.22,23.5,10285
2008-09-25,23.35,24.3,23.2,24.29,120492
2008-09-26,23.96,24.14,23.5,23.9,59869
2008-09-29,23.35,24.3,22.95,23.1,34850
2008-09-30,21.1,23.1,21.1,23.1,36087
2008-10-01,23.39,24.26,23.39,23.95,23418
2008-10-02,24,24.19,23.02,23.02,17495
2008-10-03,23.05,23.05,22.45,22.5,31401
2008-10-06,21.9,21.92,20.39,20.39,32089
2008-10-07,21.1,21.45,19.25,20,39647
2008-10-08,18.61,20.4,17.96,20.4,66766
2008-10-09,20.5,20.85,19.75,20.1,26403
2008-10-10,18.54,19.09,16.8,18,79073
2008-10-13,18.42,19.14,18.05,18.3,45954
2008-10-14,19.4,19.73,18.71,18.71,87737
2008-10-15,18.84,18.84,17,17,32007
2008-10-16,15.42,16.6,15.42,15.5,78041
2008-10-17,16.24,16.3,14.12,15,45726
2008-10-20,15.65,15.65,14.76,15.3,30612
2008-10-21,15.75,15.75,15.13,15.2,132079
2008-10-22,14.5,15,13.59,13.59,64265
2008-10-23,13.4,13.5,11.94,11.97,102485
2008-10-24,11.4,11.4,10.29,10.51,187627
2008-10-27,10.35,11.28,9.34,10.25,195705
2008-10-28,10.61,11.19,10.3,10.43,197838
2008-10-29,11.15,11.5,10.75,11.2,240433
2008-10-30,11.6,12.49,11.25,11.66,215413
2008-10-31,11.65,12.17,11.45,12,261948
2008-11-03,12.2,13.4,12.2,13.4,256203
2008-11-04,14,15.24,13.5,15.24,279440
2008-11-05,15.35,15.35,13.8,13.8,241613
2008-11-06,13.15,13.38,12.56,12.6,220088
2008-11-07,12.8,13.29,12,12.4,155125
2008-11-10,12.6,12.95,12.5,12.5,222048
2008-11-12,12.49,12.49,10.95,11,163396
2008-11-13,10.3,11.29,10.25,11.01,219659
2008-11-14,11.89,11.89,10.75,11.01,152053
2008-11-17,11,11.05,10.3,10.53,97185
2008-11-18,10.41,10.5,10.1,10.4,111679
2008-11-19,10.79,10.79,10.2,10.5,123703
2008-11-20,9.95,10,9.7,9.7,177976
2008-11-21,9.6,9.6,9.2,9.2,83812
2008-11-24,9.45,10.61,8.55,10.41,480906
2008-11-25,10.91,10.99,9.83,10.05,366469
2008-11-26,10,10.65,9.9,10.09,205990
2008-11-27,10.44,10.59,9.9,9.9,452500
2008-11-28,9.99,10,8.65,8.65,515501
2008-12-01,8.7,9.09,8.13,8.65,388077
2008-12-02,7.9,9.35,7.9,9.22,270885
2008-12-03,9.4,9.8,9.25,9.7,266554
2008-12-04,10.22,10.85,10.16,10.7,549697
2008-12-05,10.58,11.4,10.41,11.05,490931
2008-12-08,11.82,12.37,11.4,12.2,521435
2008-12-09,12.3,12.37,11.32,11.53,341332
2008-12-10,11.65,12.1,11.35,11.6,166234
2008-12-11,11.7,11.7,11.11,11.3,109087
2008-12-12,10.55,11.09,10.5,11.02,197750
2008-12-15,11.08,11.3,10.65,11.15,106260
2008-12-16,10.87,11.13,10.7,10.81,47157
2008-12-17,10.99,11.03,10.2,10.2,103968
2008-12-18,10.1,10.1,9.64,10.02,153049
2008-12-19,9.98,10.4,9.9,10.1,65329
2008-12-22,10,10.23,10,10.15,60101
2008-12-23,10.19,10.26,10,10.1,49674
2008-12-29,10.11,10.35,10,10.04,35237
2008-12-30,10.06,10.3,9.77,10.3,65538
2008-12-31,10.3,10.37,10.15,10.3,16254
2009-01-05,10.51,11.5,10.42,11.3,136171
2009-01-06,11.44,12.2,11.4,11.88,173246
2009-01-07,12.1,12.15,11.4,11.41,148134
2009-01-08,11.05,11.85,11.05,11.63,119664
2009-01-09,11.82,11.99,11.5,11.55,96552
2009-01-12,11.4,12.65,11.4,12.21,363363
2009-01-13,12.08,12.69,11.85,12.04,167358
2009-01-14,12.3,12.3,11.25,11.5,73130
2009-01-15,11.06,11.55,10.81,11.5,147054
2009-01-16,11.81,11.98,11.4,11.45,35152
2009-01-19,11.5,11.7,11.23,11.4,40053
2009-01-20,11.2,11.4,11.05,11.3,46880
2009-01-21,10.9,11.96,10.9,11.92,78412
2009-01-22,12.12,12.15,11.36,11.6,44492
2009-01-23,11.32,11.62,11.1,11.6,58160
2009-01-26,11.51,12.15,11.36,12,80400
2009-01-27,12.2,12.37,10.25,10.25,284566
2009-01-28,10.46,10.73,10.25,10.3,133567
2009-01-29,10.3,10.45,9.73,9.81,122200
2009-01-30,9.8,10.4,9.77,10.01,96652
2009-02-02,9.9,9.95,9.7,9.85,117072
2009-02-03,9.94,10.04,9.2,9.45,51080
2009-02-04,9.75,9.75,9.2,9.51,89616
2009-02-05,9.47,9.55,9.29,9.55,33282
2009-02-06,9.55,9.8,9.4,9.4,98940
2009-02-09,9.54,9.74,9.3,9.6,76180
2009-02-10,9.65,10.3,9.56,10.1,171883
2009-02-11,9.8,10.31,9.75,9.99,51318
2009-02-12,10.08,10.08,9.6,9.75,62658
2009-02-13,9.8,9.9,9.52,9.69,34422
2009-02-16,9.69,9.69,9.2,9.65,70913
2009-02-17,9.11,9.66,8.95,9.2,68746
2009-02-18,9.2,9.39,8.61,9.39,43221
2009-02-19,9.2,9.88,9.2,9.8,46424
2009-02-20,9.51,9.8,9.35,9.8,35170
2009-02-23,9.8,9.98,9.7,9.7,47401
2009-02-24,9.5,9.8,9.5,9.78,19255
2009-02-25,9.9,10,9.6,9.79,37519
2009-02-26,9.78,9.8,9.5,9.56,56286
2009-02-27,9.6,9.65,9.4,9.53,57046
2009-03-02,9.36,9.6,9.36,9.55,15399
2009-03-03,9.9,10.85,9.8,10.73,259169
