Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,139.0967,141.4573,136.6515,138.844,1453
2008-01-03,138.2532,138.2532,134.8818,136.3988,1429
2008-01-04,136.4834,137.3259,134.8818,134.8818,9500
2008-01-07,134.8818,134.8818,130.3296,133.7855,622
2008-01-08,133.7855,133.9546,129.8232,132.353,1519
2008-01-09,129.8232,132.6902,122.8267,126.8727,7298
2008-01-10,124.9338,126.4518,120.5507,122.2368,8044
2008-01-11,128.9806,129.8232,118.0209,118.0209,10398
2008-01-14,116.3356,122.2368,109.9282,112.7952,5101
2008-01-15,111.4462,112.1207,107.2313,107.9048,11075
2008-01-16,105.376,107.9048,98.6323,102.8472,39558
2008-01-17,105.7133,108.7484,101.1611,101.1611,119920
2008-01-18,102.6781,105.376,101.1611,104.4489,111532
2008-01-21,105.376,108.9166,102.51,102.51,11823
2008-01-22,102.0046,104.9552,101.1611,103.3526,6202
2008-01-23,108.2421,109.0856,104.1116,106.2196,175425
2008-01-24,109.591,109.591,106.725,106.9777,38444
2008-01-25,110.4346,110.4346,105.376,105.376,33579
2008-01-28,104.1962,105.7978,102.8472,104.3644,27263
2008-01-29,104.3644,104.618,103.859,104.1116,88839
2008-01-30,104.8706,104.8706,104.2807,104.5334,74398
2008-01-31,105.8824,105.8824,103.6899,104.5334,5625
2008-02-01,105.7978,106.9777,105.376,106.2196,16838
2008-02-04,107.484,109.5074,107.484,109.0856,8088
2008-02-05,106.6404,108.7484,106.6404,106.8095,39673
2008-02-06,102.8472,105.7978,102.8472,104.5334,18970
2008-02-07,104.5334,104.5334,99.8967,100.3184,56352
2008-02-08,103.859,103.859,100.4866,101.8356,869
2008-02-11,101.1611,102.4255,101.1611,101.9201,3347
2008-02-12,102.7627,105.376,101.6673,104.5334,21521
2008-02-13,104.5334,104.5334,103.859,104.4489,4771
2008-02-14,106.2196,106.2196,104.1116,104.5334,44174
2008-02-15,105.376,105.376,102.4255,103.6899,37349
2008-02-18,102.8472,105.2924,102.4255,104.9552,1456
2008-02-19,104.8706,104.9552,103.7744,104.8706,1014
2008-02-20,104.5334,105.2924,104.3644,104.3644,2332
2008-02-21,104.9552,105.2924,104.2807,104.5334,13335
2008-02-22,104.1116,104.5334,104.1116,104.1116,407
2008-02-25,105.2924,105.4606,104.3644,104.5334,3640
2008-02-26,105.2924,105.376,103.6899,104.4489,26293
2008-02-27,104.5334,104.5334,103.859,104.1116,38660
2008-02-28,104.4489,104.5334,103.6062,103.6899,22657
2008-02-29,103.6062,103.6899,100.3184,101.1611,8211
2008-03-03,97.7887,101.0765,94.5855,98.6323,13018
2008-03-04,99.054,99.8967,97.7887,98.3795,11050
2008-03-05,98.6323,99.054,98.2105,98.6323,29246
2008-03-06,98.6323,99.6439,98.295,98.3795,4895
2008-03-07,98.2105,98.3795,95.6817,97.7887,9257
2008-03-10,96.9461,96.9461,95.7662,95.8499,1370
2008-03-11,96.1035,96.1035,95.2599,95.8499,13649
2008-03-12,96.9461,99.054,95.6817,95.6817,25500
2008-03-13,95.2599,96.0189,94.4173,94.4173,7505
2008-03-14,95.6817,95.6817,93.5737,93.5737,12964
2008-03-17,92.8154,92.8154,91.2137,92.2254,10080
2008-03-18,91.8881,94.4173,91.8881,93.3211,18798
2008-03-19,93.3211,101.1611,93.1529,101.1611,138296
2008-03-20,100.9929,100.9929,97.0306,99.3913,2980
2008-03-25,100.3184,102.0046,99.4749,99.4749,11275
2008-03-26,99.3913,101.0765,98.6323,99.6439,9659
2008-03-27,99.8121,101.0765,99.8121,100.3184,6111
2008-03-28,98.6323,100.7393,98.6323,99.054,53342
2008-03-31,100.8238,101.0765,97.7887,101.0765,3709
2008-04-01,101.1611,102.0046,99.4749,102.0046,5915
2008-04-02,102.8472,104.1962,102.0046,102.0046,3424
2008-04-03,103.6899,104.5334,102.3409,104.4489,22779
2008-04-04,103.6899,105.2079,103.0154,104.5334,557
2008-04-07,104.3644,106.2196,104.3644,106.2196,42132
2008-04-08,106.2196,107.9048,105.376,107.9048,23331
2008-04-09,106.6404,113.3851,105.7133,113.3851,22341
2008-04-10,112.8788,113.6378,111.2772,113.6378,2453
2008-04-11,113.3851,113.7224,110.4346,110.4346,3856
2008-04-14,110.4346,110.4346,104.0271,104.0271,1643
2008-04-15,106.4723,106.6404,103.6899,106.2196,1804
2008-04-16,107.484,107.8212,104.3644,105.5451,11580
2008-04-17,103.269,106.4723,103.269,105.2924,7636
2008-04-18,103.7744,103.7744,102.7627,103.6062,32059
2008-04-21,103.3526,103.3526,102.2573,102.7627,7283
2008-04-22,102.7627,102.8472,99.5594,101.1611,14047
2008-04-23,99.4749,100.3184,98.6323,100.3184,7625
2008-04-24,101.1611,101.1611,98.6323,100.1493,6129
2008-04-25,99.054,100.0658,95.5971,97.536,11352
2008-04-28,98.6323,100.3184,96.5243,98.8004,18473
2008-04-29,103.6899,103.6899,98.0424,98.4632,34528
2008-04-30,100.7393,100.7393,97.7887,98.2105,46631
2008-05-05,99.4749,99.4749,98.5477,98.5477,16524
2008-05-06,100.2339,100.2339,98.0424,98.5477,36092
2008-05-07,99.4749,99.4749,97.3679,97.7887,28936
2008-05-08,97.7887,98.5477,97.0306,97.3679,4771
2008-05-09,97.2833,99.3068,96.2716,96.2716,3125
2008-05-12,96.9461,98.2105,96.9461,97.1988,1905
2008-05-13,97.7887,97.7887,96.1035,96.1035,13752
2008-05-14,96.1035,98.2105,94.5018,97.7887,1966
2008-05-15,96.5243,97.7887,96.5243,97.7887,7499
2008-05-16,97.6205,97.6205,96.1035,96.9461,3385
2008-05-19,96.4407,97.2833,96.4407,96.5243,10084
2008-05-20,96.9461,99.3068,96.9461,98.6323,8693
2008-05-21,98.6323,99.4749,98.0424,98.2105,16085
2008-05-23,98.6323,98.6323,96.6934,97.7887,14217
2008-05-26,97.7887,99.4749,97.7887,99.4749,777
2008-05-27,98.9695,99.054,97.3679,97.3679,11367
2008-05-28,96.9461,98.3795,96.1035,96.1035,43184
2008-05-29,94.5018,97.4515,93.5737,94.4173,28608
2008-05-30,92.8154,95.2599,90.2864,91.4665,162999
2008-06-02,93.3211,93.3211,91.045,91.9724,31312
2008-06-03,93.4056,93.4056,91.8881,92.9838,23604
2008-06-04,93.1529,94.4173,92.7311,92.7311,71640
2008-06-05,94.4173,96.5243,93.5737,95.2599,48736
2008-06-06,95.6817,95.6817,95.2599,95.3445,33620
2008-06-09,95.2599,96.4407,95.1763,95.3445,3925
2008-06-10,93.7428,94.8391,90.7922,92.7311,5927
2008-06-11,92.7311,93.5737,90.2021,90.2021,1508
2008-06-12,89.3591,91.8881,89.3591,91.8881,2741
2008-06-13,91.8881,92.7311,89.7806,90.1178,22094
2008-06-16,91.045,92.7311,90.2021,90.2021,4928
2008-06-17,92.3096,92.4783,88.6004,92.141,6191
2008-06-18,91.8881,92.4783,87.6729,87.6729,59314
2008-06-19,88.1789,95.6817,87.8417,91.045,2927
2008-06-20,89.3591,92.9838,89.3591,91.8881,2383
2008-06-23,92.7311,92.7311,90.2021,90.2021,1053
2008-06-24,89.3591,91.8038,89.3591,89.4433,39977
2008-06-25,91.045,91.045,88.6004,88.7689,202
2008-06-26,88.7689,88.7689,85.9871,85.9871,5983
2008-06-27,85.9028,85.9028,82.8679,84.2167,3705
2008-06-30,84.2976,84.2976,81.6873,81.6873,11511
2008-07-01,80.086,82.1092,77.557,78.6529,7216
2008-07-02,78.3998,78.3998,77.599,77.9785,23653
2008-07-03,77.557,77.557,74.4378,75.0279,48386
2008-07-04,74.9015,74.9015,70.8128,70.8128,72823
2008-07-07,70.8171,71.6574,69.9678,71.6127,5012
2008-07-08,71.6127,71.6127,69.2081,71.3178,16358
2008-07-09,71.6127,71.6574,67.4381,70.3881,78986
2008-07-10,69.1723,69.1723,66.5978,66.5978,51065
2008-07-11,67.9387,68.8327,65.3016,66.5531,18205
2008-07-14,65.9721,66.5531,65.2569,66.1509,4438
2008-07-15,66.0615,66.0615,62.5751,64.7205,8716
2008-07-16,66.2849,66.2849,61.7259,62.2175,10071
2008-07-17,65.391,65.4803,62.2175,63.916,10310
2008-07-18,63.916,63.916,62.5751,62.9774,9018
2008-07-21,63.916,67.9387,63.5137,67.0447,25324
2008-07-22,67.0447,70.263,67.0447,69.0113,844
2008-07-23,69.7265,70.6206,69.2795,69.8159,2532
2008-07-24,70.5311,72.3637,70.263,71.5144,3437
2008-07-25,69.6371,71.9614,68.8327,71.9614,5081
2008-07-28,71.9614,71.9614,70.0394,70.6206,6563
2008-07-29,71.2462,71.2462,66.2402,69.1008,31658
2008-07-30,70.7099,72.2296,68.8327,71.9614,27492
2008-07-31,70.6206,72.4083,68.8327,71.9614,33485
2008-08-01,71.5144,71.5144,68.7433,71.3356,1027
2008-08-04,71.3356,72.4083,70.7099,72.4083,3472
2008-08-05,72.2296,72.2296,70.1735,70.6206,862
2008-08-06,72.2743,72.2743,70.6206,72.0061,1386
2008-08-07,71.8273,73.1235,71.5144,72.4083,77945
2008-08-08,71.9614,74.1962,70.6206,73.0342,98296
2008-08-11,74.1962,74.1962,71.9614,73.0342,336
2008-08-12,73.2129,73.6598,71.5591,73.2129,1593
2008-08-13,73.2129,73.2576,71.6931,72.4083,220
2008-08-14,73.3023,74.1068,72.4083,72.8553,20292
2008-08-18,74.1068,74.1068,71.2462,71.5144,974
2008-08-19,70.6206,71.425,67.9834,70.6206,5541
2008-08-20,71.9614,71.9614,69.5031,71.5144,19582
2008-08-21,71.2909,71.5144,69.9054,70.9781,29334
2008-08-22,69.5478,70.8887,69.4136,70.6206,1545
2008-08-25,69.7265,70.6206,69.2349,69.7265,318
2008-08-26,68.8327,69.7265,67.7599,67.7599,13163
2008-08-27,68.0281,68.0281,67.0447,67.0447,13322
2008-08-28,66.6425,66.6425,65.7933,66.0615,82521
2008-08-29,66.1509,66.1509,65.7933,66.1062,3512
2008-09-01,66.5084,66.5084,65.6145,65.6145,650
2008-09-02,66.0615,75.0902,66.0615,73.928,75355
2008-09-03,74.1962,74.1962,71.9614,72.4083,55753
2008-09-04,73.6151,75.0902,72.9447,75.0902,7635
2008-09-05,72.8553,74.6432,72.8553,74.6432,10442
2008-09-08,74.6432,75.984,74.6432,74.6432,13451
2008-09-09,74.9561,75.0008,71.872,73.3023,1656
2008-09-10,74.1962,74.1962,71.5144,72.4083,5162
2008-09-11,72.4083,74.509,70.6206,71.0675,1000
2008-09-12,74.0621,74.0621,71.5144,73.3023,35314
2008-09-15,73.2129,73.2129,70.1735,71.5144,2426
2008-09-16,69.2795,70.6206,67.2235,67.9387,9080
