Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,2368.6815,2418.7882,2327.685,2369.5925,30
2008-01-03,2368.6815,2400.5676,2345.9057,2400.5676,322
2008-01-04,2400.5676,2400.5676,2341.3505,2341.3505,81
2008-01-07,2324.4964,2324.4964,2238.404,2246.6033,161
2008-01-08,2232.0267,2232.0267,2095.372,2232.0267,623
2008-01-09,2159.1442,2186.4752,2140.9236,2165.5215,72
2008-01-10,2195.5854,2195.5854,2049.8205,2095.372,845
2008-01-11,2070.7742,2085.8062,2004.2689,2004.2689,1636
2008-01-14,2013.3792,2013.3792,1913.1658,1922.2762,1083
2008-01-15,1913.1658,1945.0519,1822.0626,1822.0626,1129
2008-01-16,1730.0485,1821.6071,1730.0485,1812.9523,1813
2008-01-17,1777.4222,1831.1729,1777.4222,1822.0626,524
2008-01-18,1923.1872,1923.1872,1790.1765,1790.1765,2635
2008-01-21,1803.842,1816.5964,1671.7425,1711.8279,466
2008-01-22,1638.9454,1703.6286,1576.5397,1667.1874,231
2008-01-23,1699.0734,1785.6214,1699.0734,1730.9595,7760
2008-01-24,1812.9523,1840.2833,1729.1374,1831.1729,734
2008-01-25,1831.1729,1904.0555,1786.5325,1822.0626,551
2008-01-28,1840.2833,1867.6143,1754.6463,1822.0626,86
2008-01-29,1858.504,1858.504,1822.0626,1839.3722,1123
2008-01-30,1839.3722,1894.9452,1832.084,1894.9452,666
2008-01-31,1894.9452,1894.9452,1849.3937,1867.6143,4512
2008-02-01,1867.6143,1904.0555,1867.6143,1904.0555,1227
2008-02-04,1926.3758,1926.3758,1881.7352,1881.7352,52
2008-02-05,1925.0092,1954.1622,1890.39,1954.1622,5726
2008-02-06,1904.0555,1990.148,1867.6143,1990.148,50
2008-02-07,1957.8063,1990.148,1923.1872,1990.148,78
2008-02-08,1988.7814,2049.8205,1931.3865,2049.8205,637
2008-02-11,2022.4895,2031.5999,2004.2689,2031.5999,22
2008-02-12,2068.0411,2090.8169,1976.938,1976.938,71
