Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,6.357,6.3818,6.0485,6.0592,105228
2008-01-03,6.0769,6.3428,5.8606,6.1833,44736
2008-01-04,6.2258,6.2258,5.9209,5.9705,58455
2008-01-07,5.7791,5.9174,5.6727,5.6727,64542
2008-01-08,5.6727,5.8677,5.6727,5.7685,30808
2008-01-09,5.5983,5.5983,5.2827,5.3146,46682
2008-01-10,5.3253,5.46,4.9636,5.0913,34740
2008-01-11,5.1374,5.2118,4.9636,5.0948,35939
2008-01-14,5.0062,5.0948,4.6871,4.9175,35561
2008-01-15,4.9991,4.9991,4.5027,4.5346,47703
2008-01-16,4.1269,4.3928,3.9355,4.1765,92211
2008-01-17,4.2155,4.4708,4.0489,4.2687,114691
2008-01-18,4.1836,4.5311,4.1836,4.4531,72377
2008-01-21,4.2971,4.4602,4.0418,4.056,67831
2008-01-22,3.7298,4.0347,3.7298,3.9957,49948
2008-01-23,4.1482,4.3184,3.8504,4.0347,69297
2008-01-24,4.2545,4.3219,4.1482,4.3184,110014
2008-01-25,4.5027,4.5027,4.3255,4.4141,128175
2008-01-28,4.4318,5.2827,4.4318,4.8785,529204
2008-01-29,5.1728,5.1728,4.68,4.6977,308773
2008-01-30,4.7793,4.7864,4.5382,4.5595,117314
2008-01-31,4.6091,4.6091,4.1553,4.2794,64722
2008-02-01,4.3893,4.4247,4.29,4.3432,57110
2008-02-04,4.3325,4.6091,4.329,4.4141,163581
2008-02-05,4.4141,4.4141,4.2085,4.2085,43126
2008-02-06,3.9745,4.4318,3.939,4.3432,150793
2008-02-07,4.2545,4.3751,4.0773,4.2014,74171
2008-02-08,4.29,4.3042,4.0985,4.1659,17191
2008-02-11,4.2368,4.3219,4.1021,4.2545,55984
2008-02-12,4.29,4.3538,4.1659,4.251,18046
2008-02-13,4.2475,4.3893,4.1872,4.3255,45574
2008-02-14,4.29,4.3964,4.1872,4.3006,51773
2008-02-15,4.2723,4.2723,4.1375,4.2333,49184
2008-02-18,4.2333,4.2439,4.1127,4.1943,22570
2008-02-19,4.0595,4.1695,4.0383,4.056,47035
2008-02-20,4.2191,4.2191,4.0808,4.1305,37865
2008-02-21,4.1127,4.2049,4.0773,4.0773,49077
2008-02-22,4.0737,4.1127,4.0276,4.1127,37942
2008-02-25,4.1624,4.1659,4.0879,4.1446,18937
2008-02-26,4.1624,4.1624,4.0241,4.0879,19340
2008-02-27,4.0844,4.0879,3.7972,3.9177,30729
2008-02-28,3.9319,4.0028,3.7936,3.8823,21193
2008-02-29,3.7334,3.8468,3.6447,3.6802,35589
2008-03-03,3.5348,3.5348,3.2973,3.3575,81575
2008-03-04,3.51,3.51,3.2654,3.4143,26172
2008-03-05,3.2157,3.4178,3.2157,3.4001,32698
2008-03-06,3.2122,3.8823,3.2122,3.5455,165657
2008-03-07,3.4036,3.4497,3.3363,3.432,77736
2008-03-10,3.4249,3.4355,3.315,3.4249,43416
2008-03-11,3.4249,3.4462,3.3327,3.4001,50975
2008-03-12,3.4036,3.4072,3.2866,3.2866,49906
2008-03-13,3.2973,3.2973,3.1023,3.1767,42401
2008-03-14,3.1306,3.1909,3.0349,3.0952,24561
2008-03-17,3.0065,3.0065,2.7265,2.7548,180566
2008-03-18,2.6662,2.9073,2.6236,2.6981,166362
2008-03-19,2.73,2.8009,2.5882,2.6343,68818
2008-03-20,2.5527,2.6875,2.5527,2.5775,16401
2008-03-25,2.6059,2.7265,2.5775,2.6201,69111
2008-03-26,2.6024,2.8364,2.5279,2.7052,307867
2008-03-27,2.7123,2.7619,2.6236,2.7087,104136
2008-03-28,2.7229,2.8293,2.7123,2.7513,107586
2008-03-31,2.7584,2.7619,2.6307,2.6449,79239
2008-04-01,2.6555,2.6591,2.6095,2.6591,28307
2008-04-02,2.6591,2.73,2.6449,2.6733,77401
2008-04-03,2.6555,2.6768,2.5953,2.6768,23574
2008-04-04,2.6768,2.6768,2.574,2.6555,45788
2008-04-07,2.6697,2.6697,2.5882,2.5882,42553
2008-04-08,2.5882,2.5882,2.4925,2.4925,48403
2008-04-09,2.4286,2.5456,2.4109,2.4464,107975
2008-04-10,2.4428,2.4464,2.2372,2.2372,121942
2008-04-11,2.2975,2.5315,2.2868,2.3506,376082
2008-04-14,2.3719,2.3719,2.2691,2.3152,42223
2008-04-15,2.3365,2.3932,2.2691,2.3471,32027
2008-04-16,2.3648,2.3684,2.2549,2.3365,40694
2008-04-17,2.3329,2.3648,2.2124,2.2407,68897
2008-04-18,2.2726,2.2833,2.0954,2.1131,124139
2008-04-21,2.1131,2.1131,1.9039,1.9571,56374
2008-04-22,1.9465,1.9465,1.7231,1.7231,93398
2008-04-23,1.7656,1.8401,1.6593,1.7656,122162
2008-04-24,1.755,1.7727,1.6664,1.7231,75559
2008-04-25,1.7373,1.7621,1.7125,1.7444,117144
