Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,9.9332,9.9923,9.7225,9.8659,52398
2008-01-03,9.8659,9.8659,9.4442,9.6971,95610
2008-01-04,9.714,9.714,9.2755,9.2924,125066
2008-01-07,9.2755,9.2755,8.854,8.9382,297729
2008-01-08,9.0563,9.0648,8.7696,8.854,142359
2008-01-09,8.8034,8.8034,8.1456,8.1541,944737
2008-01-10,8.0361,8.1372,7.6819,7.7746,598702
2008-01-11,7.7746,7.8505,7.3361,7.3361,988483
2008-01-14,7.2096,7.6903,7.1253,7.6903,2492315
2008-01-15,7.589,7.977,7.2602,7.5638,304155
2008-01-16,6.9567,7.3361,6.9145,7.2433,2933640
2008-01-17,7.5385,7.5385,6.8386,6.9567,558170
2008-01-18,6.9567,6.982,6.6278,6.8301,2758802
2008-01-21,6.6615,7.041,6.3242,6.4085,2727258
2008-01-22,5.987,6.9567,5.987,6.9567,1369234
2008-01-23,7.1169,7.1169,6.6784,6.788,1515314
2008-01-24,7.1674,7.2265,6.9651,7.2265,1169757
2008-01-25,7.3445,7.3783,7.0831,7.0831,1611766
2008-01-28,6.9145,6.982,6.7459,6.8723,1141542
2008-01-29,6.9651,7.1674,6.8723,6.9398,612275
2008-01-30,7.0326,7.4204,6.7459,6.788,1810819
2008-01-31,6.788,6.8723,6.4507,6.5772,7733616
2008-02-01,6.7543,6.8301,6.7459,6.788,912004
2008-02-04,6.9145,7.0662,6.8471,6.9567,1211910
2008-02-05,6.9567,6.9651,6.6615,6.729,217851
2008-02-06,6.6615,6.8218,6.5688,6.7796,3871642
2008-02-07,6.7796,6.7796,6.5266,6.5688,1505010
2008-02-08,6.7374,6.7374,6.5013,6.5097,161316
2008-02-11,6.5772,6.6025,6.4591,6.4844,1096406
2008-02-12,6.535,6.5688,6.3326,6.4676,1326281
2008-02-13,6.4929,6.4929,6.3158,6.3748,511955
2008-02-14,6.5097,6.5519,6.3664,6.3664,6566127
2008-02-15,6.4676,6.4676,6.3748,6.4676,932865
2008-02-18,6.5435,6.5519,6.4844,6.5013,5972314
2008-02-19,6.5435,6.5435,6.4085,6.4844,2356113
2008-02-20,6.4761,6.4761,6.3832,6.4254,915397
2008-02-21,6.4761,6.4844,6.3495,6.4002,3532296
2008-02-22,6.4085,6.4171,6.299,6.299,315504
2008-02-25,6.3917,6.4085,6.3242,6.3748,209581
2008-02-26,6.4676,6.5097,6.3664,6.4002,1102173
2008-02-27,6.4085,6.4761,6.3664,6.4761,175544
2008-02-28,6.4929,6.4929,6.4171,6.4591,156004
2008-02-29,6.4591,6.4676,6.3073,6.3158,964591
2008-03-03,6.0291,6.1978,6.0291,6.0712,727670
2008-03-04,6.1555,6.1555,5.987,5.987,56997
2008-03-05,6.0038,6.4844,5.9111,6.4844,559624
2008-03-06,6.0544,6.2314,5.9448,5.9448,652505
2008-03-07,5.9111,5.9448,5.6918,5.8182,374132
2008-03-10,5.852,6.0797,5.8182,6.0712,9330525
2008-03-11,6.0712,6.4002,6.0712,6.3748,1622659
2008-03-12,6.4929,6.6447,6.4085,6.6447,3845330
2008-03-13,6.3242,6.6447,6.3242,6.6447,391942
2008-03-14,6.6362,6.6362,6.535,6.5688,769320
2008-03-17,6.4085,6.4171,6.24,6.3917,1243271
2008-03-18,6.4085,6.6531,6.3748,6.5772,371170
2008-03-19,6.5013,6.6194,6.4507,6.5941,589971
2008-03-20,6.5772,6.6025,6.4171,6.4171,372279
2008-03-25,6.5941,6.6953,6.5941,6.6194,176457
2008-03-26,6.6531,6.8723,6.6447,6.8723,821777
2008-03-27,6.8471,7.1674,6.8471,7.0831,610181
2008-03-28,7.0831,7.1001,6.7374,6.8301,710557
2008-03-31,6.8277,6.9918,6.7498,6.9918,192229
2008-04-01,6.8977,7.3192,6.8977,7.3192,772128
2008-04-02,7.294,7.4289,7.1674,7.2096,1986962
2008-04-03,7.2096,7.2772,7.1253,7.1506,339201
2008-04-04,7.1253,7.3867,7.1253,7.2686,1083391
