Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,3.84,3.9,3.84,3.9,210642
2008-01-03,3.87,3.9,3.83,3.9,35934
2008-01-04,3.9,3.94,3.81,3.9,190615
2008-01-07,3.9,3.9,3.81,3.85,250953
2008-01-08,3.85,3.85,3.77,3.77,244051
2008-01-09,3.77,3.77,3.63,3.74,246790
2008-01-10,3.71,3.74,3.67,3.7,857070
2008-01-11,3.7,3.79,3.67,3.75,1127387
2008-01-14,3.71,3.73,3.59,3.73,632117
2008-01-15,3.68,3.8,3.68,3.75,6007718
2008-01-16,3.55,3.7,3.54,3.63,343973
2008-01-17,3.8,3.83,3.65,3.83,727823
2008-01-18,3.84,3.85,3.8,3.85,197980
2008-01-21,3.85,3.93,3.81,3.93,114665
2008-01-22,3.66,3.89,3.66,3.85,61329
2008-01-23,3.9,3.9,3.6,3.6,130630
2008-01-24,3.69,3.77,3.69,3.77,118957
2008-01-25,3.77,3.8,3.73,3.77,139500
2008-01-28,3.72,3.8,3.71,3.8,18084
2008-01-29,3.75,3.82,3.75,3.75,125746
2008-01-30,3.75,3.87,3.73,3.75,345383
2008-01-31,4.01,4.27,4,4.09,1278648
2008-02-01,4.11,4.18,4.11,4.13,694723
2008-02-04,4.17,4.17,4.09,4.11,89877
2008-02-05,4.08,4.09,3.95,4.05,212425
2008-02-06,3.99,4.01,3.95,3.99,309202
2008-02-07,4,4.07,3.99,4,33115
2008-02-08,4.05,4.12,4,4.06,71868
2008-02-11,4.01,4.05,3.98,4,125013
2008-02-12,4,4.05,3.98,4.02,183635
2008-02-13,4.01,4.05,4,4.05,281952
2008-02-14,4.05,4.05,4.03,4.05,37882
2008-02-15,4,4.06,4,4.03,24865
2008-02-18,4,4.09,4,4.09,46735
2008-02-19,4.07,4.07,4.01,4.07,20696
2008-02-20,4.06,4.08,4.03,4.03,25540
2008-02-21,4.02,4.06,4,4,332320
2008-02-22,4.05,4.05,4.01,4.02,2051
2008-02-25,4.06,4.16,4.06,4.14,89122
2008-02-26,4.15,4.15,4.07,4.1,22563
2008-02-27,4.1,4.13,4.02,4.02,75404
2008-02-28,4.05,4.07,3.99,4,102615
2008-02-29,4.02,4.05,3.9,3.98,236531
2008-03-03,3.98,3.98,3.87,3.87,77384
2008-03-04,3.85,3.87,3.81,3.85,37551
2008-03-05,3.85,3.86,3.8,3.8,19333
2008-03-06,3.8,3.81,3.79,3.8,222446
2008-03-07,3.8,3.8,3.74,3.74,152584
2008-03-10,3.71,3.8,3.71,3.8,3406
2008-03-11,3.79,3.79,3.72,3.74,541923
2008-03-12,3.78,3.8,3.74,3.76,36964
2008-03-13,3.76,3.76,3.71,3.76,22592
2008-03-14,3.78,3.78,3.73,3.73,13899
2008-03-17,3.76,3.76,3.68,3.73,23500
2008-03-18,3.7,3.72,3.65,3.69,301745
2008-03-19,3.74,3.76,3.71,3.71,21022
2008-03-20,3.73,3.74,3.71,3.72,237471
2008-03-25,3.78,3.79,3.71,3.73,47072
2008-03-26,3.7,3.74,3.68,3.7,48923
2008-03-27,3.74,3.81,3.73,3.73,127469
2008-03-28,3.75,3.75,3.7,3.73,67541
2008-03-31,3.75,3.75,3.7,3.71,29276
2008-04-01,3.75,3.75,3.72,3.75,165749
2008-04-02,3.77,3.77,3.73,3.74,27696
2008-04-03,3.78,3.79,3.74,3.76,72036
2008-04-04,3.76,3.76,3.72,3.72,56707
2008-04-07,3.72,3.73,3.67,3.7,35565
2008-04-08,3.7,3.7,3.68,3.7,6621
2008-04-09,3.74,3.74,3.69,3.7,181320
2008-04-10,3.7,3.74,3.56,3.56,126059
2008-04-11,3.61,3.66,3.55,3.56,115370
2008-04-14,3.56,3.65,3.56,3.65,390645
2008-04-15,3.65,3.65,3.6,3.61,849624
2008-04-16,3.65,3.65,3.6,3.61,81981
2008-04-17,3.61,3.63,3.59,3.6,202758
2008-04-18,3.6,3.65,3.6,3.65,264428
2008-04-21,3.67,3.67,3.57,3.6,74636
2008-04-22,3.6,3.76,3.6,3.7,678330
2008-04-23,3.73,3.73,3.62,3.62,550904
2008-04-24,3.6,3.73,3.6,3.65,27715
2008-04-25,3.69,3.69,3.65,3.66,3844
2008-04-28,3.72,3.72,3.66,3.66,1279046
2008-04-29,3.66,3.7,3.64,3.69,21791
2008-04-30,3.65,3.65,3.6,3.61,68340
2008-05-05,3.6,3.61,3.58,3.6,29931
2008-05-06,3.68,3.68,3.57,3.6,181838
2008-05-07,3.66,3.67,3.57,3.59,53809
