Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-05-12,52.0557,53.4235,50.9018,53.2524,461554
2008-05-13,53.2524,53.2524,52.7397,52.7397,8891
2008-05-14,52.996,55.3894,52.996,54.791,52801
2008-05-15,55.0475,55.5176,54.0217,54.7055,21463
2008-05-16,55.6458,58.2101,55.6458,58.2101,50763
2008-05-19,58.9794,63.6808,58.9794,62.9541,67088
2008-05-20,63.0824,63.0824,57.9537,58.552,14099
2008-05-21,61.0309,61.0309,59.8343,60.9455,44150
2008-05-23,61.0309,62.3984,61.0309,61.5865,377699
2008-05-26,60.689,61.9712,60.5607,61.1164,201825
2008-05-27,60.9455,63.2533,60.689,63.2533,142419
2008-05-28,62.5267,63.168,62.0139,63.0824,90738
2008-05-29,63.2533,65.3902,63.2533,64.9628,38462
2008-05-30,66.6724,66.6724,62.8259,63.3388,12753
2008-06-02,66.245,66.245,63.6808,64.6209,4273
2008-06-03,65.3048,66.6724,65.3048,66.5443,16134
2008-06-04,64.1081,64.8774,61.2019,63.2533,15703
2008-06-05,65.0056,65.0056,61.5865,61.843,125766
2008-06-06,63.6808,63.6808,62.484,63.5953,16271
2008-06-09,61.8002,62.9541,61.8002,62.7832,99581
2008-06-10,61.5439,61.5439,60.8599,61.5439,142137
2008-06-11,61.4583,61.5439,59.1932,60.2616,169921
2008-06-12,60.6034,61.5009,60.1762,61.1164,195079
2008-06-13,60.3472,62.3984,59.236,62.3984,15961
2008-06-16,64.1081,66.6724,64.1081,64.7063,14483
2008-06-17,64.6209,65.8176,64.1081,65.8176,1130
2008-06-18,65.8176,68.3819,65.8176,67.228,12101
2008-06-19,68.3819,72.5704,68.3819,72.5704,26202
2008-06-20,72.5704,74.3654,70.9891,74.3654,33360
2008-06-23,71.2454,71.801,69.1085,69.2367,25140
2008-06-24,70.0059,71.3737,70.0059,71.2883,106936
2008-06-25,69.1513,71.7584,67.0142,67.6981,7029
2008-06-26,65.3902,65.8176,63.2533,63.8516,8833
2008-06-27,62.313,66.5869,61.5439,65.8176,10696
2008-06-30,65.3902,66.8006,64.6209,66.6724,5360
2008-07-01,66.6297,66.6297,62.1421,65.3902,22224
2008-07-02,64.9628,64.9628,61.7146,63.2533,2767
2008-07-03,64.1081,64.1081,53.8935,54.3209,81688
2008-07-04,55.3468,58.1246,55.3468,56.586,18294
2008-07-07,58.3385,58.9794,56.4151,57.5262,2375
2008-07-08,55.4322,55.6884,54.2782,54.8765,14650
2008-07-09,53.5088,53.9789,53.1242,53.7652,4158
2008-07-10,54.2782,56.8425,53.7652,56.4151,5339
2008-07-11,57.0562,58.0393,55.5605,57.8682,9437
2008-07-14,57.9537,59.7914,57.9537,59.1504,24396
2008-07-15,58.1246,58.1246,55.6031,56.586,1722
2008-07-16,55.3894,58.9794,54.7055,58.3385,29473
2008-07-17,57.7828,57.7828,55.1757,55.3894,5528
2008-07-18,54.9192,55.0475,49.8335,51.7139,27408
2008-07-21,52.526,52.9104,52.184,52.9104,5493
2008-07-22,53.2096,54.2782,53.1242,53.2524,4597
2008-07-23,52.996,53.0814,52.5687,52.825,3167
2008-07-24,51.7994,51.8848,49.2777,49.3632,50734
2008-07-25,49.0639,50.1753,48.081,48.7222,4472
2008-07-28,49.1496,50.6882,49.1496,50.6882,2378
2008-07-29,50.4318,53.2096,49.6197,52.825,37071
2008-07-30,53.2952,54.9192,53.2952,53.8508,2894
2008-07-31,54.4459,55.5609,53.3397,53.7612,9400
2008-08-01,53.4235,53.4235,53.4235,53.4235,39
2008-08-04,51.2866,51.7139,50.8591,50.8591,1414
2008-08-05,49.1496,49.4059,49.1496,49.4059,6099
2008-08-06,49.577,51.9703,49.577,51.6711,853
2008-08-07,52.3977,53.5516,52.3977,53.2096,1062
2008-08-08,53.1242,53.4661,53.1242,53.4661,173
2008-08-11,53.4235,53.4235,51.7139,52.7397,2271
2008-08-12,51.1155,51.4146,50.9873,51.03,794
2008-08-13,50.9445,50.9445,50.047,50.047,1157
2008-08-14,52.3977,53.2524,51.6711,52.825,6163
2008-08-18,52.825,52.825,52.4405,52.4405,751
2008-08-19,52.4405,54.0644,52.4405,53.4235,3534
2008-08-20,55.0902,56.3297,55.0902,56.3297,7410
2008-08-21,58.2957,58.2957,56.4151,58.1246,4802
2008-08-22,58.1246,59.6205,58.1246,59.6205,3473
2008-08-25,57.6544,57.8253,56.8853,57.2699,1704
2008-08-26,56.9707,57.1418,55.0475,56.586,2453
2008-08-27,57.0989,57.6973,57.0989,57.6973,485
2008-08-28,56.4151,56.4151,53.6372,54.5347,10417
2008-08-29,56.7569,57.2699,55.0902,55.5605,4215
2008-09-01,55.5605,55.5605,53.9789,54.1927,6443
2008-09-02,53.6799,53.6799,51.5856,51.6284,10806
2008-09-03,51.7139,52.0557,48.8075,49.5343,41140
2008-09-04,52.0557,52.0557,46.2861,46.2861,51596
2008-09-05,46.4569,47.4401,42.5677,45.0467,5818
2008-09-08,45.9042,48.7222,45.2193,48.7222,41233
2008-09-09,49.1523,49.1523,41.8045,42.1379,144066
2008-09-10,42.3137,42.3137,36.6953,37.143,282501
2008-09-11,37.5905,38.3895,35.6242,36.3264,25115
2008-09-12,37.5205,38.4685,37.3538,37.8628,5957
2008-09-15,35.7822,36.1247,34.5356,35.1766,9770
2008-09-16,35.1766,35.1766,28.8382,30.8574,18954
2008-09-17,32.3936,34.2811,29.1192,29.7599,6243
2008-09-18,27.3019,29.8389,27.3019,29.7599,24645
2008-09-19,30.7257,34.9395,30.7257,32.5341,6298
2008-09-22,34.0616,36.7831,33.3153,35.4663,19663
2008-09-23,35.3784,35.3784,33.4911,34.2371,6066
2008-09-24,33.3593,33.3593,32.4463,32.4814,10657
2008-09-25,32.4814,33.6226,32.4814,33.6226,1213
2008-09-26,32.4814,34.5884,31.2173,34.2371,86283
2008-09-29,32.4814,34.2371,27.7409,27.7409,70824
2008-09-30,25.4584,26.7752,23.7026,26.5997,51050
2008-10-01,27.2142,27.8375,25.6339,27.0386,19643
2008-10-02,27.9603,27.9603,24.5894,24.6772,8657
2008-10-03,24.6772,24.6772,22.9301,23.4393,14528
2008-10-06,23.2549,23.2549,21.0865,21.9382,15020
2008-10-07,22.3858,22.3858,18.8744,19.3659,22435
2008-10-08,18.4266,20.0068,16.6797,20.0068,20972
