Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,64.3898,66.9233,64.0552,66.9233,5583
2008-01-03,66.4453,66.4453,64.0552,65.8717,9028
2008-01-04,64.0552,65.7282,64.0552,64.82,44916
2008-01-07,62.1431,63.4815,62.1431,63.0035,5737
2008-01-08,62.1431,63.9595,61.2827,63.0991,42538
2008-01-09,61.3305,61.3305,59.6574,60.5178,56154
2008-01-10,60.231,60.5178,58.797,58.797,128050
2008-01-11,58.6057,58.797,57.3629,57.3629,98759
2008-01-14,57.1716,57.1716,54.7815,56.2156,22283
2008-01-15,55.2595,55.2595,54.2079,54.2079,32664
2008-01-16,51.6266,53.0606,50.6705,51.6266,126114
2008-01-17,52.5826,52.5826,48.9496,50.6705,34584
2008-01-18,51.4831,51.4831,49.0452,49.6667,66150
2008-01-21,49.7145,49.9057,48.3282,49.9057,220788
2008-01-22,45.8903,52.487,45.8903,52.487,68184
2008-01-23,52.3914,53.5386,50.2881,50.2881,9542
2008-01-24,52.1046,52.4392,50.2881,51.6266,67363
2008-01-25,51.6266,52.1046,50.6705,52.1046,18386
2008-01-28,51.9134,52.2958,51.1486,52.2958,267919
2008-01-29,52.4392,54.7815,52.2002,54.7815,115483
2008-01-30,55.2595,55.2595,53.6343,53.7298,5934
2008-01-31,53.5386,54.7815,53.443,53.5386,32541
2008-02-01,53.5386,53.5386,53.0606,53.1562,10024
2008-02-04,53.4908,54.1123,52.8216,53.6343,107002
2008-02-05,53.6343,54.2079,52.5826,52.6782,63828
2008-02-06,51.3398,56.3112,51.3398,53.0606,402957
2008-02-07,57.8409,57.8409,53.5386,53.5386,54432
2008-02-08,53.5386,56.4068,53.5386,54.0166,25841
2008-02-11,54.2079,55.3552,53.9211,54.9727,18407
2008-02-12,54.8771,59.7529,54.8771,56.4068,38510
2008-02-13,56.5024,60.1354,56.5024,58.1277,33140
2008-02-14,59.1793,60.9002,59.1315,59.6574,58297
2008-02-15,59.6574,61.665,59.6574,60.0876,35904
2008-02-18,60.1354,61.0914,60.1354,60.231,84629
2008-02-19,60.231,60.8046,59.8486,59.9442,65506
2008-02-20,60.7568,60.7568,59.4661,59.7529,7828
2008-02-21,60.231,60.231,58.797,59.2749,10351
2008-02-22,59.2749,59.2749,58.797,58.797,12822
2008-02-25,59.2749,59.2749,58.6057,58.6535,3889
2008-02-26,58.797,59.2749,56.9804,57.6974,31738
2008-02-27,57.5062,57.7452,57.3151,57.7452,18437
2008-02-28,56.9326,57.7452,56.837,56.837,3423
2008-02-29,57.3629,57.8409,54.6381,55.0684,42632
2008-03-03,55.0684,55.4507,53.5386,53.5386,22394
2008-03-04,53.5386,55.3073,52.6782,52.7738,13596
2008-03-05,53.0606,54.9727,52.5826,54.4947,59096
2008-03-06,54.3991,55.2117,52.5826,52.5826,20708
2008-03-07,52.2002,54.4947,52.2002,52.7738,31749
2008-03-10,54.0166,58.3189,54.0166,54.6381,60002
2008-03-11,55.642,58.1755,55.642,57.5062,204784
2008-03-12,58.271,59.1793,57.6019,57.6974,88582
2008-03-13,57.3629,58.3189,56.6936,57.3629,78475
2008-03-14,58.271,58.271,56.598,57.0761,25489
2008-03-17,56.4068,57.2194,56.0243,56.8848,29602
2008-03-18,56.8848,57.2672,56.12,56.12,13285
2008-03-19,56.4068,56.4068,55.5463,56.359,18406
2008-03-20,55.4507,57.2194,55.4507,55.9288,70623
2008-03-25,56.7892,58.032,56.6936,56.8848,25657
