Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,7.8201,8.0399,7.6187,7.9208,322336
2008-01-03,7.8201,7.8201,7.5271,7.756,507564
2008-01-04,7.811,7.811,7.1425,7.4171,667193
2008-01-07,7.3439,7.4538,7.0051,7.1425,613807
2008-01-08,7.051,7.234,6.9228,7.1425,1406069
2008-01-09,6.8677,7.0142,6.6481,6.7762,2149174
2008-01-10,6.8037,6.8677,6.3,6.4924,1782906
2008-01-11,6.41,6.5015,6.2086,6.3184,932081
2008-01-14,6.355,6.5015,6.2359,6.41,2395982
2008-01-15,6.41,6.6297,5.7597,5.7597,1261754
2008-01-16,5.6773,5.9154,5.3568,5.8605,3561238
2008-01-17,6.2727,6.2727,5.769,5.8605,1559266
2008-01-18,5.9062,6.1261,5.659,5.9795,1497883
2008-01-21,5.7781,5.8605,5.4485,5.659,1575223
2008-01-22,5.3843,6.1535,5.3568,5.9704,2270421
2008-01-23,6.1809,6.2543,5.6315,6.0253,1012099
2008-01-24,6.2268,6.5107,6.1901,6.4374,1322436
2008-01-25,6.6847,6.6847,6.2359,6.41,1021249
2008-01-28,6.2359,6.4374,6.2359,6.4008,752458
2008-01-29,6.4556,6.7395,6.41,6.7395,1220717
2008-01-30,6.6662,7.0051,6.6662,7.0051,600298
2008-01-31,6.9592,7.0692,6.593,6.7762,1366924
2008-02-01,6.9228,7.0784,6.4556,7.0418,725499
2008-02-04,7.06,7.1974,6.9869,7.1974,922483
2008-02-05,7.1242,7.3439,6.9776,7.0327,1857643
2008-02-06,6.8861,7.1242,6.593,6.9319,539407
2008-02-07,6.941,7.0966,6.593,6.8677,911042
2008-02-08,6.9319,7.0418,6.8677,7.0418,3477911
2008-02-11,7.0051,7.2799,6.9135,7.234,2555444
2008-02-12,7.3072,7.6004,7.3072,7.5088,3744824
2008-02-13,7.6004,7.6736,7.4355,7.4355,3483069
2008-02-14,7.6094,7.6828,7.3806,7.4904,717158
2008-02-15,7.353,7.4171,7.3439,7.4081,464612
2008-02-18,7.353,7.6918,7.3348,7.5819,483254
2008-02-19,7.6187,7.6736,7.353,7.353,790113
2008-02-20,7.289,7.3257,7.1425,7.2249,1086465
2008-02-21,7.2981,7.4171,7.2523,7.3348,1356227
2008-02-22,7.3072,7.6004,7.1791,7.5088,926427
2008-02-25,7.5729,7.637,7.2523,7.3806,419200
2008-02-26,7.4538,7.6004,7.2615,7.3257,867770
2008-02-27,7.3623,7.4813,7.1791,7.3072,949645
2008-02-28,7.3713,7.3713,7.1883,7.2799,1143619
2008-02-29,7.1974,7.2981,6.9686,7.234,978857
2008-03-03,7.1242,7.1516,6.7853,7.1516,1082942
2008-03-04,7.1425,7.1425,6.7946,6.941,663899
2008-03-05,6.9135,6.9135,6.7762,6.8952,504298
2008-03-06,6.9135,6.9592,6.703,6.9592,447112
2008-03-07,6.8495,7.1425,6.7121,7.1425,495354
2008-03-10,7.1425,7.6004,7.0692,7.463,2625049
2008-03-11,7.4447,7.4813,7.3348,7.3348,1177483
2008-03-12,7.4081,7.4171,7.2432,7.3623,442009
2008-03-13,7.2799,7.2799,7.0966,7.2523,420457
2008-03-14,7.234,7.2523,7.0142,7.1425,733418
2008-03-17,6.9592,7.0233,6.6389,6.8952,573039
2008-03-18,6.8311,7.3713,6.8311,7.3713,1196369
2008-03-19,7.2981,7.5088,7.1883,7.4355,1053987
2008-03-20,7.3257,7.4171,7.051,7.051,2561767
2008-03-25,7.4081,7.5546,7.3439,7.5088,1232895
2008-03-26,7.5088,7.518,7.3257,7.3257,1142887
2008-03-27,7.3439,7.5088,7.2799,7.3165,868122
2008-03-28,7.3257,7.4171,7.2523,7.4171,603015
2008-03-31,7.3989,7.463,7.234,7.3257,453470
2008-04-01,7.3897,7.5088,7.3806,7.4264,934934
2008-04-02,7.4264,7.4447,7.06,7.1425,916902
2008-04-03,7.234,7.2615,6.9686,7.17,825152
2008-04-04,7.1425,7.3072,7.0142,7.2615,824314
2008-04-07,7.2615,7.3439,7.1242,7.1333,309359
2008-04-08,7.1333,7.1608,7.051,7.1608,257716
2008-04-09,7.1242,7.2066,7.0233,7.0233,494483
2008-04-10,7.0142,7.0875,6.8677,6.9502,269047
2008-04-11,7.0233,7.0966,6.5015,6.5015,1556028
2008-04-14,6.5015,6.538,6.3732,6.5015,644838
2008-04-15,6.529,6.5473,6.3091,6.5015,382664
2008-04-16,6.5747,6.7762,6.419,6.5107,675691
2008-04-17,6.6847,6.7579,6.4649,6.5197,236797
2008-04-18,6.593,6.7946,6.5015,6.6389,726105
2008-04-21,6.6571,6.6571,6.3824,6.41,553905
