Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,20.8852,22.2937,20.8269,20.8269,339217
2008-01-03,20.8852,21.252,20.8767,21.2102,377588
2008-01-04,21.3518,21.5435,20.7185,20.8351,366794
2008-01-07,20.6518,21.0518,20.2934,20.3352,316778
2008-01-08,20.5018,20.8184,20.1767,20.4185,747693
2008-01-09,20.2101,20.5851,19.6768,20.0851,720135
2008-01-10,20.0851,20.2851,18.9184,19.1683,827059
2008-01-11,19.0599,19.41,18.6683,18.6849,409732
2008-01-14,18.585,18.9933,18.2932,18.7517,717672
2008-01-15,18.8183,18.9517,18.0016,18.3348,381096
2008-01-16,17.5848,18.3348,17.0598,17.7932,864915
2008-01-17,17.9932,19.1683,17.81,19.1683,576698
2008-01-18,19.16,19.4184,18.8183,19.1683,2406255
2008-01-21,18.6515,18.7517,17.8516,18.2515,632089
2008-01-22,17.3348,19.1517,17.2431,18.635,697398
2008-01-23,18.8849,19.5851,17.5014,18.9184,746281
2008-01-24,19.1683,19.4184,18.7933,19.035,881198
2008-01-25,19.085,19.1017,18.51,18.71,1030685
2008-01-28,18.585,18.7017,17.5848,17.6099,418825
2008-01-29,18.0182,18.1933,17.7516,17.7683,902621
2008-01-30,17.9266,18.0766,17.7516,17.9183,609906
2008-01-31,17.96,18.3348,17.4266,18.285,622158
2008-02-01,18.3516,18.6683,18.2515,18.6683,2712077
2008-02-04,18.835,18.9601,18.5766,18.7517,736182
2008-02-05,18.6434,19.0767,18.0433,18.3433,571496
2008-02-06,17.8432,18.66,17.835,18.5433,313473
2008-02-07,18.3348,18.6683,17.9266,18.3348,436458
2008-02-08,18.66,19.0016,18.1599,19.0016,243608
2008-02-11,19.0016,19.8767,18.81,19.6267,529448
2008-02-12,19.9184,20.6684,19.3434,20.6684,913208
2008-02-13,20.2101,20.7518,20.1268,20.6684,431249
2008-02-14,20.6769,20.8351,20.0268,20.3435,557236
2008-02-15,20.1685,20.4935,19.1767,19.4517,286865
2008-02-18,20.0017,20.4351,19.7518,20.4351,333244
2008-02-19,20.4185,20.4185,19.9101,20.2934,578022
2008-02-20,19.8934,20.4185,19.76,20.4185,451773
2008-02-21,20.6268,20.7518,20.2934,20.4185,570343
2008-02-22,20.2934,20.4768,19.7935,19.7935,444924
2008-02-25,19.9184,20.0685,19.01,19.11,883213
2008-02-26,19.3017,19.46,19.1267,19.3517,515024
2008-02-27,19.5518,19.835,19.3267,19.4184,318424
