Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-10-30,26.2,26.29,25.9,25.9,3031258
2012-10-31,25.9,26.02,25.7,25.7,382811
2012-11-02,25.7,25.7,25.3,25.4,279161
2012-11-05,25.3,25.38,25.3,25.3,105699
2012-11-06,25.3,25.64,25.3,25.57,59441
2012-11-07,25.68,25.79,25.58,25.58,45605
2012-11-08,25.58,25.65,25.57,25.65,31877
2012-11-09,25.65,25.67,25.53,25.6,45164
2012-11-12,25.6,25.66,25.55,25.55,77937
2012-11-13,25.55,25.65,25.55,25.62,232231
2012-11-14,25.7,25.86,25.7,25.84,114436
2012-11-15,25.88,26,25.8,25.85,77634
2012-11-16,25.89,26.07,25.89,26.02,87926
2012-11-19,26,26.07,25.85,25.95,120784
2012-11-20,25.9,25.93,25.7,25.72,33720
2012-11-21,25.65,25.69,25.6,25.61,25384
2012-11-22,25.6,26.28,25.51,26.26,567454
2012-11-23,26.2,26.36,26.07,26.3,111113
2012-11-26,26.3,26.43,26.3,26.42,424649
2012-11-27,26.42,26.42,26.21,26.37,34040
2012-11-28,26.3,26.3,26.14,26.18,17660
2012-11-29,26.23,26.4,26.17,26.37,52241
2012-11-30,26.4,26.4,26.31,26.36,43072
2012-12-03,26.36,26.36,26.2,26.27,42435
2012-12-04,26.22,26.3,26.22,26.3,51849
2012-12-05,26.23,26.32,26.22,26.24,42871
2012-12-06,26.23,26.28,26.22,26.25,31623
2012-12-07,26.28,26.32,26.22,26.32,26395
2012-12-10,26.34,26.39,26.25,26.3,25716
2012-12-11,26.25,26.32,26.23,26.3,43349
2012-12-12,26.24,26.38,26.15,26.3,192503
2012-12-13,26.35,27.45,26.35,27.25,425088
2012-12-14,27.2,28.09,27.02,28.02,166271
2012-12-17,28.05,28.25,27.4,27.74,109230
2012-12-18,27.7,28,27.6,27.8,76126
2012-12-19,27.9,28.15,27.55,28.07,112150
2012-12-20,27.86,27.98,27.77,27.8,64404
2012-12-21,27.7,27.7,27.41,27.5,92485
2012-12-27,27.36,28.31,27.36,28.31,91617
2012-12-28,28.31,28.45,27.86,28.45,127367
